m_debris_kg,h_km,d_debris_cm,dv_required_m_s,beta,m_incident_required_g,m_incident_max_subcat_g,areal_penalty,m_powder_ideal_g,m_powder_g,n_shots,mode,cloud_sigma_mm,cloud_diameter_cm,Es_kJ_kg,Es_over_threshold,subcatastrophic,subcat_worst_case,total_accel_mass_g,within_coilgun_limit,self_disposal_ok,v_rel_m_s
0.0014,400,0.996755,57.7243,1.20069,0.217469,0.292305,21.8683,4.75566,50,1,DEFOCUS (charge floored at 50 g),53.4355,26.1588,29.7591,0.743978,True,True,69,True,True,619
0.0014,600,0.996755,55.2281,1.20069,0.208065,0.292305,21.8683,4.55002,50,1,DEFOCUS (charge floored at 50 g),54.6298,26.7435,28.4723,0.711806,True,True,69,True,True,619
0.0014,800,0.996755,52.9068,1.20069,0.19932,0.292305,21.8683,4.35878,50,1,DEFOCUS (charge floored at 50 g),55.8153,27.3238,27.2755,0.681889,True,True,69,True,True,619
0.0014,900,0.996755,51.8065,1.20069,0.195174,0.292305,21.8683,4.26812,50,1,DEFOCUS (charge floored at 50 g),56.405,27.6125,26.7083,0.667707,True,True,69,True,True,619
0.0014,1000,0.996755,50.7437,1.20069,0.19117,0.292305,21.8683,4.18057,50,1,DEFOCUS (charge floored at 50 g),56.9926,27.9001,26.1604,0.65401,True,True,69,True,True,619
0.0014,1200,0.996755,48.7241,1.20069,0.183562,0.292305,21.8683,4.01418,50,1,DEFOCUS (charge floored at 50 g),58.1617,28.4725,25.1192,0.62798,True,True,69,True,True,619
0.01,400,1.91961,57.7243,1.20069,1.55335,2.0879,5.89612,9.15872,50,1,DEFOCUS (charge floored at 50 g),38.5051,18.8498,29.7591,0.743978,True,True,69,True,True,619
0.01,600,1.91961,55.2281,1.20069,1.48618,2.0879,5.89612,8.76268,50,1,DEFOCUS (charge floored at 50 g),39.3656,19.2711,28.4723,0.711806,True,True,69,True,True,619
0.01,800,1.91961,52.9068,1.20069,1.42371,2.0879,5.89612,8.39438,50,1,DEFOCUS (charge floored at 50 g),40.2199,19.6893,27.2755,0.681889,True,True,69,True,True,619
0.01,900,1.91961,51.8065,1.20069,1.3941,2.0879,5.89612,8.21979,50,1,DEFOCUS (charge floored at 50 g),40.6448,19.8973,26.7083,0.667707,True,True,69,True,True,619
0.01,1000,1.91961,50.7437,1.20069,1.3655,2.0879,5.89612,8.05117,50,1,DEFOCUS (charge floored at 50 g),41.0682,20.1045,26.1604,0.65401,True,True,69,True,True,619
0.01,1200,1.91961,48.7241,1.20069,1.31116,2.0879,5.89612,7.73073,50,1,DEFOCUS (charge floored at 50 g),41.9107,20.517,25.1192,0.62798,True,True,69,True,True,619
0.05,400,3.28248,57.7243,1.20069,7.76674,10.4395,2.01644,15.6612,50,1,DEFOCUS (charge floored at 50 g),29.4458,14.4149,29.7591,0.743978,True,True,69,True,True,619
0.05,600,3.28248,55.2281,1.20069,7.43088,10.4395,2.01644,14.984,50,1,DEFOCUS (charge floored at 50 g),30.1039,14.737,28.4723,0.711806,True,True,69,True,True,619
0.05,800,3.28248,52.9068,1.20069,7.11856,10.4395,2.01644,14.3542,50,1,DEFOCUS (charge floored at 50 g),30.7572,15.0569,27.2755,0.681889,True,True,69,True,True,619
