h_km,v_rel,beta,dv_shift,Es_kJ_kg,frac_of_40,pass_40,pass_30_worst
400,400,1.06292,57.7243,21.7229,0.543074,True,True
400,619,1.20069,57.7243,29.7591,0.743978,True,True
500,400,1.06292,56.4532,21.2446,0.531115,True,True
500,619,1.20069,56.4532,29.1038,0.727596,True,True
600,400,1.06292,55.2281,20.7836,0.51959,True,True
600,619,1.20069,55.2281,28.4723,0.711806,True,True
700,400,1.06292,54.0467,20.339,0.508475,True,True
700,619,1.20069,54.0467,27.8632,0.69658,True,True
800,400,1.06292,52.9068,19.91,0.497751,True,True
800,619,1.20069,52.9068,27.2755,0.681889,True,True
900,400,1.06292,51.8065,19.496,0.487399,True,True
900,619,1.20069,51.8065,26.7083,0.667707,True,True
1000,400,1.06292,50.7437,19.096,0.477401,True,True
1000,619,1.20069,50.7437,26.1604,0.65401,True,True
1100,400,1.06292,49.7169,18.7096,0.467739,True,True
1100,619,1.20069,49.7169,25.631,0.640774,True,True
1200,400,1.06292,48.7241,18.336,0.4584,True,True
1200,619,1.20069,48.7241,25.1192,0.62798,True,True
