stage,v_in,v_out,C_uF,V_kV,E_J,dKE,eta_pct,a_max_g,B_peak,q_coil,q_arm
1,0.0,80.33097820727797,1451.0194200631088,2.0,2902.0388401262176,322.6533029869084,11.118159361811825,45662.300264573,9.463553211025706,1231.3099355029392,476.50352299985536
2,80.33097820727797,100.03691739183772,121.42297623803825,4.0,971.383809904306,177.71593907615986,18.29513084984062,24684.804052894797,6.958092176240852,305.42524648484914,62.11926297831131
3,100.03691739183772,111.10204337861722,78.29722742383488,4.0,626.3778193906791,116.81396008213898,18.64912141936507,16449.098875377113,5.679974568362379,182.94196177272926,34.50032725510871
4,111.10204337861722,135.09734861610244,63.477949830019,7.0,1555.2097708354656,295.38147800982864,18.9930312649173,41226.316504186245,8.992130523360725,383.2649810386409,75.29209317005615
5,135.09734861610244,146.80370817240876,107.32807546049249,4.0,858.6246036839399,165.00175650345193,19.216984441804925,18392.374161733893,6.006123143478956,193.99548284867672,32.219392539420085
6,146.80370817240876,174.04051228904677,90.8935240763267,7.0,2226.8913398700042,436.93855923320444,19.62100940491829,47739.429054538545,9.676402967401579,457.33057322119976,74.91571862307335
7,174.04051228904677,191.23655862676878,64.67051024588642,7.0,1584.4275010242175,314.0660718787867,19.822053812860847,34819.46014219974,8.263924718963782,286.3922993896476,47.13315565722067
8,191.23655862676878,204.46343893147258,53.56303212960696,7.0,1312.2942871753705,261.6938252137221,19.94170269360856,29156.454109781505,7.562104742671696,224.4700000622402,36.19531944126441
9,204.46343893147258,215.4149753836805,46.85712857877489,7.0,1147.9996501799847,229.91568799338313,20.02750505693418,25681.539862126723,7.097180748563827,188.82635438538256,29.939433426089398
10,215.4149753836805,224.85559281988358,42.21387406535065,7.0,1034.239914601091,207.8213001414799,20.094109423502292,23250.11433932828,6.752862115959035,164.68869858909042,25.79152655690184
11,224.85559281988358,233.2060459666461,38.74356723615384,7.0,949.217397285769,191.25111265080852,20.148294078646238,21419.153928500782,6.481514419839428,146.96295996355286,22.80198326003835
12,233.2060459666461,240.72617132260174,36.01864595852633,7.0,882.456825983895,178.20148421205778,20.193790672237373,19973.099835139907,6.2589008539563045,133.26376288147694,20.52688853219555
13,240.72617132260174,247.58916775615833,33.803399362628625,7.0,828.1832843844014,167.56532152742548,20.23287896374035,18791.893455527254,6.071005220812223,122.28246907174578,18.727545104395993
14,247.58916775615833,253.91698884650876,31.955359919677694,7.0,782.9063180321035,158.6720617345469,20.267055978470268,17802.58669710557,5.909039462267456,113.21618426247534,17.262902254959453
15,253.91698884650876,270.9200992945022,30.382497791357444,12.0,2187.5398409777363,446.1931488432449,20.397029598501653,49645.889685499045,9.867723791070555,291.84312798595164,46.41291292371611
16,270.9200992945022,285.0571929402281,26.688523096786078,12.0,1921.5736629685975,392.9951522609743,20.45173494175834,43843.38534953468,9.273151944598064,246.51458008381462,38.56664830543307
17,285.0571929402281,297.27516652362556,24.10698985461922,12.0,1735.7032695325838,355.74606923434334,20.495788391880136,39754.152389083254,8.830119574800824,215.46476048448847,33.318017449650064
18,297.27516652362556,308.1011627420498,22.16612261842811,12.0,1595.9608285268237,327.690092567687,20.53246462635091,36660.602135689755,8.479595437684063,192.53174565620697,29.513872636234574
19,308.1011627420498,317.86309152109254,20.635752900813472,12.0,1485.77420885857,305.5309234171706,20.56375198839206,34210.312472211015,8.191319317492246,174.83094236081212,26.60753480182033
20,317.86309152109254,326.780652556751,19.387722164684195,12.0,1395.915995857262,287.4324967034787,20.59095945289747,32204.08859967672,7.947505589378592,160.52245626715444,24.3022163753223
21,326.780652556751,335.00912719389345,18.344011841551534,12.0,1320.7688525917106,272.2760208899126,20.61496380351735,30521.336194451967,7.737080348443105,148.74195508078378,22.42151303937098
22,335.00912719389345,342.66281340295507,17.45394948444476,12.0,1256.6843628800227,259.3344193007062,20.636400591981044,29082.350656243103,7.552488782686757,138.78744219128302,20.853185306044697
23,342.66281340295507,349.828561915056,16.68295740116027,12.0,1201.1729328835395,248.11095211638894,20.65572286255011,27833.030144904053,7.388488141298237,130.35911659180832,19.522190423574806
24,349.828561915056,356.57409556042603,16.006503131495926,12.0,1152.4682254677068,238.25314465898265,20.673294013142293,26734.48049402187,7.241211129869085,123.0055294714834,18.376137602479385
25,356.57409556042603,362.95335122849065,15.406621557255857,12.0,1109.2767521224218,229.50247716281302,20.68937951901517,25758.6543417329,7.107828185885685,116.57739074574572,17.377368017635494
26,362.95335122849065,369.01006228614034,14.869808381698524,12.0,1070.6262034822937,221.66454502145353,20.704195759497818,24884.110688530836,6.986125737254962,110.88688236156824,16.497982088919887
27,369.01006228614034,374.78023113607,14.385685974668691,12.0,1035.7693901761456,214.5897790992429,20.717910872298436,24094.04901982811,6.874327688149545,105.84570733849802,15.716871150412427
28,374.78023113607,380.2938895827381,13.946127907733759,12.0,1004.1212093568306,208.1610401780883,20.730668592432345,23375.9309471725,6.77110881943407,101.31647174584991,15.01770753932229
29,380.2938895827381,385.57637777852557,13.544665953506726,12.0,975.2159486524844,202.28503234202364,20.742588615530057,22719.05544007336,6.675295125032233,97.18204928081538,14.38766175614361
30,385.57637777852557,396.9202117692029,13.17607794212508,18.0,2134.524626624263,443.8255705050324,20.792712577270176,49689.076091500705,9.8720147695667,205.04312239612838,30.906662103816252
31,396.9202117692029,407.3447495463774,12.433705157824958,18.0,2014.2602355676433,419.2045236046004,20.811835342937375,46960.48481939863,9.597135389835403,189.19598678379546,28.39990433712123
