material,wall_mm,mass_kg,resistivity_ohm_m,coupling_factor_rel,usable,note
G10/FR4 glass-epoxy,1,0.245752,1e+13,0.603682,True,"standard, cheap, machinable"
G10/FR4 glass-epoxy,1.5,0.374574,1e+13,0.582746,True,"standard, cheap, machinable"
G10/FR4 glass-epoxy,2,0.50736,1e+13,0.562993,True,"standard, cheap, machinable"
G10/FR4 glass-epoxy,3,0.784822,1e+13,0.526678,True,"standard, cheap, machinable"
PEEK,1,0.175348,1e+14,0.603682,True,"tougher, lower friction"
PEEK,1.5,0.267264,1e+14,0.582746,True,"tougher, lower friction"
PEEK,2,0.362008,1e+14,0.562993,True,"tougher, lower friction"
PEEK,3,0.559981,1e+14,0.526678,True,"tougher, lower friction"
Alumina Al2O3,1,0.518073,1e+12,0.603682,True,"hard, wear-resistant, brittle"
Alumina Al2O3,1.5,0.789643,1e+12,0.582746,True,"hard, wear-resistant, brittle"
Alumina Al2O3,2,1.06957,1e+12,0.562993,True,"hard, wear-resistant, brittle"
Alumina Al2O3,3,1.65449,1e+12,0.526678,True,"hard, wear-resistant, brittle"
316 stainless,1,1.06271,7.4e-07,0.603682,False,DO NOT USE - shorted turn
316 stainless,1.5,1.61978,7.4e-07,0.582746,False,DO NOT USE - shorted turn
316 stainless,2,2.19399,7.4e-07,0.562993,False,DO NOT USE - shorted turn
316 stainless,3,3.39382,7.4e-07,0.526678,False,DO NOT USE - shorted turn
