wire,turns,layers,turns_per_layer,winding_mm,total_wall_mm,OD_mm,cu_kg_all_stages
AWG 8  round,15,2,12,6.528,12.258,54.516,4.54964
AWG 8  round,22,2,12,6.528,12.258,54.516,6.67281
AWG 8  round,30,3,12,9.792,15.522,61.044,9.81447
AWG 8  round,45,4,12,13.056,18.786,67.572,15.7945
AWG 10 round,15,1,15,2.588,8.318,46.636,2.58789
AWG 10 round,22,2,15,5.176,10.906,51.812,4.0569
AWG 10 round,30,2,15,5.176,10.906,51.812,5.53214
AWG 10 round,45,3,15,7.764,13.494,56.988,8.83275
AWG 12 round,15,1,19,2.053,7.783,45.566,1.60532
AWG 12 round,22,2,19,4.106,9.836,49.672,2.48493
AWG 12 round,30,2,19,4.106,9.836,49.672,3.38854
AWG 12 round,45,3,19,6.159,11.889,53.778,5.34964
AWG 14 round,15,1,24,1.628,7.358,44.716,0.997212
AWG 14 round,22,1,24,1.628,7.358,44.716,1.46258
AWG 14 round,30,2,24,3.256,8.986,47.972,2.08307
AWG 14 round,45,2,24,3.256,8.986,47.972,3.1246
3x2 mm rect,15,2,13,4,9.73,49.46,3.06286
3x2 mm rect,22,2,13,4,9.73,49.46,4.49219
3x2 mm rect,30,3,13,6,11.73,53.46,6.43985
3x2 mm rect,45,4,13,8,13.73,57.46,10.131
4x1.5 mm rect,15,2,10,3,8.73,47.46,2.98432
4x1.5 mm rect,22,3,10,4.5,10.23,50.46,4.54978
4x1.5 mm rect,30,3,10,4.5,10.23,50.46,6.20425
4x1.5 mm rect,45,5,10,7.5,13.23,56.46,10.0132
