case,h_km,inc_deg,mission_yr,nodal_rate_deg_day,dv_per_engagement_m_s,engagements_per_2000_m_s,dv_for_10000_engagements_km_s
Fengyun-1C (sun-sync),865,98.8,10,0.977905,106.865,18.7151,1068.65
Fengyun-1C (sun-sync),865,98.8,20,0.977905,53.4327,37.4303,534.327
Cosmos-2251,789,74,10,1.82824,57.4637,34.8046,574.637
Cosmos-2251,789,74,20,1.82824,28.7319,69.6092,287.319
Iridium-33,789,86.4,10,0.416475,252.254,7.92852,2522.54
Iridium-33,789,86.4,20,0.416475,126.127,15.857,1261.27
Cosmos-1408,480,82.5,10,1.0103,106.306,18.8137,1063.06
Cosmos-1408,480,82.5,20,1.0103,53.1529,37.6273,531.529
hypothetical low-inclination,900,51.6,10,3.90396,26.7042,74.8945,267.042
hypothetical low-inclination,900,51.6,20,3.90396,13.3521,149.789,133.521
hypothetical i=30 deg,900,30,10,5.44304,19.1533,104.42,191.533
hypothetical i=30 deg,900,30,20,5.44304,9.57667,208.841,95.7667
