dv_m_s,isp_s,propulsion,m_dry_kg,propellant_kg,prop_frac
500,300,chemical,400,74.0995,0.156295
500,300,chemical,600,111.149,0.156295
500,1500,Hall,400,13.8299,0.0334194
500,1500,Hall,600,20.7449,0.0334194
500,3000,gridded ion,400,6.8562,0.0168517
500,3000,gridded ion,600,10.2843,0.0168517
1000,300,chemical,400,161.926,0.288162
1000,300,chemical,600,242.889,0.288162
1000,1500,Hall,400,28.138,0.0657219
1000,1500,Hall,600,42.207,0.0657219
1000,3000,gridded ion,400,13.8299,0.0334194
1000,3000,gridded ion,600,20.7449,0.0334194
2000,300,chemical,400,389.402,0.493287
2000,300,chemical,600,584.103,0.493287
2000,1500,Hall,400,58.2554,0.127124
2000,1500,Hall,600,87.3831,0.127124
2000,3000,gridded ion,400,28.138,0.0657219
2000,3000,gridded ion,600,42.207,0.0657219
5000,300,chemical,400,1788.54,0.81723
5000,300,chemical,600,2682.82,0.81723
5000,1500,Hall,400,161.926,0.288162
5000,1500,Hall,600,242.889,0.288162
5000,3000,gridded ion,400,74.0995,0.156295
5000,3000,gridded ion,600,111.149,0.156295
10000,300,chemical,400,11574.3,0.966595
10000,300,chemical,600,17361.5,0.966595
10000,1500,Hall,400,389.402,0.493287
10000,1500,Hall,600,584.103,0.493287
10000,3000,gridded ion,400,161.926,0.288162
10000,3000,gridded ion,600,242.889,0.288162
