cluster,dv_budget_m_s,t_engage_hr,n_engaged,dv_used_m_s,dv_per_engagement,n_opportunities,limited_by,engagements_per_day
Fengyun-1C,500,4,12.4492,499.998,40.1631,13894.2,delta-v,0.0034084
Fengyun-1C,500,8,16.0061,499.996,31.2378,13894.2,delta-v,0.00438223
Fengyun-1C,500,24,16.0061,499.992,31.2376,13894.2,delta-v,0.00438223
Fengyun-1C,1000,4,15.1169,999.999,66.1512,13894.2,delta-v,0.00413877
Fengyun-1C,1000,8,12.4492,999.995,80.3261,13894.2,delta-v,0.0034084
Fengyun-1C,1000,24,16.8953,999.992,59.1875,13894.2,delta-v,0.00462569
Fengyun-1C,2000,4,24.0091,2000,83.3015,13894.2,delta-v,0.00657335
Fengyun-1C,2000,8,24.0091,2000,83.3016,13894.2,delta-v,0.00657335
Fengyun-1C,2000,24,24.8984,2000,80.3264,13894.2,delta-v,0.0068168
Fengyun-1C,5000,4,32.0122,4999.99,156.19,13894.2,delta-v,0.00876446
Fengyun-1C,5000,8,35.5691,4999.99,140.571,13894.2,delta-v,0.00973829
Fengyun-1C,5000,24,46.2398,4999.99,108.132,13894.2,delta-v,0.0126598
Fengyun-1C,10000,4,56.9106,10000,175.714,13894.2,delta-v,0.0155813
Fengyun-1C,10000,8,55.1321,10000,181.382,13894.2,delta-v,0.0150944
Fengyun-1C,10000,24,82.6982,10000,120.922,13894.2,delta-v,0.0226415
Cosmos-2251,500,4,6.9386,499.985,72.0586,10512.4,delta-v,0.00189968
Cosmos-2251,500,8,7.37226,499.992,67.8208,10512.4,delta-v,0.00201842
Cosmos-2251,500,24,4.77029,499.995,104.814,10512.4,delta-v,0.00130603
Cosmos-2251,1000,4,8.67325,999.998,115.297,10512.4,delta-v,0.00237461
Cosmos-2251,1000,8,8.67325,999.998,115.297,10512.4,delta-v,0.00237461
Cosmos-2251,1000,24,7.80592,999.992,128.107,10512.4,delta-v,0.00213715
Cosmos-2251,2000,4,12.5762,1999.99,159.03,10512.4,delta-v,0.00344318
Cosmos-2251,2000,8,8.23959,1999.98,242.729,10512.4,delta-v,0.00225588
Cosmos-2251,2000,24,11.2752,1999.98,177.379,10512.4,delta-v,0.00308699
Cosmos-2251,5000,4,16.0455,4999.98,311.613,10512.4,delta-v,0.00439302
Cosmos-2251,5000,8,19.0811,4999.99,262.038,10512.4,delta-v,0.00522413
Cosmos-2251,5000,24,21.6831,4999.99,230.594,10512.4,delta-v,0.00593651
Cosmos-2251,10000,4,31.2237,9999.97,320.269,10512.4,delta-v,0.00854858
Cosmos-2251,10000,8,29.0554,9999.99,344.17,10512.4,delta-v,0.00795493
Cosmos-2251,10000,24,32.5247,10000,307.459,10512.4,delta-v,0.00890477
Cosmos-1408,500,4,6.83848,499.985,73.1135,4573.73,delta-v,0.00187227
Cosmos-1408,500,8,7.643,499.984,65.4172,4573.73,delta-v,0.00209254
Cosmos-1408,500,24,7.24074,499.979,69.0508,4573.73,delta-v,0.00198241
Cosmos-1408,1000,4,8.44753,999.999,118.378,4573.73,delta-v,0.00231281
Cosmos-1408,1000,8,7.643,999.998,130.838,4573.73,delta-v,0.00209254
Cosmos-1408,1000,24,12.0679,999.993,82.8639,4573.73,delta-v,0.00330401
Cosmos-1408,2000,4,8.84979,1999.99,225.993,4573.73,delta-v,0.00242294
Cosmos-1408,2000,8,8.84979,1999.99,225.993,4573.73,delta-v,0.00242294
Cosmos-1408,2000,24,14.0792,1999.99,142.053,4573.73,delta-v,0.00385468
Cosmos-1408,5000,4,24.5381,5000,203.765,4573.73,delta-v,0.00671816
Cosmos-1408,5000,8,24.5381,4999.99,203.765,4573.73,delta-v,0.00671816
Cosmos-1408,5000,24,20.9177,4999.99,239.032,4573.73,delta-v,0.00572695
Cosmos-1408,10000,4,41.4331,9999.99,241.352,4573.73,delta-v,0.0113438
Cosmos-1408,10000,8,36.2037,10000,276.215,4573.73,delta-v,0.00991203
Cosmos-1408,10000,24,38.215,9999.99,261.677,4573.73,delta-v,0.0104627
