cluster,h_km,inc_deg,age_yr,n_ge_1cm_modelled,n_tracked,dh_band_km,theta_max_deg,n_engageable_instant,frac_of_cloud,dv_band_m_s
Fengyun-1C,865,98.8,19.6,35000,3500,25,1.5,107.466,0.00307045,25.5763
Fengyun-1C,865,98.8,19.6,35000,3500,50,1.5,180.495,0.005157,51.0208
Fengyun-1C,865,98.8,19.6,35000,3500,100,1.5,239.275,0.00683642,101.519
Fengyun-1C,865,98.8,19.6,35000,3500,200,1.5,283.211,0.00809174,200.983
Cosmos-2251,789,74,17.6,17000,1668,25,1.5,56.6541,0.0033326,25.9839
Cosmos-2251,789,74,17.6,17000,1668,50,1.5,86.1374,0.00506691,51.8325
Cosmos-2251,789,74,17.6,17000,1668,100,1.5,114.754,0.00675021,103.129
Cosmos-2251,789,74,17.6,17000,1668,200,1.5,139.323,0.00819547,204.148
Iridium-33,789,86.4,17.6,6500,628,25,1.5,24.9813,0.00384328,25.9839
Iridium-33,789,86.4,17.6,6500,628,50,1.5,38.6878,0.00595198,51.8325
Iridium-33,789,86.4,17.6,6500,628,100,1.5,49.9626,0.00768655,103.129
Iridium-33,789,86.4,17.6,6500,628,200,1.5,58.2528,0.00896198,204.148
Cosmos-1408,480,82.5,5.6,15000,1500,25,1.5,132.703,0.00884687,27.7582
Cosmos-1408,480,82.5,5.6,15000,1500,50,1.5,183.002,0.0122001,55.3654
Cosmos-1408,480,82.5,5.6,15000,1500,100,1.5,212.7,0.01418,110.132
Cosmos-1408,480,82.5,5.6,15000,1500,200,1.5,229.555,0.0153037,217.913
