cluster,dh_band_km,mission_yr,n_in_cone_at_start,n_passing_through_cone,n_total_opportunities,median_rel_nodal_rate_deg_day
Fengyun-1C,50,5,161.889,2413.34,2575.23,0.0174777
Fengyun-1C,50,10,161.889,4826.68,4988.56,0.0174777
Fengyun-1C,100,5,232.456,4342.87,4575.32,0.0223781
Fengyun-1C,100,10,232.456,8685.74,8918.19,0.0223781
Cosmos-2251,50,5,72.9353,1419.89,1492.82,0.023086
Cosmos-2251,50,10,72.9353,2839.77,2912.71,0.023086
Cosmos-2251,100,5,105.93,2821.26,2927.19,0.0325929
Cosmos-2251,100,10,105.93,5642.51,5748.44,0.0325929
Iridium-33,50,5,38.0414,431.846,469.887,0.0154793
Iridium-33,50,10,38.0414,863.691,901.732,0.0154793
Iridium-33,100,5,50.0953,719.207,769.302,0.0183029
Iridium-33,100,10,50.0953,1438.41,1488.51,0.0183029
Cosmos-1408,50,5,141.739,1353.78,1495.52,0.0202431
Cosmos-1408,50,10,141.739,2707.57,2849.31,0.0202431
Cosmos-1408,100,5,174.098,2342.13,2516.23,0.0253659
Cosmos-1408,100,10,174.098,4684.27,4858.36,0.0253659
