case,n_engagements,target,material,m_shot_kg,consumable_kg,material_cost_usd,launch_cost_usd,total_consumable_usd,frac_world_production
ECO-1 realised (2 km/s tour),24,1 cm debris,Re,0.00214,0.05136,374.055,154.08,528.135,6.34074e-07
ECO-1 realised (2 km/s tour),24,1 cm debris,W,0.00214,0.05136,5.136,154.08,159.216,6.11429e-10
ECO-1 realised (2 km/s tour),24,"large tracked object, per shot",Re,1,24,174792,72000,246792,0.000296296
ECO-1 realised (2 km/s tour),24,"large tracked object, per shot",W,1,24,2400,72000,74400,2.85714e-07
ECO-1 realised (10 km/s tour),55,1 cm debris,Re,0.00214,0.1177,857.209,353.1,1210.31,1.45309e-06
ECO-1 realised (10 km/s tour),55,1 cm debris,W,0.00214,0.1177,11.77,353.1,364.87,1.40119e-09
ECO-1 realised (10 km/s tour),55,"large tracked object, per shot",Re,1,55,400565,165000,565565,0.000679012
ECO-1 realised (10 km/s tour),55,"large tracked object, per shot",W,1,55,5500,165000,170500,6.54762e-07
plan's niche target,10000,1 cm debris,Re,0.00214,21.4,155856,64200,220056,0.000264198
plan's niche target,10000,1 cm debris,W,0.00214,21.4,2140,64200,66340,2.54762e-07
plan's niche target,10000,"large tracked object, per shot",Re,1,10000,7.283e+07,3e+07,1.0283e+08,0.123457
plan's niche target,10000,"large tracked object, per shot",W,1,10000,1e+06,3e+07,3.1e+07,0.000119048
plan's laser-competitive target,100000,1 cm debris,Re,0.00214,214,1.55856e+06,642000,2.20056e+06,0.00264198
plan's laser-competitive target,100000,1 cm debris,W,0.00214,214,21400,642000,663400,2.54762e-06
plan's laser-competitive target,100000,"large tracked object, per shot",Re,1,100000,7.283e+08,3e+08,1.0283e+09,1.23457
plan's laser-competitive target,100000,"large tracked object, per shot",W,1,100000,1e+07,3e+08,3.1e+08,0.00119048
