m_dry_kg,build_usd_per_kg,c_launch_usd_per_kg,fleet_units,platform_cost_musd,cost_per_unit_musd
200,50000,3000,1,10.6,10.6
200,50000,3000,10,6.4282,6.4282
200,50000,3000,100,3.9968,3.9968
200,50000,7000,1,11.4,11.4
200,50000,7000,10,7.2282,7.2282
200,50000,7000,100,4.7968,4.7968
200,150000,3000,1,30.6,30.6
200,150000,3000,10,18.0846,18.0846
200,150000,3000,100,10.7904,10.7904
200,150000,7000,1,31.4,31.4
200,150000,7000,10,18.8846,18.8846
200,150000,7000,100,11.5904,11.5904
200,400000,3000,1,80.6,80.6
200,400000,3000,10,47.2256,47.2256
200,400000,3000,100,27.7744,27.7744
200,400000,7000,1,81.4,81.4
200,400000,7000,10,48.0256,48.0256
200,400000,7000,100,28.5744,28.5744
400,50000,3000,1,21.2,21.2
400,50000,3000,10,12.8564,12.8564
400,50000,3000,100,7.99359,7.99359
400,50000,7000,1,22.8,22.8
400,50000,7000,10,14.4564,14.4564
400,50000,7000,100,9.59359,9.59359
400,150000,3000,1,61.2,61.2
400,150000,3000,10,36.1692,36.1692
400,150000,3000,100,21.5808,21.5808
400,150000,7000,1,62.8,62.8
400,150000,7000,10,37.7692,37.7692
400,150000,7000,100,23.1808,23.1808
400,400000,3000,1,161.2,161.2
400,400000,3000,10,94.4513,94.4513
400,400000,3000,100,55.5487,55.5487
400,400000,7000,1,162.8,162.8
400,400000,7000,10,96.0513,96.0513
400,400000,7000,100,57.1487,57.1487
600,50000,3000,1,31.8,31.8
600,50000,3000,10,19.2846,19.2846
600,50000,3000,100,11.9904,11.9904
600,50000,7000,1,34.2,34.2
600,50000,7000,10,21.6846,21.6846
600,50000,7000,100,14.3904,14.3904
600,150000,3000,1,91.8,91.8
600,150000,3000,10,54.2538,54.2538
600,150000,3000,100,32.3712,32.3712
600,150000,7000,1,94.2,94.2
600,150000,7000,10,56.6538,56.6538
600,150000,7000,100,34.7712,34.7712
600,400000,3000,1,241.8,241.8
600,400000,3000,10,141.677,141.677
600,400000,3000,100,83.3231,83.3231
600,400000,7000,1,244.2,244.2
600,400000,7000,10,144.077,144.077
600,400000,7000,100,85.7231,85.7231
