m_target_kg,fg01_cost_per_object_musd,tug_cost_per_object_musd,fg01_penalty_musd,fg01_launched_stack_kg,tug_launched_stack_kg
1,5.12501,5.15822,-0.0332089,416.648,527.391
1.18277,5.12511,5.15822,-0.0331058,416.986,527.394
1.39894,5.12524,5.15822,-0.0329839,417.386,527.398
1.65461,5.12538,5.15822,-0.0328397,417.86,527.403
1.95702,5.12555,5.15822,-0.0326691,418.419,527.408
2.3147,5.12576,5.15822,-0.0324673,419.082,527.414
2.73774,5.126,5.15823,-0.0322287,419.865,527.422
3.23811,5.12628,5.15823,-0.0319464,420.791,527.431
3.82993,5.12662,5.15823,-0.0316126,421.887,527.441
4.52991,5.12702,5.15824,-0.0312177,423.183,527.454
5.35782,5.12749,5.15824,-0.0307506,424.716,527.468
6.33705,5.12805,5.15825,-0.0301981,426.529,527.486
7.49524,5.12871,5.15825,-0.0295446,428.673,527.506
8.86512,5.12949,5.15826,-0.0287716,431.21,527.531
10.4854,5.13041,5.15827,-0.0278573,434.211,527.559
12.4017,5.1315,5.15828,-0.0267757,437.76,527.593
14.6683,5.13279,5.15829,-0.0254964,441.959,527.634
17.3492,5.13432,5.1583,-0.023983,446.926,527.681
20.5201,5.13613,5.15832,-0.0221927,452.801,527.738
24.2704,5.13827,5.15834,-0.0200749,459.751,527.804
28.7062,5.1408,5.15836,-0.0175696,467.974,527.883
33.9528,5.14379,5.15839,-0.0146057,477.701,527.976
40.1582,5.14733,5.15843,-0.0110991,489.209,528.086
47.4977,5.15151,5.15846,-0.00695048,502.825,528.216
56.1787,5.15647,5.15851,-0.00204201,518.934,528.371
66.4462,5.16233,5.15857,0.00376569,537.995,528.553
78.5903,5.16927,5.15863,0.0106376,560.548,528.769
92.954,5.17748,5.15871,0.0187691,587.236,529.024
109.943,5.18719,5.1588,0.0283912,618.816,529.325
130.037,5.19868,5.1589,0.0397778,656.187,529.682
153.803,5.21228,5.15903,0.0532525,700.412,530.104
181.913,5.22838,5.15918,0.0691987,752.75,530.603
215.16,5.24743,5.15936,0.0880697,814.687,531.193
254.484,5.26997,5.15957,0.110402,887.986,531.891
300.995,5.29665,5.15982,0.13683,974.728,532.717
356.007,5.32821,5.16011,0.168105,1077.38,533.694
421.073,5.36557,5.16045,0.205113,1198.85,534.849
498.031,5.40977,5.16086,0.248905,1342.59,536.215
589.054,5.46207,5.16135,0.300721,1512.66,537.832
696.713,5.52395,5.16192,0.362029,1713.89,539.743
824.048,5.59717,5.1626,0.434565,1951.98,542.004
974.656,5.68378,5.1634,0.520379,2233.65,544.678
1152.79,5.78625,5.16435,0.621899,2566.87,547.84
1363.48,5.90747,5.16547,0.741995,2961.07,551.581
1612.68,6.05086,5.1668,0.88406,3427.38,556.005
1907.42,6.22048,5.16837,1.05211,3978.98,561.238
2256.03,6.42112,5.17023,1.25089,4631.45,567.428
2668.36,6.65844,5.17242,1.48601,5403.22,574.748
3156.04,6.93915,5.17502,1.76413,6316.09,583.407
3732.86,7.27118,5.17809,2.09308,7395.85,593.648
4415.1,7.6639,5.18173,2.48217,8672.99,605.761
5222.03,8.12841,5.18603,2.94238,10183.6,620.088
6176.44,8.67782,5.19111,3.48671,11970.3,637.033
7305.28,9.32766,5.19712,4.13054,14083.6,657.075
8640.44,10.0963,5.20423,4.89204,16583.1,680.78
10219.6,11.0054,5.21265,5.79272,19539.5,708.817
12087.4,12.0806,5.22259,6.85802,23036.2,741.979
14296.6,13.3524,5.23436,8.11803,27172.1,781.201
16909.5,14.8566,5.24828,9.60833,32063.8,827.593
20000,16.6357,5.26474,11.371,37849.6,882.463
