target,m_target_kg,competitor,isp_s,fg01_projectile_kg,tug_propellant_kg,fg01_over_tug,fg01_launch_cost_usd,tug_propellant_launch_cost_usd,consumable_delta_usd
1 cm fragment (1.4 g),0.00141,hydrazine tug,230,0.000198011,7.0222,2.81978e-05,0.613833,21066.6,-21066
1 cm fragment (1.4 g),0.00141,bipropellant tug,320,0.000198011,6.70767,2.952e-05,0.613833,20123,-20122.4
1 cm fragment (1.4 g),0.00141,Hall-thruster tug,1600,0.000198011,1.66578,0.00011887,0.613833,4997.34,-4996.72
1 cm fragment (1.4 g),0.00141,gridded-ion tug,3000,0.000198011,0.887726,0.000223054,0.613833,2663.18,-2662.56
5 cm fragment (176 g),0.176,hydrazine tug,230,0.0247162,7.02628,0.00351768,76.6202,21078.9,-21002.2
5 cm fragment (176 g),0.176,bipropellant tug,320,0.0247162,6.71059,0.00368316,76.6202,20131.8,-20055.2
5 cm fragment (176 g),0.176,Hall-thruster tug,1600,0.0247162,1.66636,0.0148324,76.6202,4999.08,-4922.46
5 cm fragment (176 g),0.176,gridded-ion tug,3000,0.0247162,0.888036,0.0278324,76.6202,2664.11,-2587.49
10 kg object,10,hydrazine tug,230,1.40433,7.25624,0.193534,4353.42,21768.7,-17415.3
10 kg object,10,bipropellant tug,320,1.40433,6.87533,0.204256,4353.42,20626,-16272.6
10 kg object,10,Hall-thruster tug,1600,1.40433,1.69909,0.826519,4353.42,5097.27,-743.846
10 kg object,10,gridded-ion tug,3000,1.40433,0.905478,1.55093,4353.42,2716.43,1636.99
100 kg object,100,hydrazine tug,230,14.0433,9.36289,1.49989,43534.2,28088.7,15445.6
100 kg object,100,bipropellant tug,320,14.0433,8.38455,1.6749,43534.2,25153.7,18380.6
100 kg object,100,Hall-thruster tug,1600,14.0433,1.99893,7.02541,43534.2,5996.79,37537.4
100 kg object,100,gridded-ion tug,3000,14.0433,1.06527,13.1829,43534.2,3195.8,40338.4
defunct smallsat (0.9 t),900,hydrazine tug,230,126.39,28.0887,4.49967,391808,84266,307542
defunct smallsat (0.9 t),900,bipropellant tug,320,126.39,21.7998,5.79774,391808,65399.5,326409
defunct smallsat (0.9 t),900,Hall-thruster tug,1600,126.39,4.66417,27.098,391808,13992.5,377816
defunct smallsat (0.9 t),900,gridded-ion tug,3000,126.39,2.48563,50.8482,391808,7456.88,384351
SL-8 upper stage (1.4 t),1400,hydrazine tug,230,196.606,39.7923,4.94081,609479,119377,490102
SL-8 upper stage (1.4 t),1400,bipropellant tug,320,196.606,30.1844,6.51351,609479,90553.2,518926
SL-8 upper stage (1.4 t),1400,Hall-thruster tug,1600,196.606,6.32994,31.0597,609479,18989.8,590489
SL-8 upper stage (1.4 t),1400,gridded-ion tug,3000,196.606,3.37335,58.2822,609479,10120,599359
SL-16 upper stage (8.3 t),8300,hydrazine tug,230,1165.59,201.302,5.79027,3.61334e+06,603906,3.00943e+06
SL-16 upper stage (8.3 t),8300,bipropellant tug,320,1165.59,145.891,7.98947,3.61334e+06,437674,3.17567e+06
SL-16 upper stage (8.3 t),8300,Hall-thruster tug,1600,1165.59,29.3176,39.7574,3.61334e+06,87952.9,3.52539e+06
SL-16 upper stage (8.3 t),8300,gridded-ion tug,3000,1165.59,15.6239,74.6031,3.61334e+06,46871.8,3.56647e+06
