,0.5m,0.6m,0.7m,0.8m,0.9m,1.0m,1.1m,1.2m,1.3m,1.4m,1.5m,1.6m,1.7m,1.8m,1.9m,2.0m
4g,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112,90.05833844655112
5g,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625,101.92863071747625
6g,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961,113.09215439211961
7g,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248,123.69021060510248
8g,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328,133.81910969776328
9g,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734,143.54835780394734
10g,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443,152.9302426921443
11g,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752,162.00533418816752
12g,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663,170.80579351488663
13g,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193,179.35796940440193
14g,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874,187.68355420623874
15g,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653,195.8008421470653
16g,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727,203.72528296884727
17g,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456,211.47025803099456
18g,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503,219.04736488382503
19g,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298,226.46677882396298
20g,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883,233.73750950685883
