,0.5m,0.6m,0.7m,0.8m,0.9m,1.0m,1.1m,1.2m,1.3m,1.4m,1.5m,1.6m,1.7m,1.8m,1.9m,2.0m
4g,257.6325621866554,264.31439101071305,269.534492344623,273.69771379603503,277.06195981387356,279.80130915522915,282.0385997727602,283.8636205835003,285.34390927980627,286.5314859944596,287.4672262156472,288.1837993330219,288.7077018096721,289.06069889324567,289.26087009932735,289.32338147281075
5g,296.57083347669993,305.19109261552546,312.05155094225995,317.6414855223877,322.2726363146233,326.1554255508382,329.43833506046207,332.2298977971634,334.61175470161123,336.64679592451165,338.3844492170993,339.8642334103501,341.1182154664747,342.1727541149157,343.0497628849537,343.7676441941003
6g,331.2983661546694,341.66460451215806,349.98536173780377,356.8306670570002,362.56373581736426,367.42971158646486,371.6015432176257,375.20561922222004,378.336987260511,381.0688479210313,383.4587189386436,385.55257788658736,387.3877266055023,388.9948222698825,390.3993503746856,391.6227115589695
7g,362.8134232059581,374.7869379228219,384.4399843227456,392.4203098306611,399.14067810148623,404.879640983741,409.83367027663706,414.14630235897204,417.92544446333045,421.2541699696336,424.19773058291787,426.80826478362826,429.12805576876093,431.1918398509616,433.0284801026478,434.6622012327145
8g,391.7610727989198,405.23347902907256,416.11964910985506,425.1424494313268,432.76255519386183,439.2908113628953,444.9464152708784,449.8894515425846,454.24022136467573,458.0912977702727,461.51535812236926,464.5704407022626,467.30358187654184,469.7533927663697,471.9519239094771,473.92604064124225
9g,418.58960806654926,433.47163421259,445.5096597381723,455.49939718921684,463.94799484672546,471.1976154845198,477.4894752667503,482.9996722709504,487.8604773125086,492.1736127889866,496.0188767101508,499.4599301478728,502.54829587723106,505.3261818521254,507.82851232061705,510.08439606318086
10g,443.62695628266954,459.8423329469372,472.96295106421235,483.85532009061313,493.07177192534425,500.984898814471,507.85728249307346,513.8805174721034,519.1984105729589,523.9214372261144,528.1361189619236,531.9112956576787,535.3023935377544,538.3542625220822,541.1024093047146,543.579043969981
11g,467.1223298864351,484.60414340903617,498.74657996599564,510.4850846051794,520.4159697722681,528.9414121492106,536.3446938771705,542.8323391375735,548.5591191796684,553.6436055195261,558.1780894587581,562.2344695313586,565.8698435139831,569.1392675367852,572.089539130754,574.7593247062243
12g,489.2707984882804,507.9591394611018,523.0688677020102,535.6026044604865,546.1994944989711,555.2904133895414,563.1785694396264,570.0845606191425,576.1729320320676,581.5675765131668,586.3639824183365,590.6506765634333,594.5008323756034,597.9734589164068,601.1167710696153,603.9706189152126
13g,510.2287094345858,530.0690660684714,546.0962481961017,559.3783690158416,570.5961880779712,580.2082259394641,588.5363819197804,595.8131585756939,602.2072434575541,607.8603194118484,612.8934125176286,617.4012400159011,621.4590934372056,625.1277169692236,628.456759375369,631.4872713578891
14g,530.1238035596775,551.0659166124589,567.9642842346866,581.9507844983888,593.7463870241054,603.8356060988513,612.5555117542192,620.1458034334682,626.8108303782752,632.7130340135107,637.9769491954477,642.6999453315452,646.9594546164865,650.8179702652097,654.3265874648708,657.5275647658262
15g,549.0621367093465,571.0591351405363,588.7851005302107,603.4337713006458,615.7643261979456,626.2828815645886,635.3386546503765,643.2206676649171,650.1513898987241,656.2975697742645,661.7871017606959,666.7200235829147,671.1759192572507,675.2190395016725,678.90192958004,682.2680597348793
16g,567.132965290118,590.1406915341297,608.6525781050424,623.9218702779201,636.741806502662,647.6344210358844,657.0089514859233,665.1780265153683,672.369761623147,678.7552244522581,684.4656799938919,689.6038432633636,694.2514523671499,698.4745157192559,702.3270308842548,705.8536772769826
17g,584.412274035662,608.3887288493719,627.646023848617,643.4933200639178,656.7480367420519,667.9942295325104,677.6830899886754,686.1348267870103,693.5832125852859,700.2036381776171,706.1307400550511,711.4699065437583,716.3050280757918,720.7038687908512,724.7218733533332,728.404931002465
18g,600.9653874442217,625.8702286824036,645.8327174543764,662.209344872308,675.8649915464829,687.4603869322959,697.4593095627986,706.1895355039183,713.8904868640572,720.7418674119019,726.8816790605835,732.4179750243412,737.4367919909488,742.0076434593877,746.1874182778674,750.0232075953235
19g,616.8489875330016,642.6430368148149,663.2693543439914,680.1260094578107,694.1759564815055,706.1162813874187,716.4211593595808,725.4259065922101,733.3755734110349,740.4541677598185,746.80303884446,752.5328956324545,757.7319106431503,762.4713378727529,766.8095036047656,770.7946947420353
20g,632.1125633790621,658.7572956095821,680.000869351095,697.3125385155922,711.7523669621824,724.0334619916838,734.6403347175396,743.9158189715023,752.1105672366552,759.4128633268466,765.9673910755599,771.8874978608168,777.2634806924227,782.1683263060221,786.6617873289898,790.7933412757964
