station_cm,P_envelope_MPa,wall_mm,OD_mm
0,89.1412,2.97137,35.9427
1.69492,89.1412,2.97137,35.9427
3.38983,87.4171,2.9139,35.8278
5.08475,81.2093,2.70698,35.414
6.77966,74.4917,2.48306,34.9661
8.47458,68.3238,2.27746,34.5549
10.1695,62.9295,2.09765,34.1953
11.8644,58.2454,1.94151,33.883
13.5593,54.2019,1.80673,33.6135
15.2542,50.662,1.68873,33.3775
16.9492,47.5368,1.58456,33.1691
18.6441,44.8093,1.5,33
20.339,42.3689,1.5,33
22.0339,40.182,1.5,33
23.7288,38.218,1.5,33
25.4237,36.4501,1.5,33
27.1186,34.8338,1.5,33
28.8136,33.3725,1.5,33
30.5085,32.0299,1.5,33
32.2034,30.7938,1.5,33
33.8983,29.6534,1.5,33
35.5932,28.5993,1.5,33
37.2881,27.6089,1.5,33
38.9831,26.7037,1.5,33
40.678,25.8497,1.5,33
42.3729,25.0548,1.5,33
44.0678,24.3138,1.5,33
45.7627,23.6113,1.5,33
47.4576,22.9546,1.5,33
49.1525,22.3303,1.5,33
50.8475,21.7453,1.5,33
52.5424,21.1964,1.5,33
54.2373,20.6642,1.5,33
55.9322,20.1718,1.5,33
57.6271,19.6931,1.5,33
59.322,19.2495,1.5,33
61.0169,18.8172,1.5,33
62.7119,18.4092,1.5,33
64.4068,18.0175,1.5,33
66.1017,17.6473,1.5,33
67.7966,17.2852,1.5,33
69.4915,16.9482,1.5,33
71.1864,16.618,1.5,33
72.8814,16.305,1.5,33
74.5763,16.0029,1.5,33
76.2712,15.7114,1.5,33
77.9661,15.4298,1.5,33
79.661,15.1623,1.5,33
81.3559,14.9035,1.5,33
83.0508,14.653,1.5,33
84.7458,14.4147,1.5,33
86.4407,14.1838,1.5,33
88.1356,13.9559,1.5,33
89.8305,13.7388,1.5,33
91.5254,13.5319,1.5,33
93.2203,13.3273,1.5,33
94.9153,13.1321,1.5,33
96.6102,12.9424,1.5,33
98.3051,12.758,1.5,33
100,12.5787,1.5,33
