v_launch_m_s,theta_deg,v_geom_m_s,v_geom_over_v_launch,w_total_m_s,m_p_g,Es_kJ_kg,energy_penalty,times_threshold,subcatastrophic,transverse_rate_m_s
400,0,0,0,400,0.159217,9.00982,1,0.225246,True,0
400,0.05,6.46129,0.0161532,400.052,0.159217,9.01217,1.00026,0.225304,True,6.46129
400,0.1,12.9226,0.0323064,400.209,0.159217,9.01923,1.00104,0.225481,True,12.9226
400,0.25,32.3064,0.0807661,401.303,0.159217,9.0686,1.00652,0.226715,True,32.3064
400,0.5,64.6127,0.161532,405.185,0.159217,9.24491,1.02609,0.231123,True,64.6127
400,0.75,96.9186,0.242297,411.574,0.159217,9.53877,1.05871,0.238469,True,96.9186
400,1,129.224,0.32306,420.356,0.159217,9.95016,1.10437,0.248754,True,129.224
400,1.5,193.833,0.484583,444.49,0.159217,11.1255,1.23482,0.278138,True,193.833
400,2,258.438,0.646096,476.225,0.159217,12.7709,1.41744,0.319272,True,258.438
400,3,387.633,0.969083,557.009,0.159217,17.4711,1.93912,0.436779,True,387.633
400,5,645.924,1.61481,759.748,0.159217,32.5039,3.60761,0.812598,True,645.924
619,0,0,0,619,0.102886,13.9427,1,0.348568,True,0
619,0.05,6.46129,0.0104383,619.034,0.102886,13.9442,1.00011,0.348606,True,6.46129
619,0.1,12.9226,0.0208765,619.135,0.102886,13.9488,1.00044,0.348719,True,12.9226
619,0.25,32.3064,0.0521913,619.842,0.102886,13.9807,1.00272,0.349517,True,32.3064
619,0.5,64.6127,0.104382,622.363,0.102886,14.0946,1.0109,0.352365,True,64.6127
619,0.75,96.9186,0.156573,626.541,0.102886,14.2845,1.02452,0.357113,True,96.9186
619,1,129.224,0.208763,632.345,0.102886,14.5504,1.04358,0.363759,True,129.224
619,1.5,193.833,0.313139,648.639,0.102886,15.3099,1.09806,0.382747,True,193.833
619,2,258.438,0.41751,670.784,0.102886,16.3731,1.17431,0.409328,True,258.438
619,3,387.633,0.626225,730.356,0.102886,19.4104,1.39216,0.485261,True,387.633
619,5,645.924,1.0435,894.639,0.102886,29.1247,2.08888,0.728117,True,645.924
1000,0,0,0,1000,0.0636867,22.5246,1,0.563114,True,0
1000,0.05,6.46129,0.00646129,1000.02,0.0636867,22.5255,1.00004,0.563137,True,6.46129
1000,0.1,12.9226,0.0129226,1000.08,0.0636867,22.5283,1.00017,0.563208,True,12.9226
1000,0.25,32.3064,0.0323064,1000.52,0.0636867,22.5481,1.00104,0.563702,True,32.3064
1000,0.5,64.6127,0.0646127,1002.09,0.0636867,22.6186,1.00417,0.565465,True,64.6127
1000,0.75,96.9186,0.0969186,1004.69,0.0636867,22.7361,1.00939,0.568403,True,96.9186
1000,1,129.224,0.129224,1008.31,0.0636867,22.9007,1.0167,0.572517,True,129.224
1000,1.5,193.833,0.193833,1018.61,0.0636867,23.3708,1.03757,0.584271,True,193.833
1000,2,258.438,0.258438,1032.86,0.0636867,24.029,1.06679,0.600725,True,258.438
1000,3,387.633,0.387633,1072.5,0.0636867,25.9091,1.15026,0.647727,True,387.633
1000,5,645.924,0.645924,1190.47,0.0636867,31.9222,1.41722,0.798055,True,645.924
