theta_deg,w_m_s,cos_psi,m_p_required_g,Es_kJ_kg,catastrophic,times_threshold
0,619,1,0.102886,13.9427,False,0.348568
0.1,12.9226,0.000872665,5647.45,333.548,True,8.3387
0.5,64.6127,0.00436331,225.899,333.548,True,8.3387
1,129.224,0.00872654,56.4759,333.548,True,8.3387
2,258.438,0.0174524,14.1201,333.548,True,8.3387
5,645.924,0.0436194,2.26041,333.548,True,8.3387
8.5,1097.41,0.0741085,0.783089,333.548,True,8.3387
15,1932.86,0.130526,0.252436,333.548,True,8.3387
45,5666.85,0.382683,0.0293675,333.548,True,8.3387
90,10471,0.707107,0.00860155,333.548,True,8.3387
