theta_deg,dh_offset_m,v_transverse_m_s,R_m,tof_s,tau_s,t_view_s,t_obs_s,sigma_pos_m,sigma_v_m_s,miss_no_lead_m,miss_with_lead_m,n_samples_in_view
0,10,0.00509152,1,0.00161551,0.0001,3928.1,10,5.5e-07,1.90526e-09,8.73455e-06,3.26848e-12,3.9281e+06
0,10,0.00509152,1,0.00161551,0.001,3928.1,10,5.5e-07,1.90526e-09,1.33169e-05,4.98321e-12,3.9281e+06
0,10,0.00509152,1,0.00161551,0.005,3928.1,10,5.5e-07,1.90526e-09,3.3683e-05,1.26042e-11,3.9281e+06
0,10,0.00509152,1,0.00161551,0.01,3928.1,10,5.5e-07,1.90526e-09,5.91406e-05,2.21305e-11,3.9281e+06
0,10,0.00509152,1,0.00161551,0.05,3928.1,10,5.5e-07,1.90526e-09,0.000262802,9.83408e-11,3.9281e+06
0,10,0.00509152,1,0.00161551,0.1,3928.1,10,5.5e-07,1.90526e-09,0.000517378,1.93604e-10,3.9281e+06
0,10,0.00509152,10,0.0161551,0.0001,39281,10,5.5e-06,1.90526e-08,8.27632e-05,3.09701e-10,3.9281e+07
0,10,0.00509152,10,0.0161551,0.001,39281,10,5.5e-06,1.90526e-08,8.73455e-05,3.26848e-10,3.9281e+07
0,10,0.00509152,10,0.0161551,0.005,39281,10,5.5e-06,1.90526e-08,0.000107712,4.03059e-10,3.9281e+07
0,10,0.00509152,10,0.0161551,0.01,39281,10,5.5e-06,1.90526e-08,0.000133169,4.98321e-10,3.9281e+07
0,10,0.00509152,10,0.0161551,0.05,39281,10,5.5e-06,1.90526e-08,0.00033683,1.26042e-09,3.9281e+07
0,10,0.00509152,10,0.0161551,0.1,39281,10,5.5e-06,1.90526e-08,0.000591406,2.21305e-09,3.9281e+07
0,10,0.00509152,100,0.161551,0.0001,392810,10,5.5e-05,1.90526e-07,0.000823049,3.07986e-08,3.9281e+08
0,10,0.00509152,100,0.161551,0.001,392810,10,5.5e-05,1.90526e-07,0.000827632,3.09701e-08,3.9281e+08
0,10,0.00509152,100,0.161551,0.005,392810,10,5.5e-05,1.90526e-07,0.000847998,3.17322e-08,3.9281e+08
0,10,0.00509152,100,0.161551,0.01,392810,10,5.5e-05,1.90526e-07,0.000873455,3.26848e-08,3.9281e+08
0,10,0.00509152,100,0.161551,0.05,392810,10,5.5e-05,1.90526e-07,0.00107712,4.03059e-08,3.9281e+08
0,10,0.00509152,100,0.161551,0.1,392810,10,5.5e-05,1.90526e-07,0.00133169,4.98321e-08,3.9281e+08
0,10,0.00509152,1000,1.61551,0.0001,3.9281e+06,10,0.00055,1.90526e-06,0.00822591,3.07815e-06,3.9281e+09
0,10,0.00509152,1000,1.61551,0.001,3.9281e+06,10,0.00055,1.90526e-06,0.00823049,3.07986e-06,3.9281e+09
0,10,0.00509152,1000,1.61551,0.005,3.9281e+06,10,0.00055,1.90526e-06,0.00825086,3.08748e-06,3.9281e+09
0,10,0.00509152,1000,1.61551,0.01,3.9281e+06,10,0.00055,1.90526e-06,0.00827632,3.09701e-06,3.9281e+09
0,10,0.00509152,1000,1.61551,0.05,3.9281e+06,10,0.00055,1.90526e-06,0.00847998,3.17322e-06,3.9281e+09
0,10,0.00509152,1000,1.61551,0.1,3.9281e+06,10,0.00055,1.90526e-06,0.00873455,3.26848e-06,3.9281e+09
0,100,0.0509152,1,0.00161551,0.0001,392.81,10,5.5e-07,1.90526e-09,8.73455e-05,3.26848e-12,392810
0,100,0.0509152,1,0.00161551,0.001,392.81,10,5.5e-07,1.90526e-09,0.000133169,4.98321e-12,392810
0,100,0.0509152,1,0.00161551,0.005,392.81,10,5.5e-07,1.90526e-09,0.00033683,1.26042e-11,392810
0,100,0.0509152,1,0.00161551,0.01,392.81,10,5.5e-07,1.90526e-09,0.000591406,2.21305e-11,392810
