tau_ms,R_m,tof_s,v_T_max_no_lead_m_s,theta_max_no_lead_deg,dh_offset_equivalent_m
0.1,1,0.00161551,2.91459,0.0225542,5724.39
0.1,10,0.0161551,0.307596,0.0023803,604.134
0.1,100,0.161551,0.0309309,0.000239355,60.7497
0.1,1000,1.61551,0.00309481,2.39488e-05,6.07836
1,1,0.00161551,1.91167,0.0147933,3754.62
1,10,0.0161551,0.291459,0.00225542,572.439
1,100,0.161551,0.0307596,0.00023803,60.4134
1,1000,1.61551,0.00309309,2.39355e-05,6.07497
5,1,0.00161551,0.7558,0.00584868,1484.43
5,10,0.0161551,0.23635,0.00182897,464.203
5,100,0.161551,0.0300209,0.000232313,58.9624
5,1000,1.61551,0.00308545,2.38764e-05,6.05998
10,1,0.00161551,0.430459,0.00333106,845.443
10,10,0.0161551,0.191167,0.00147933,375.462
10,100,0.161551,0.0291459,0.000225542,57.2439
10,1000,1.61551,0.00307596,2.3803e-05,6.04134
50,1,0.00161551,0.0968701,0.000749619,190.258
50,10,0.0161551,0.07558,0.000584868,148.443
50,100,0.161551,0.023635,0.000182897,46.4203
50,1000,1.61551,0.00300209,2.32313e-05,5.89624
100,1,0.00161551,0.0492051,0.000380768,96.6412
100,10,0.0161551,0.0430459,0.000333106,84.5443
100,100,0.161551,0.0191167,0.000147933,37.5462
100,1000,1.61551,0.00291459,2.25542e-05,5.72439
