theta_deg,v_transverse_m_s,r_track_m,window_s,feasible_1s_sequence,feasible_100ms_sequence,shots_possible_at_1Hz,aim_slew_rate_deg_s
0,0.509152,100,392.81,True,True,392.81,2.91723
0,0.509152,1000,3928.1,True,True,3928.1,0.291723
0,0.509152,10000,39281,True,True,39281,0.0291723
0.001,0.129226,100,1547.68,True,True,1547.68,0.740409
0.001,0.129226,1000,15476.8,True,True,15476.8,0.0740409
0.001,0.129226,10000,154768,True,True,154768,0.00740409
0.01,1.29226,100,154.768,True,True,154.768,7.40409
0.01,1.29226,1000,1547.68,True,True,1547.68,0.740409
0.01,1.29226,10000,15476.8,True,True,15476.8,0.0740409
0.1,12.9226,100,15.4768,True,True,15.4768,74.0409
0.1,12.9226,1000,154.768,True,True,154.768,7.40409
0.1,12.9226,10000,1547.68,True,True,1547.68,0.740409
0.5,64.6127,100,3.09537,True,True,3.09537,370.203
0.5,64.6127,1000,30.9537,True,True,30.9537,37.0203
0.5,64.6127,10000,309.537,True,True,309.537,3.70203
1,129.224,100,1.5477,True,True,1.5477,740.4
1,129.224,1000,15.477,True,True,15.477,74.04
1,129.224,10000,154.77,True,True,154.77,7.404
2,258.438,100,0.773879,False,True,0.773879,1480.74
2,258.438,1000,7.73879,True,True,7.73879,148.074
2,258.438,10000,77.3879,True,True,77.3879,14.8074
5,645.924,100,0.309634,False,True,0.309634,3700.87
5,645.924,1000,3.09634,True,True,3.09634,370.087
5,645.924,10000,30.9634,True,True,30.9634,37.0087
8.5,1097.41,100,0.182247,False,True,0.182247,6287.71
8.5,1097.41,1000,1.82247,True,True,1.82247,628.771
8.5,1097.41,10000,18.2247,True,True,18.2247,62.8771
45,5666.85,100,0.035293,False,False,0.035293,32468.6
45,5666.85,1000,0.35293,False,True,0.35293,3246.86
45,5666.85,10000,3.5293,True,True,3.5293,324.686
