d_cloud_cm,sigma_cloud_mm,d_target_cm,d_grain_um,m_grain_mg,m_launch_mg,area_ratio,eps,peak_areal_density_kg_m2,N_grains_total,N_grains_on_target,poisson_cv,averaging_valid
2,4.08547,0.5,50,0.0013751,0.5,16,0.170744,0.00476767,363.61,62.0841,0.126914,False
2,4.08547,0.5,50,0.0013751,5,16,0.170744,0.0476767,3636.1,620.841,0.0401338,True
2,4.08547,0.5,50,0.0013751,50,16,0.170744,0.476767,36361,6208.41,0.0126914,True
2,4.08547,0.5,50,0.0013751,500,16,0.170744,4.76767,363610,62084.1,0.00401338,True
2,4.08547,0.5,50,0.0013751,3000,16,0.170744,28.606,2.18166e+06,372504,0.00163845,True
2,4.08547,0.5,50,0.0013751,10000,16,0.170744,95.3535,7.27219e+06,1.24168e+06,0.000897418,True
2,4.08547,0.5,100,0.0110008,0.5,16,0.170744,0.00476767,45.4512,7.76051,0.358967,False
2,4.08547,0.5,100,0.0110008,5,16,0.170744,0.0476767,454.512,77.6051,0.113515,False
2,4.08547,0.5,100,0.0110008,50,16,0.170744,0.476767,4545.12,776.051,0.0358967,True
2,4.08547,0.5,100,0.0110008,500,16,0.170744,4.76767,45451.2,7760.51,0.0113515,True
2,4.08547,0.5,100,0.0110008,3000,16,0.170744,28.606,272707,46563.1,0.00463425,True
2,4.08547,0.5,100,0.0110008,10000,16,0.170744,95.3535,909024,155210,0.00253828,True
2,4.08547,0.5,200,0.0880065,0.5,16,0.170744,0.00476767,5.6814,0.970064,1.01531,False
2,4.08547,0.5,200,0.0880065,5,16,0.170744,0.0476767,56.814,9.70064,0.32107,False
2,4.08547,0.5,200,0.0880065,50,16,0.170744,0.476767,568.14,97.0064,0.101531,False
2,4.08547,0.5,200,0.0880065,500,16,0.170744,4.76767,5681.4,970.064,0.032107,True
2,4.08547,0.5,200,0.0880065,3000,16,0.170744,28.606,34088.4,5820.38,0.0131076,True
2,4.08547,0.5,200,0.0880065,10000,16,0.170744,95.3535,113628,19401.3,0.00717935,True
2,4.08547,0.5,450,1.00245,0.5,16,0.170744,0.00476767,0.498779,0.0851633,3.42668,False
2,4.08547,0.5,450,1.00245,5,16,0.170744,0.0476767,4.98779,0.851633,1.08361,False
2,4.08547,0.5,450,1.00245,50,16,0.170744,0.476767,49.8779,8.51633,0.342668,False
2,4.08547,0.5,450,1.00245,500,16,0.170744,4.76767,498.779,85.1633,0.108361,False
2,4.08547,0.5,450,1.00245,3000,16,0.170744,28.606,2992.67,510.98,0.0442383,True
2,4.08547,0.5,450,1.00245,10000,16,0.170744,95.3535,9975.57,1703.27,0.0242303,True
2,4.08547,0.5,1000,11.0008,0.5,16,0.170744,0.00476767,0.0454512,0.00776051,11.3515,False
2,4.08547,0.5,1000,11.0008,5,16,0.170744,0.0476767,0.454512,0.0776051,3.58967,False
2,4.08547,0.5,1000,11.0008,50,16,0.170744,0.476767,4.54512,0.776051,1.13515,False
2,4.08547,0.5,1000,11.0008,500,16,0.170744,4.76767,45.4512,7.76051,0.358967,False
2,4.08547,0.5,1000,11.0008,3000,16,0.170744,28.606,272.707,46.5631,0.146548,False
2,4.08547,0.5,1000,11.0008,10000,16,0.170744,95.3535,909.024,155.21,0.0802675,True
2,4.08547,0.5,2000,88.0065,0.5,16,0.170744,0.00476767,0.0056814,0.000970064,32.107,False
2,4.08547,0.5,2000,88.0065,5,16,0.170744,0.0476767,0.056814,0.00970064,10.1531,False
2,4.08547,0.5,2000,88.0065,50,16,0.170744,0.476767,0.56814,0.0970064,3.2107,False
2,4.08547,0.5,2000,88.0065,500,16,0.170744,4.76767,5.6814,0.970064,1.01531,False
2,4.08547,0.5,2000,88.0065,3000,16,0.170744,28.606,34.0884,5.82038,0.4145,False
2,4.08547,0.5,2000,88.0065,10000,16,0.170744,95.3535,113.628,19.4013,0.227031,False
2,4.08547,1,50,0.0013751,0.5,4,0.527116,0.00476767,363.61,191.664,0.072232,True
2,4.08547,1,50,0.0013751,5,4,0.527116,0.0476767,3636.1,1916.64,0.0228418,True
2,4.08547,1,50,0.0013751,50,4,0.527116,0.476767,36361,19166.4,0.0072232,True
2,4.08547,1,50,0.0013751,500,4,0.527116,4.76767,363610,191664,0.00228418,True
2,4.08547,1,50,0.0013751,3000,4,0.527116,28.606,2.18166e+06,1.14999e+06,0.000932511,True
2,4.08547,1,50,0.0013751,10000,4,0.527116,95.3535,7.27219e+06,3.83329e+06,0.000510757,True
2,4.08547,1,100,0.0110008,0.5,4,0.527116,0.00476767,45.4512,23.958,0.204303,False
2,4.08547,1,100,0.0110008,5,4,0.527116,0.0476767,454.512,239.58,0.0646062,True
2,4.08547,1,100,0.0110008,50,4,0.527116,0.476767,4545.12,2395.8,0.0204303,True
2,4.08547,1,100,0.0110008,500,4,0.527116,4.76767,45451.2,23958,0.00646062,True
2,4.08547,1,100,0.0110008,3000,4,0.527116,28.606,272707,143748,0.00263754,True
2,4.08547,1,100,0.0110008,10000,4,0.527116,95.3535,909024,479161,0.00144464,True
2,4.08547,1,200,0.0880065,0.5,4,0.527116,0.00476767,5.6814,2.99475,0.577856,False
2,4.08547,1,200,0.0880065,5,4,0.527116,0.0476767,56.814,29.9475,0.182734,False
2,4.08547,1,200,0.0880065,50,4,0.527116,0.476767,568.14,299.475,0.0577856,True
2,4.08547,1,200,0.0880065,500,4,0.527116,4.76767,5681.4,2994.75,0.0182734,True
2,4.08547,1,200,0.0880065,3000,4,0.527116,28.606,34088.4,17968.5,0.00746008,True
2,4.08547,1,200,0.0880065,10000,4,0.527116,95.3535,113628,59895.1,0.00408606,True
2,4.08547,1,450,1.00245,0.5,4,0.527116,0.00476767,0.498779,0.262914,1.95026,False
2,4.08547,1,450,1.00245,5,4,0.527116,0.0476767,4.98779,2.62914,0.616727,False
2,4.08547,1,450,1.00245,50,4,0.527116,0.476767,49.8779,26.2914,0.195026,False
2,4.08547,1,450,1.00245,500,4,0.527116,4.76767,498.779,262.914,0.0616727,True
2,4.08547,1,450,1.00245,3000,4,0.527116,28.606,2992.67,1577.48,0.0251778,True
2,4.08547,1,450,1.00245,10000,4,0.527116,95.3535,9975.57,5258.28,0.0137904,True
2,4.08547,1,1000,11.0008,0.5,4,0.527116,0.00476767,0.0454512,0.023958,6.46062,False
2,4.08547,1,1000,11.0008,5,4,0.527116,0.0476767,0.454512,0.23958,2.04303,False
2,4.08547,1,1000,11.0008,50,4,0.527116,0.476767,4.54512,2.3958,0.646062,False
2,4.08547,1,1000,11.0008,500,4,0.527116,4.76767,45.4512,23.958,0.204303,False
2,4.08547,1,1000,11.0008,3000,4,0.527116,28.606,272.707,143.748,0.0834063,True
2,4.08547,1,1000,11.0008,10000,4,0.527116,95.3535,909.024,479.161,0.0456835,True
2,4.08547,1,2000,88.0065,0.5,4,0.527116,0.00476767,0.0056814,0.00299475,18.2734,False
2,4.08547,1,2000,88.0065,5,4,0.527116,0.0476767,0.056814,0.0299475,5.77856,False
2,4.08547,1,2000,88.0065,50,4,0.527116,0.476767,0.56814,0.299475,1.82734,False
2,4.08547,1,2000,88.0065,500,4,0.527116,4.76767,5.6814,2.99475,0.577856,False
2,4.08547,1,2000,88.0065,3000,4,0.527116,28.606,34.0884,17.9685,0.235909,False
2,4.08547,1,2000,88.0065,10000,4,0.527116,95.3535,113.628,59.8951,0.129212,False
2,4.08547,2,50,0.0013751,0.5,1,0.949994,0.00476767,363.61,345.427,0.0538049,True
2,4.08547,2,50,0.0013751,5,1,0.949994,0.0476767,3636.1,3454.27,0.0170146,True
2,4.08547,2,50,0.0013751,50,1,0.949994,0.476767,36361,34542.7,0.00538049,True
2,4.08547,2,50,0.0013751,500,1,0.949994,4.76767,363610,345427,0.00170146,True
2,4.08547,2,50,0.0013751,3000,1,0.949994,28.606,2.18166e+06,2.07256e+06,0.000694618,True
2,4.08547,2,50,0.0013751,10000,1,0.949994,95.3535,7.27219e+06,6.90854e+06,0.000380458,True
2,4.08547,2,100,0.0110008,0.5,1,0.949994,0.00476767,45.4512,43.1784,0.152183,False
2,4.08547,2,100,0.0110008,5,1,0.949994,0.0476767,454.512,431.784,0.0481246,True
2,4.08547,2,100,0.0110008,50,1,0.949994,0.476767,4545.12,4317.84,0.0152183,True
2,4.08547,2,100,0.0110008,500,1,0.949994,4.76767,45451.2,43178.4,0.00481246,True
2,4.08547,2,100,0.0110008,3000,1,0.949994,28.606,272707,259070,0.00196468,True
2,4.08547,2,100,0.0110008,10000,1,0.949994,95.3535,909024,863568,0.0010761,True
2,4.08547,2,200,0.0880065,0.5,1,0.949994,0.00476767,5.6814,5.3973,0.430439,False
2,4.08547,2,200,0.0880065,5,1,0.949994,0.0476767,56.814,53.973,0.136117,False
2,4.08547,2,200,0.0880065,50,1,0.949994,0.476767,568.14,539.73,0.0430439,True
2,4.08547,2,200,0.0880065,500,1,0.949994,4.76767,5681.4,5397.3,0.0136117,True
