v_imp_m_s,v_over_v_strength,beta_low,beta_central,beta_high,beta_oblique_sphere,regime
200,0.625543,1,1,1,1,below strength floor
400,1.25109,1.05499,1.09438,1.19894,1.06292,transitional
619,1.93606,1.16951,1.30103,1.68078,1.20069,transitional
800,2.50217,1.2416,1.43799,2.03458,1.292,transitional
1000,3.12772,1.30739,1.56757,2.39418,1.37838,hypervelocity
1100,3.44049,1.3364,1.62607,2.5644,1.41738,hypervelocity
1500,4.69157,1.43473,1.83055,3.19732,1.5537,hypervelocity
2000,6.25543,1.53154,2.04111,3.91011,1.69407,hypervelocity
3000,9.38315,1.67781,2.37629,5.17037,1.91753,hypervelocity
6000,18.7663,1.95703,3.07187,8.26642,2.38125,hypervelocity
