d_grain_mm,material,v_imp_m_s,penetration_mm,penetration_over_diameter,perforates_1cm_target,crater_volume_mm3,ejecta_per_grain_mg,ejecta_over_grain_mass
0.05,Re,400,0.0926844,1.85369,False,0.00039858,0.00107617,0.782609
0.05,W,400,0.0849202,1.6984,False,0.000365191,0.000986016,0.782609
0.05,Re,619,0.162431,3.24862,False,0.000954502,0.00257716,1.87416
0.05,W,619,0.148824,2.97648,False,0.000874544,0.00236127,1.87416
0.05,Re,1000,0.261691,5.23382,False,0.00249113,0.00672604,4.8913
0.05,W,1000,0.239769,4.79538,False,0.00228244,0.0061626,4.8913
0.1,Re,400,0.185369,1.85369,False,0.00318864,0.00860933,0.782609
0.1,W,400,0.16984,1.6984,False,0.00292153,0.00788813,0.782609
0.1,Re,619,0.324862,3.24862,False,0.00763602,0.0206172,1.87416
0.1,W,619,0.297648,2.97648,False,0.00699635,0.0188901,1.87416
0.1,Re,1000,0.523382,5.23382,False,0.019929,0.0538083,4.8913
0.1,W,1000,0.479538,4.79538,False,0.0182596,0.0493008,4.8913
0.45,Re,400,0.834159,1.85369,False,0.290565,0.784525,0.782609
0.45,W,400,0.764282,1.6984,False,0.266224,0.718806,0.782609
0.45,Re,619,1.46188,3.24862,False,0.695832,1.87875,1.87416
0.45,W,619,1.33942,2.97648,False,0.637542,1.72136,1.87416
0.45,Re,1000,2.35522,5.23382,False,1.81603,4.90328,4.8913
0.45,W,1000,2.15792,4.79538,False,1.6639,4.49254,4.8913
1,Re,400,1.85369,1.85369,False,3.18864,8.60933,0.782609
1,W,400,1.6984,1.6984,False,2.92153,7.88813,0.782609
1,Re,619,3.24862,3.24862,False,7.63602,20.6172,1.87416
1,W,619,2.97648,2.97648,False,6.99635,18.8901,1.87416
1,Re,1000,5.23382,5.23382,False,19.929,53.8083,4.8913
1,W,1000,4.79538,4.79538,False,18.2596,49.3008,4.8913
2,Re,400,3.70737,1.85369,False,25.5091,68.8746,0.782609
2,W,400,3.39681,1.6984,False,23.3722,63.105,0.782609
2,Re,619,6.49724,3.24862,False,61.0881,164.938,1.87416
2,W,619,5.95296,2.97648,False,55.9708,151.121,1.87416
2,Re,1000,10.4676,5.23382,True,159.432,430.466,4.8913
2,W,1000,9.59077,4.79538,False,146.076,394.406,4.8913
