h_km,v_rel_m_s,d_cloud_cm,beta,beta_case,eps,dv_required_m_s,m_launch_g,m_incident_mg,Es_bulk_kJ_kg,Es_per_grain_J_kg,per_grain_frac_of_threshold,subcatastrophic,subcat_worst_threshold,N_grains,N_on_target,cost_Re_usd,cost_W_usd
400,400,2,1.06292,INT-2 central,0.527116,57.7243,0.728258,383.876,21.7229,56.727,0.00141817,True,True,726.479,382.938,7.48868,2.2576
400,400,2,1.05499,INT-2 low,0.527116,57.7243,0.733733,386.762,21.8863,56.727,0.00141817,True,True,731.941,385.818,7.54498,2.27457
400,400,2,1.5,v5 nominal,0.527116,57.7243,0.516052,272.019,15.3931,56.727,0.00141817,True,True,514.791,271.355,5.30656,1.59976
400,400,5,1.06292,INT-2 central,0.112924,57.7243,3.39942,383.876,21.7229,56.727,0.00141817,True,True,3391.11,382.938,34.9562,10.5382
400,400,5,1.05499,INT-2 low,0.112924,57.7243,3.42498,386.762,21.8863,56.727,0.00141817,True,True,3416.61,385.818,35.219,10.6174
400,400,5,1.5,v5 nominal,0.112924,57.7243,2.40887,272.019,15.3931,56.727,0.00141817,True,True,2402.98,271.355,24.7704,7.46749
400,400,10,1.06292,INT-2 central,0.0295119,57.7243,13.0075,383.876,21.7229,56.727,0.00141817,True,True,12975.7,382.938,133.756,40.3232
400,400,10,1.05499,INT-2 low,0.0295119,57.7243,13.1053,386.762,21.8863,56.727,0.00141817,True,True,13073.3,385.818,134.762,40.6264
400,400,10,1.5,v5 nominal,0.0295119,57.7243,9.21726,272.019,15.3931,56.727,0.00141817,True,True,9194.74,271.355,94.7811,28.5735
400,619,2,1.20069,INT-2 central,0.527116,57.7243,0.416606,219.599,29.7591,135.847,0.00339618,True,True,415.588,219.063,4.28395,1.29148
400,619,2,1.16951,INT-2 low,0.527116,57.7243,0.427711,225.453,30.5524,135.847,0.00339618,True,False,426.666,224.903,4.39815,1.3259
400,619,2,1.5,v5 nominal,0.527116,57.7243,0.333475,175.78,23.8209,135.847,0.00339618,True,True,332.66,175.35,3.42912,1.03377
400,619,5,1.20069,INT-2 central,0.112924,57.7243,1.94466,219.599,29.7591,135.847,0.00339618,True,True,1939.91,219.063,19.997,6.02846
400,619,5,1.16951,INT-2 low,0.112924,57.7243,1.9965,225.453,30.5524,135.847,0.00339618,True,False,1991.63,224.903,20.53,6.18916
400,619,5,1.5,v5 nominal,0.112924,57.7243,1.55662,175.78,23.8209,135.847,0.00339618,True,True,1552.82,175.35,16.0067,4.82552
400,619,10,1.20069,INT-2 central,0.0295119,57.7243,7.44103,219.599,29.7591,135.847,0.00339618,True,True,7422.86,219.063,76.5161,23.0672
400,619,10,1.16951,INT-2 low,0.0295119,57.7243,7.63939,225.453,30.5524,135.847,0.00339618,True,False,7620.73,224.903,78.5559,23.6821
