v_rel_m_s,h_km,beta,beta_case,Es_kJ_kg,pass_40,pass_30_worst
400,600,1.06292,INT-2 central,20.7836,True,True
400,600,1.05499,INT-2 low,20.9399,True,True
400,600,1.5,v5 nominal,14.7275,True,True
400,900,1.06292,INT-2 central,19.496,True,True
400,900,1.05499,INT-2 low,19.6425,True,True
400,900,1.5,v5 nominal,13.8151,True,True
400,1200,1.06292,INT-2 central,18.336,True,True
400,1200,1.05499,INT-2 low,18.4739,True,True
400,1200,1.5,v5 nominal,12.9931,True,True
500,600,1.13069,INT-2 central,24.4223,True,True
500,600,1.11226,INT-2 low,24.8269,True,True
500,600,1.5,v5 nominal,18.4094,True,True
500,900,1.13069,INT-2 central,22.9092,True,True
500,900,1.11226,INT-2 low,23.2888,True,True
500,900,1.5,v5 nominal,17.2688,True,True
500,1200,1.13069,INT-2 central,21.5461,True,True
500,1200,1.11226,INT-2 low,21.9032,True,True
500,1200,1.5,v5 nominal,16.2414,True,True
619,600,1.20069,INT-2 central,28.4723,True,True
619,600,1.16951,INT-2 low,29.2313,True,True
619,600,1.5,v5 nominal,22.7908,True,True
619,900,1.20069,INT-2 central,26.7083,True,True
619,900,1.16951,INT-2 low,27.4202,True,True
619,900,1.5,v5 nominal,21.3788,True,True
619,1200,1.20069,INT-2 central,25.1192,True,True
619,1200,1.16951,INT-2 low,25.7888,True,True
619,1200,1.5,v5 nominal,20.1068,True,True
700,600,1.24344,INT-2 central,31.0909,True,False
700,600,1.20361,INT-2 low,32.1198,True,False
700,600,1.5,v5 nominal,25.7731,True,True
700,900,1.24344,INT-2 central,29.1647,True,True
700,900,1.20361,INT-2 low,30.1298,True,False
700,900,1.5,v5 nominal,24.1764,True,True
700,1200,1.24344,INT-2 central,27.4295,True,True
700,1200,1.20361,INT-2 low,28.3372,True,True
700,1200,1.5,v5 nominal,22.7379,True,True
800,600,1.292,INT-2 central,34.1971,True,False
800,600,1.2416,INT-2 low,35.5851,True,False
800,600,1.5,v5 nominal,29.455,True,True
800,900,1.292,INT-2 central,32.0784,True,False
800,900,1.2416,INT-2 low,33.3805,True,False
800,900,1.5,v5 nominal,27.6301,True,True
800,1200,1.292,INT-2 central,30.1698,True,False
800,1200,1.2416,INT-2 low,31.3944,True,False
800,1200,1.5,v5 nominal,25.9862,True,True
900,600,1.33675,INT-2 central,37.1837,True,False
900,600,1.27596,INT-2 low,38.9552,True,False
900,600,1.5,v5 nominal,33.1369,True,False
900,900,1.33675,INT-2 central,34.88,True,False
900,900,1.27596,INT-2 low,36.5417,True,False
900,900,1.5,v5 nominal,31.0839,True,False
900,1200,1.33675,INT-2 central,32.8047,True,False
900,1200,1.27596,INT-2 low,34.3676,True,False
900,1200,1.5,v5 nominal,29.2345,True,True
1000,600,1.37838,INT-2 central,40.0674,False,False
1000,600,1.30739,INT-2 low,42.2429,False,False
1000,600,1.5,v5 nominal,36.8187,True,False
1000,900,1.37838,INT-2 central,37.5851,True,False
1000,900,1.30739,INT-2 low,39.6258,True,False
1000,900,1.5,v5 nominal,34.5377,True,False
1000,1200,1.37838,INT-2 central,35.3489,True,False
1000,1200,1.30739,INT-2 low,37.2681,True,False
1000,1200,1.5,v5 nominal,32.4828,True,False
1100,600,1.41738,INT-2 central,42.8614,False,False
1100,600,1.3364,INT-2 low,45.4585,False,False
1100,600,1.5,v5 nominal,40.5006,False,False
1100,900,1.41738,INT-2 central,40.2059,False,False
1100,900,1.3364,INT-2 low,42.6422,False,False
1100,900,1.5,v5 nominal,37.9914,True,False
1100,1200,1.41738,INT-2 central,37.8138,True,False
1100,1200,1.3364,INT-2 low,40.1051,False,False
1100,1200,1.5,v5 nominal,35.731,True,False
1200,600,1.45414,INT-2 central,45.5758,False,False
1200,600,1.36337,INT-2 low,48.6101,False,False
1200,600,1.5,v5 nominal,44.1825,False,False
1200,900,1.45414,INT-2 central,42.7522,False,False
1200,900,1.36337,INT-2 low,45.5985,False,False
1200,900,1.5,v5 nominal,41.4452,False,False
1200,1200,1.45414,INT-2 central,40.2085,False,False
1200,1200,1.36337,INT-2 low,42.8855,False,False
1200,1200,1.5,v5 nominal,38.9793,True,False
