d_target_cm,m_target_kg,d_cloud_cm,eps,m_launch_kg,launch_frac_of_target,kg_removed_per_kg_launched,dv_per_gram_launched,A_over_m
0.5,0.000176715,2,0.170744,0.000144283,0.816477,1.22477,718.121,0.111111
0.5,0.000176715,5,0.0295119,0.000834764,4.7238,0.211694,124.122,0.111111
0.5,0.000176715,10,0.00746107,0.00330187,18.6848,0.0535195,31.3801,0.111111
0.557259,0.000244644,2,0.2075,0.000164363,0.671847,1.48843,630.391,0.0996943
0.557259,0.000244644,5,0.0365263,0.000933721,3.81666,0.262009,110.968,0.0996943
0.557259,0.000244644,10,0.00925939,0.00368333,15.0559,0.0664192,28.1302,0.0996943
0.621076,0.000338685,2,0.250897,0.000188187,0.55564,1.79973,550.585,0.0894505
0.621076,0.000338685,5,0.0451687,0.00104532,3.08639,0.324003,99.1212,0.0894505
0.621076,0.000338685,10,0.0114886,0.00410976,12.1345,0.08241,25.2114,0.0894505
0.692201,0.000468876,2,0.301508,0.000216795,0.462371,2.16277,477.931,0.0802593
0.692201,0.000468876,5,0.055796,0.00117151,2.49854,0.400234,88.4443,0.0802593
0.692201,0.000468876,10,0.0142507,0.0045868,9.78254,0.102223,22.5894,0.0802593
0.77147,0.000649113,2,0.359639,0.000251619,0.387635,2.57975,411.786,0.0720126
0.77147,0.000649113,5,0.0688321,0.00131467,2.02534,0.493744,78.8127,0.0720126
0.77147,0.000649113,10,0.0176709,0.00512094,7.88914,0.126756,20.2332,0.0720126
0.859818,0.000898632,2,0.425155,0.000294662,0.3279,3.04971,351.634,0.0646132
0.859818,0.000898632,5,0.0847746,0.00147777,1.64446,0.608102,70.1146,0.0646132
0.859818,0.000898632,10,0.0219028,0.00571968,6.36487,0.157112,18.1152,0.0646132
0.958283,0.00124407,2,0.497281,0.000348764,0.280341,3.56708,297.087,0.057974
0.958283,0.00124407,5,0.104198,0.00166446,1.33792,0.747429,62.2501,0.057974
0.958283,0.00124407,10,0.027134,0.00639173,5.13777,0.194637,16.2105,0.057974
1.06802,0.00172229,2,0.574401,0.000418003,0.242702,4.12027,247.876,0.0520171
1.06802,0.00172229,5,0.127752,0.00187944,1.09124,0.916385,55.1298,0.0520171
1.06802,0.00172229,10,0.0335931,0.00714735,4.14991,0.240969,14.4967,0.0520171
1.19033,0.00238434,2,0.653931,0.000508306,0.213185,4.69076,203.84,0.0466723
1.19033,0.00238434,5,0.156149,0.00212872,0.892794,1.12008,48.6738,0.0466723
1.19033,0.00238434,10,0.0415565,0.00799867,3.35467,0.298092,12.9538,0.0466723
1.32665,0.00330088,2,0.732348,0.000628349,0.190358,5.25326,164.897,0.0418766
1.32665,0.00330088,5,0.190138,0.0024202,0.733197,1.36389,42.8118,0.0418766
1.32665,0.00330088,10,0.051357,0.00896023,2.7145,0.368392,11.5637,0.0418766
1.47857,0.00456974,2,0.805484,0.000790904,0.173074,5.77787,131.006,0.0375737
1.47857,0.00456974,5,0.230457,0.00276433,0.604921,1.65311,37.4821,0.0375737
1.47857,0.00456974,10,0.0633912,0.0100497,2.19917,0.454716,10.3101,0.0375737
1.6479,0.00632636,2,0.86915,0.00101472,0.160396,6.23456,102.109,0.033713
1.6479,0.00632636,5,0.277756,0.00317526,0.50191,1.99239,32.6313,0.033713
1.6479,0.00632636,10,0.0781272,0.0112886,1.78438,0.56042,9.17855,0.033713
1.83661,0.00875821,2,0.920035,0.00132709,0.151525,6.59957,78.0754,0.0302489
1.83661,0.00875821,5,0.33248,0.0036723,0.419298,2.38494,28.2147,0.0302489
1.83661,0.00875821,10,0.0961091,0.012704,1.45052,0.689407,8.15594,0.0302489
2.04694,0.0121249,2,0.956625,0.00176695,0.145729,6.86203,58.6394,0.0271408
2.04694,0.0121249,5,0.394718,0.00428232,0.353185,2.83138,24.1955,0.0271408
2.04694,0.0121249,10,0.117958,0.0143298,1.18185,0.84613,7.23059,0.0271408
2.28135,0.0167857,2,0.979712,0.00238853,0.142295,7.02764,43.3795,0.024352
2.28135,0.0167857,5,0.464008,0.00504316,0.300444,3.32841,20.5452,0.024352
2.28135,0.0167857,10,0.144363,0.0162096,0.96568,1.03554,6.39207,0.024352
2.54261,0.0232381,2,0.992105,0.00326537,0.140518,7.11654,31.7308,0.0218498
2.54261,0.0232381,5,0.539135,0.00600887,0.258578,3.86731,17.2433,0.0218498
2.54261,0.0232381,10,0.176064,0.0184001,0.791805,1.26294,5.63112,0.0218498
2.83379,0.0321709,2,0.997556,0.00449588,0.13975,7.15563,23.0462,0.0196047
2.83379,0.0321709,5,0.617961,0.00725757,0.225594,4.43274,14.2765,0.0196047
2.83379,0.0321709,10,0.213811,0.020976,0.652017,1.5337,4.93961,0.0196047
3.15831,0.0445374,2,0.99943,0.00621243,0.139488,7.16908,16.6783,0.0175903
3.15831,0.0445374,5,0.697369,0.00890332,0.199906,5.00234,11.6376,0.0175903
3.15831,0.0445374,10,0.2583,0.0240376,0.539716,1.85283,4.31046,0.0175903
3.51999,0.0616577,2,0.999907,0.0085964,0.139421,7.1725,12.0531,0.0157829
3.51999,0.0616577,5,0.773423,0.0111137,0.180249,5.54789,9.32298,0.0157829
3.51999,0.0616577,10,0.310071,0.0277214,0.449601,2.22419,3.73766,0.0157829
3.9231,0.0853589,2,0.99999,0.0118999,0.13941,7.1731,8.70707,0.0141612
3.9231,0.0853589,5,0.841846,0.0141353,0.165599,6.0387,7.33008,0.0141612
3.9231,0.0853589,10,0.369376,0.0322158,0.377416,2.6496,3.21622,0.0141612
4.37236,0.118171,2,0.999999,0.016474,0.139408,7.17316,6.28947,0.0127061
4.37236,0.118171,5,0.89881,0.0183287,0.155103,6.44732,5.65304,0.0127061
4.37236,0.118171,10,0.435993,0.0377851,0.319749,3.12745,2.74217,0.0127061
4.87308,0.163596,2,1,0.0228067,0.139408,7.17317,4.5431,0.0114005
4.87308,0.163596,5,0.941893,0.0242137,0.148009,6.75636,4.27911,0.0114005
4.87308,0.163596,10,0.509027,0.0448044,0.273872,3.65134,2.31256,0.0114005
5.43114,0.226483,2,1,0.0315736,0.139408,7.17317,3.28164,0.0102291
5.43114,0.226483,5,0.970827,0.0325224,0.143598,6.9639,3.1859,0.0102291
5.43114,0.226483,10,0.586718,0.0538139,0.237607,4.20863,1.92539,0.0102291
6.0531,0.313543,2,1,0.0437105,0.139408,7.17317,2.37044,0.00917803
6.0531,0.313543,5,0.987604,0.0442591,0.141158,7.08425,2.34105,0.00917803
6.0531,0.313543,10,0.666328,0.0655991,0.209219,4.77968,1.57949,0.00917803
6.7463,0.434069,2,1,0.0605129,0.139408,7.17317,1.71225,0.00823497
6.7463,0.434069,5,0.995719,0.060773,0.140008,7.14246,1.70492,0.00823497
6.7463,0.434069,10,0.744206,0.081312,0.187325,5.33831,1.27426,0.00823497
7.51887,0.600925,2,1,0.0837741,0.139408,7.17317,1.23681,0.00738881
7.51887,0.600925,5,0.998857,0.0838699,0.139568,7.16497,1.2354,0.00738881
7.51887,0.600925,10,0.81613,0.102648,0.170816,5.85424,1.0094,0.00738881
8.37992,0.831922,2,1,0.115977,0.139408,7.17317,0.893393,0.0066296
8.37992,0.831922,5,0.999778,0.116003,0.139439,7.17158,0.893195,0.0066296
8.37992,0.831922,10,0.877986,0.132094,0.158782,6.29794,0.784386,0.0066296
9.33958,1.15171,2,1,0.160559,0.139408,7.17317,0.645328,0.0059484
9.33958,1.15171,5,0.999971,0.160563,0.139412,7.17296,0.64531,0.0059484
9.33958,1.15171,10,0.926686,0.173261,0.150438,6.64728,0.598017,0.0059484
10.4091,1.59443,2,1,0.222277,0.139408,7.17317,0.466143,0.00533719
10.4091,1.59443,5,0.999998,0.222278,0.139409,7.17315,0.466142,0.00533719
10.4091,1.59443,10,0.961061,0.231283,0.145057,6.89385,0.447991,0.00533719
11.6012,2.20734,2,1,0.307721,0.139408,7.17317,0.336711,0.00478879
11.6012,2.20734,5,1,0.307721,0.139408,7.17317,0.336711,0.00478879
11.6012,2.20734,10,0.982256,0.31328,0.141927,7.04589,0.330736,0.00478879
12.9297,3.05584,2,1,0.426009,0.139408,7.17317,0.243218,0.00429673
12.9297,3.05584,5,1,0.426009,0.139408,7.17317,0.243218,0.00429673
12.9297,3.05584,10,0.993316,0.428876,0.140347,7.12522,0.241592,0.00429673
14.4104,4.2305,2,1,0.589768,0.139408,7.17317,0.175684,0.00385524
14.4104,4.2305,5,1,0.589768,0.139408,7.17317,0.175684,0.00385524
