aperture_m,pulse_energy_J,ao_strehl,spot_diameter_m,fluence_J_cm2,above_threshold,dv_per_pulse_mm_s,pulses_needed,engagement_time_s,laser_energy_MJ
1,2000,0.957591,2.11244,0.0459345,False,0,inf,inf,inf
1,5000,0.957591,2.11244,0.114836,False,0,inf,inf,inf
1,20000,0.957591,2.11244,0.459345,False,0,inf,inf,inf
1,100000,0.957591,2.11244,2.29673,True,26.2179,1976,197.6,197.6
2,2000,0.892357,1.09414,0.171221,False,0,inf,inf,inf
2,5000,0.892357,1.09414,0.428053,False,0,inf,inf,inf
2,20000,0.892357,1.09414,1.71221,True,10.7351,4825.88,482.588,96.5176
2,100000,0.892357,1.09414,8.56106,True,230.382,224.872,22.4872,22.4872
3,2000,0.807883,0.766617,0.348779,False,0,inf,inf,inf
3,5000,0.807883,0.766617,0.871947,False,0,inf,inf,inf
3,20000,0.807883,0.766617,3.48779,True,76.3843,678.235,67.8235,13.5647
3,100000,0.807883,0.766617,17.4389,True,328.81,157.557,15.7557,15.7557
5,2000,0.615577,0.526942,0.738213,False,0,inf,inf,inf
5,5000,0.615577,0.526942,1.84553,True,13.737,3771.31,377.131,18.8565
5,20000,0.615577,0.526942,7.38213,True,213.932,242.163,24.2163,4.84326
5,100000,0.615577,0.526942,36.9106,True,478.367,108.299,10.8299,10.8299
8,2000,0.350277,0.436594,1.07535,True,0.713327,72626.5,7262.65,145.253
8,5000,0.350277,0.436594,2.68838,True,39.9578,1296.53,129.653,6.48265
8,20000,0.350277,0.436594,10.7535,True,258.203,200.643,20.0643,4.01285
8,100000,0.350277,0.436594,53.7676,True,577.359,89.7301,8.97301,8.97301
10,2000,0.219433,0.441289,1.05259,True,0.487351,106302,10630.2,212.604
10,5000,0.219433,0.441289,2.63149,True,37.7942,1370.75,137.075,6.85376
10,20000,0.219433,0.441289,10.5259,True,255.456,202.8,20.28,4.056
10,100000,0.219433,0.441289,52.6297,True,571.217,90.695,9.0695,9.0695
15,2000,0.0512696,0.608629,0.553352,False,0,inf,inf,inf
15,5000,0.0512696,0.608629,1.38338,True,4.66887,11096.2,1109.62,55.4808
15,20000,0.0512696,0.608629,5.53352,True,185.219,279.704,27.9704,5.59407
15,100000,0.0512696,0.608629,27.6676,True,414.163,125.087,12.5087,12.5087
