phi_deg,slant_range_km,elevation_deg,retrograde_fraction,airmass,transmission,r0_cm,ao_strehl,spot_diameter_m,fluence_J_cm2,above_threshold,Cm_N_s_per_J,impulse_N_s,useful_impulse_N_s,dv_per_pulse_m_s,fraction_on_target
-24,2969.81,5.24316,0.872554,9.90933,0.226186,4.08126,0.0360166,5.28144,0.0206491,False,0,0,0,0,3.58505e-06
-23.5,2914.47,5.84778,0.871661,9.03828,0.257756,4.3129,0.0482378,4.47858,0.032724,False,0,0,0,0,4.98561e-06
-23,2859.19,6.46613,0.870647,8.28669,0.288516,4.54352,0.0620687,3.87331,0.0489718,False,0,0,0,0,6.66555e-06
-22.5,2803.99,7.099,0.869504,7.63242,0.318268,4.77336,0.0773002,3.40377,0.0699538,False,0,0,0,0,8.63136e-06
-22,2748.85,7.74723,0.868223,7.05831,0.346891,5.00266,0.0937156,3.03054,0.0961814,False,0,0,0,0,1.08883e-05
-21.5,2693.81,8.41175,0.866795,6.55086,0.374326,5.23169,0.111104,2.72757,0.128126,False,0,0,0,0,1.34415e-05
-21,2638.86,9.09354,0.865208,6.09937,0.400554,5.46072,0.129271,2.47708,0.166234,False,0,0,0,0,1.62974e-05
-20.5,2584.02,9.79369,0.863451,5.69524,0.425587,5.69002,0.148037,2.26665,0.21094,False,0,0,0,0,1.9464e-05
-20,2529.29,10.5133,0.861511,5.33149,0.449453,5.91987,0.167247,2.08734,0.262686,False,0,0,0,0,2.29515e-05
-19.5,2474.69,11.2537,0.859373,5.00243,0.472195,6.15053,0.186764,1.93263,0.321931,False,0,0,0,0,2.67733e-05
-19,2420.24,12.0162,0.857021,4.70335,0.49386,6.38229,0.206471,1.79764,0.38917,False,0,0,0,0,3.09453e-05
-18.5,2365.94,12.8023,0.854438,4.43036,0.514503,6.61543,0.22627,1.67867,0.464942,False,0,0,0,0,3.54871e-05
-18,2311.81,13.6135,0.851604,4.18018,0.534178,6.85022,0.246077,1.57287,0.549847,False,0,0,0,0,4.04218e-05
-17.5,2257.87,14.4515,0.848496,3.95007,0.552938,7.08694,0.265822,1.47801,0.644553,False,0,0,0,0,4.57765e-05
-17,2204.14,15.3183,0.845091,3.73769,0.570836,7.32587,0.285449,1.39235,0.749811,False,0,0,0,0,5.15823e-05
-16.5,2150.64,16.2158,0.841362,3.54106,0.587924,7.56731,0.30491,1.31448,0.866463,False,0,0,0,0,5.78747e-05
-16,2097.38,17.1463,0.837277,3.35847,0.604248,7.81154,0.324168,1.24327,0.995457,False,0,0,0,0,6.46944e-05
-15.5,2044.39,18.1122,0.832804,3.18846,0.619855,8.05884,0.34319,1.1778,1.13786,True,3.4464e-06,3.07994e-06,2.56499e-06,0.00181436,7.2087e-05
-15,1991.7,19.116,0.827903,3.02978,0.634786,8.3095,0.361951,1.11731,1.29485,True,7.3713e-06,7.49643e-06,6.20632e-06,0.00439007,8.01037e-05
-14.5,1939.34,20.1607,0.822534,2.88131,0.649082,8.56381,0.380432,1.06118,1.46778,True,1.16945e-05,1.34813e-05,1.10888e-05,0.00784372,8.88017e-05
-14,1887.33,21.2494,0.816648,2.74212,0.662776,8.82205,0.398615,1.00889,1.65812,True,1.6453e-05,2.14265e-05,1.74979e-05,0.0123772,9.82446e-05
-13.5,1835.71,22.3853,0.810192,2.61136,0.675904,9.08451,0.416487,0.960017,1.86753,True,2.16883e-05,3.18113e-05,2.57733e-05,0.0182309,0.000108503
-13,1784.53,23.5724,0.803105,2.48831,0.688496,9.35144,0.434037,0.914187,2.09784,True,2.74459e-05,4.52209e-05,3.63171e-05,0.0256891,0.000119655
-12.5,1733.81,24.8145,0.795321,2.37234,0.700577,9.62311,0.451253,0.871097,2.35105,True,3.37764e-05,6.23685e-05,4.9603e-05,0.0350869,0.000131785
-12,1683.62,26.116,0.786762,2.26288,0.712175,9.89975,0.468128,0.830492,2.62939,True,4.07348e-05,8.41224e-05,6.61843e-05,0.0468158,0.000144987
-11.5,1633.99,27.4818,0.777345,2.15946,0.723309,10.1815,0.484652,0.792153,2.93526,True,4.83814e-05,0.000111536,8.67019e-05,0.061329,0.000159361
-11,1584.99,28.9171,0.766974,2.06165,0.733999,10.4687,0.500816,0.755896,3.27123,True,5.67808e-05,0.000145882,0.000111888,0.0791446,0.000175015
-10.5,1536.68,30.4274,0.75554,1.96908,0.744262,10.7612,0.516609,0.721568,3.64009,True,6.60022e-05,0.000188695,0.000142566,0.100845,0.000192064
-10,1489.13,32.0189,0.742924,1.88144,0.754111,11.0593,0.532022,0.689039,4.04472,True,7.6118e-05,0.000241805,0.000179643,0.127071,0.000210626
-9.5,1442.43,33.6981,0.728992,1.79844,0.763558,11.3627,0.54704,0.658202,4.48811,True,8.72027e-05,0.000307385,0.000224081,0.158505,0.000230824
-9,1396.65,35.4719,0.713595,1.71987,0.77261,11.6714,0.561649,0.628971,4.97324,True,9.93309e-05,0.000387984,0.000276863,0.195841,0.000252778
-8.5,1351.91,37.3477,0.696568,1.64553,0.781274,11.985,0.575831,0.601276,5.50295,True,9.53207e-05,0.000411977,0.00028697,0.20299,0.0002766
-8,1308.29,39.3334,0.677731,1.57526,0.789552,12.3029,0.589563,0.575063,6.07981,True,9.06859e-05,0.000433032,0.000293479,0.207594,0.000302391
-7.5,1265.94,41.437,0.656888,1.50896,0.797444,12.6245,0.602822,0.550293,6.70582,True,8.63493e-05,0.000454779,0.000298739,0.211315,0.000330226
-7,1224.98,43.6667,0.63383,1.44653,0.804946,12.9486,0.615577,0.526942,7.38213,True,8.22989e-05,0.000477162,0.00030244,0.213932,0.000360143
-6.5,1185.56,46.0307,0.608336,1.38793,0.812053,13.274,0.627797,0.504996,8.10864,True,7.85256e-05,0.000500091,0.000304223,0.215194,0.000392124
