error_multiple,fg01_delivered_fraction,fg01_miss_mm,laser_pointing_error_m,laser_fluence_J_cm2,laser_above_threshold,laser_delivered_fraction
0.05,0.9995,0.28875,0.012625,7.99747,True,0.995012
0.0513868,0.999472,0.296759,0.0129752,7.99522,True,0.994733
0.0528121,0.999442,0.30499,0.013335,7.99285,True,0.994437
0.0542769,0.999411,0.313449,0.0137049,7.99034,True,0.994125
0.0557823,0.999378,0.322143,0.014085,7.98769,True,0.993796
0.0573294,0.999343,0.331078,0.0144757,7.9849,True,0.993448
0.0589195,0.999306,0.34026,0.0148772,7.98195,True,0.993081
0.0605537,0.999267,0.349698,0.0152898,7.97883,True,0.992693
0.0622332,0.999225,0.359397,0.0157139,7.97554,True,0.992284
0.0639593,0.999182,0.369365,0.0161497,7.97207,True,0.991852
0.0657333,0.999136,0.37961,0.0165977,7.9684,True,0.991395
0.0675565,0.999087,0.390139,0.017058,7.96453,True,0.990914
0.0694302,0.999036,0.40096,0.0175311,7.96044,True,0.990405
0.0713559,0.998982,0.412081,0.0180174,7.95613,True,0.989868
0.0733351,0.998925,0.42351,0.0185171,7.95157,True,0.989302
0.0753691,0.998864,0.435257,0.0190307,7.94676,True,0.988703
0.0774595,0.9988,0.447329,0.0195585,7.94169,True,0.988072
0.0796079,0.998733,0.459736,0.020101,7.93633,True,0.987405
0.0818159,0.998662,0.472487,0.0206585,7.93067,True,0.986702
0.0840852,0.998586,0.485592,0.0212315,7.9247,True,0.985959
0.0864174,0.998507,0.49906,0.0218204,7.9184,True,0.985175
0.0888142,0.998423,0.512902,0.0224256,7.91175,True,0.984348
0.0912776,0.998334,0.527128,0.0230476,7.90474,True,0.983475
0.0938093,0.998241,0.541748,0.0236868,7.89733,True,0.982554
0.0964112,0.998142,0.556774,0.0243438,7.88952,True,0.981582
0.0990852,0.998038,0.572217,0.025019,7.88128,True,0.980556
0.101833,0.997927,0.588088,0.0257129,7.87258,True,0.979474
0.104658,0.997811,0.604399,0.0264261,7.8634,True,0.978332
0.107561,0.997688,0.621163,0.0271591,7.85372,True,0.977127
0.110544,0.997558,0.638391,0.0279124,7.8435,True,0.975856
0.11361,0.997421,0.656098,0.0286865,7.83273,True,0.974516
0.116761,0.997276,0.674295,0.0294822,7.82137,True,0.973102
0.12,0.997123,0.692998,0.0302999,7.80938,True,0.971611
0.123328,0.996961,0.712218,0.0311403,7.79674,True,0.970038
0.126748,0.996791,0.731973,0.032004,7.78341,True,0.96838
0.130264,0.996611,0.752274,0.0328917,7.76936,True,0.966632
0.133877,0.99642,0.77314,0.0338039,7.75455,True,0.964789
0.13759,0.996219,0.794583,0.0347415,7.73893,True,0.962846
0.141406,0.996007,0.816622,0.0357051,7.72247,True,0.960798
0.145328,0.995783,0.839272,0.0366954,7.70512,True,0.958639
0.149359,0.995546,0.86255,0.0377132,7.68683,True,0.956364
0.153502,0.995297,0.886473,0.0387592,7.66757,True,0.953968
0.157759,0.995033,0.91106,0.0398342,7.64728,True,0.951442
0.162135,0.994754,0.93633,0.0409391,7.6259,True,0.948783
0.166632,0.99446,0.9623,0.0420746,7.60338,True,0.945981
0.171254,0.994149,0.98899,0.0432415,7.57967,True,0.943031
0.176004,0.993821,1.01642,0.0444409,7.55471,True,0.939926
0.180885,0.993475,1.04461,0.0456735,7.52843,True,0.936656
0.185902,0.993109,1.07359,0.0469403,7.50077,True,0.933215
0.191058,0.992723,1.10336,0.0482422,7.47167,True,0.929595
0.196358,0.992315,1.13396,0.0495803,7.44106,True,0.925786
0.201804,0.991885,1.16542,0.0509554,7.40886,True,0.921779
0.207401,0.99143,1.19774,0.0523687,7.37499,True,0.917566
0.213153,0.99095,1.23096,0.0538212,7.3394,True,0.913138
0.219065,0.990444,1.2651,0.055314,7.30198,True,0.908483
0.225141,0.989909,1.30019,0.0568482,7.26267,True,0.903592
0.231386,0.989345,1.33625,0.0584249,7.22138,True,0.898455
0.237804,0.988749,1.37332,0.0600454,7.17803,True,0.89306
0.244399,0.98812,1.41141,0.0617108,7.13251,True,0.887398
0.251178,0.987456,1.45055,0.0634224,7.08475,True,0.881455
0.258145,0.986755,1.49079,0.0651815,7.03465,True,0.875222
0.265305,0.986015,1.53213,0.0669894,6.98212,True,0.868686
0.272663,0.985235,1.57463,0.0688474,6.92706,True,0.861836
0.280226,0.984411,1.6183,0.070757,6.86937,True,0.854659
0.287998,0.983541,1.66319,0.0727195,6.80896,True,0.847143
0.295986,0.982623,1.70932,0.0747364,6.74573,True,0.839276
0.304195,0.981655,1.75673,0.0768093,6.67959,True,0.831046
0.312632,0.980633,1.80545,0.0789397,6.61042,True,0.822441
0.321304,0.979555,1.85553,0.0811292,6.53815,True,0.813449
0.330215,0.978418,1.90699,0.0833794,6.46266,True,0.804058
0.339374,0.977218,1.95989,0.085692,6.38388,True,0.794256
0.348787,0.975952,2.01424,0.0880687,6.30171,True,0.784033
0.358461,0.974617,2.07011,0.0905114,6.21606,True,0.773377
0.368403,0.973209,2.12753,0.0930218,6.12687,True,0.76228
0.378621,0.971724,2.18654,0.0956018,6.03404,True,0.750731
0.389123,0.970157,2.24718,0.0982535,5.93753,True,0.738723
0.399915,0.968505,2.30951,0.100979,5.83726,True,0.726247
0.411007,0.966764,2.37357,0.103779,5.73319,True,0.713299
0.422407,0.964928,2.4394,0.106658,5.62528,True,0.699874
0.434123,0.962992,2.50706,0.109616,5.5135,True,0.685967
0.446164,0.960952,2.5766,0.112656,5.39785,True,0.671579
0.458538,0.958801,2.64806,0.115781,5.27833,True,0.656709
0.471256,0.956535,2.72151,0.118992,5.15496,True,0.641359
0.484327,0.954147,2.79699,0.122293,5.02779,True,0.625536
0.49776,0.951632,2.87457,0.125685,4.89686,True,0.609247
0.511566,0.948982,2.9543,0.129171,4.76227,True,0.592502
0.525755,0.946191,3.03624,0.132753,4.62413,True,0.575315
0.540337,0.943252,3.12045,0.136435,4.48257,True,0.557703
0.555324,0.940158,3.207,0.140219,4.33775,True,0.539685
0.570727,0.9369,3.29595,0.144108,4.18986,True,0.521285
0.586556,0.933472,3.38736,0.148105,4.03913,True,0.502532
0.602825,0.929864,3.48131,0.152213,3.8858,True,0.483455
0.619545,0.926069,3.57787,0.156435,3.73017,True,0.464092
0.636729,0.922077,3.67711,0.160774,3.57255,True,0.444482
0.654389,0.917879,3.7791,0.165233,3.41329,True,0.424667
0.672539,0.913465,3.88391,0.169816,3.25277,True,0.404697
0.691193,0.908827,3.99164,0.174526,3.09142,True,0.384622
0.710363,0.903953,4.10235,0.179367,2.92968,True,0.364499
0.730066,0.898833,4.21613,0.184342,2.76802,True,0.344386
0.750315,0.893457,4.33307,0.189455,2.60695,True,0.324346
0.771126,0.887813,4.45325,0.194709,2.44698,True,0.304443
0.792514,0.88189,4.57677,0.20011,2.28867,True,0.284746
0.814495,0.875677,4.70371,0.20566,2.13256,True,0.265324
0.837086,0.869162,4.83417,0.211364,1.97922,True,0.246246
0.860303,0.862333,4.96825,0.217227,1.82921,True,0.227582
0.884164,0.855179,5.10605,0.223252,1.68309,True,0.209403
0.908688,0.847686,5.24767,0.229444,1.54141,True,0.191776
0.933891,0.839843,5.39322,0.235807,1.4047,True,0.174767
0.959793,0.831637,5.54281,0.242348,1.27344,True,0.158436
0.986414,0.823057,5.69654,0.24907,1.14809,True,0.142841
1.01377,0.81409,5.85454,0.255978,1.02907,True,0.128032
1.04189,0.804724,6.01692,0.263078,0.916724,False,0
1.07079,0.794949,6.18381,0.270374,0.811353,False,0
1.10049,0.784752,6.35532,0.277873,0.713178,False,0
1.13101,0.774124,6.53159,0.28558,0.622353,False,0
1.16238,0.763053,6.71275,0.293501,0.538949,False,0
1.19462,0.751532,6.89894,0.301642,0.462961,False,0
1.22775,0.739551,7.09028,0.310008,0.394302,False,0
1.26181,0.727103,7.28694,0.318606,0.332807,False,0
1.29681,0.714182,7.48905,0.327443,0.278237,False,0
1.33277,0.700783,7.69677,0.336525,0.230283,False,0
1.36974,0.686902,7.91024,0.345859,0.188578,False,0
1.40773,0.672539,8.12964,0.355452,0.1527,False,0
1.44677,0.657693,8.35512,0.365311,0.122189,False,0
1.4869,0.642367,8.58686,0.375443,0.0965559,False,0
1.52814,0.626566,8.82503,0.385856,0.0752968,False,0
1.57053,0.610297,9.0698,0.396558,0.0579028,False,0
1.61409,0.593571,9.32136,0.407557,0.043874,False,0
1.65886,0.576401,9.57989,0.418861,0.0327294,False,0
1.70487,0.558802,9.8456,0.430479,0.0240166,False,0
1.75215,0.540796,10.1187,0.442418,0.017319,False,0
1.80075,0.522406,10.3993,0.454689,0.0122617,False,0
1.8507,0.503658,10.6878,0.467301,0.00851419,False,0
1.90203,0.484584,10.9842,0.480262,0.00579198,False,0
1.95478,0.46522,11.2889,0.493582,0.00385567,False,0
2.009,0.445605,11.602,0.507272,0.00250862,False,0
2.06472,0.425782,11.9238,0.521342,0.0015932,False,0
2.12199,0.405799,12.2545,0.535802,0.000986319,False,0
2.18084,0.385707,12.5944,0.550663,0.000594363,False,0
2.24133,0.365563,12.9437,0.565936,0.000348109,False,0
2.3035,0.345424,13.3027,0.581633,0.000197839,False,0
2.36739,0.325354,13.6716,0.597765,0.00010892,False,0
2.43305,0.305418,14.0508,0.614344,5.79861e-05,False,0
2.50053,0.285682,14.4406,0.631384,2.9795e-05,False,0
2.56988,0.266217,14.8411,0.648896,1.47468e-05,False,0
2.64116,0.247093,15.2527,0.666894,7.01575e-06,False,0
2.71442,0.22838,15.6758,0.68539,3.20115e-06,False,0
