aperture_m,wavelength_nm,range_m,spot_diameter_m,spot_vs_target,fraction_on_target,pulse_energy_J,dv_per_pulse_m_s,pulses_per_object,total_energy_J,avg_power_at_10Hz_W,pointing_tolerance_urad
0.25,1060,100,0.00134493,0.134493,1,0.0710326,0.00502453,10310.7,732.397,0.710326,6.72464
0.25,1060,1000,0.0134493,1.34493,0.552843,7.10326,0.277778,186.503,1324.78,71.0326,6.72464
0.25,1060,10000,0.134493,13.4493,0.00552843,710.326,0.277778,186.503,132478,7103.26,6.72464
0.25,1060,100000,1.34493,134.493,5.52843e-05,71032.6,0.277778,186.503,1.32478e+07,710326,6.72464
0.25,1060,1e+06,13.4493,1344.93,5.52843e-07,7.10326e+06,0.277778,186.503,1.32478e+09,7.10326e+07,6.72464
0.25,532,100,0.000675002,0.0675002,1,0.0178924,0.00126563,40933.3,732.397,0.178924,3.37501
0.25,532,1000,0.00675002,0.675002,1,1.78924,0.126563,409.333,732.397,17.8924,3.37501
0.25,532,10000,0.0675002,6.75002,0.0219478,178.924,0.277778,186.503,33370,1789.24,3.37501
0.25,532,100000,0.675002,67.5002,0.000219478,17892.4,0.277778,186.503,3.337e+06,178924,3.37501
0.25,532,1e+06,6.75002,675.002,2.19478e-06,1.78924e+06,0.277778,186.503,3.337e+08,1.78924e+07,3.37501
0.5,1060,100,0.000672464,0.0672464,1,0.0177582,0.00125613,41242.8,732.397,0.177582,3.36232
0.5,1060,1000,0.00672464,0.672464,1,1.77582,0.125613,412.428,732.397,17.7582,3.36232
0.5,1060,10000,0.0672464,6.72464,0.0221137,177.582,0.277778,186.503,33119.6,1775.82,3.36232
0.5,1060,100000,0.672464,67.2464,0.000221137,17758.2,0.277778,186.503,3.31196e+06,177582,3.36232
0.5,1060,1e+06,6.72464,672.464,2.21137e-06,1.77582e+06,0.277778,186.503,3.31196e+08,1.77582e+07,3.36232
0.5,532,100,0.000337501,0.0337501,1,0.00447311,0.000316408,163733,732.397,0.0447311,1.6875
0.5,532,1000,0.00337501,0.337501,1,0.447311,0.0316408,1637.33,732.397,4.47311,1.6875
0.5,532,10000,0.0337501,3.37501,0.0877911,44.7311,0.277778,186.503,8342.5,447.311,1.6875
0.5,532,100000,0.337501,33.7501,0.000877911,4473.11,0.277778,186.503,834250,44731.1,1.6875
0.5,532,1e+06,3.37501,337.501,8.77911e-06,447311,0.277778,186.503,8.3425e+07,4.47311e+06,1.6875
1,1060,100,0.000336232,0.0336232,1,0.00443954,0.000314033,164971,732.397,0.0443954,1.68116
1,1060,1000,0.00336232,0.336232,1,0.443954,0.0314033,1649.71,732.397,4.43954,1.68116
1,1060,10000,0.0336232,3.36232,0.0884549,44.3954,0.277778,186.503,8279.89,443.954,1.68116
1,1060,100000,0.336232,33.6232,0.000884549,4439.54,0.277778,186.503,827989,44395.4,1.68116
1,1060,1e+06,3.36232,336.232,8.84549e-06,443954,0.277778,186.503,8.27989e+07,4.43954e+06,1.68116
1,532,100,0.00016875,0.016875,1,0.00111828,7.91019e-05,654933,732.397,0.0111828,0.843752
1,532,1000,0.0016875,0.16875,1,0.111828,0.00791019,6549.33,732.397,1.11828,0.843752
1,532,10000,0.016875,1.6875,0.351164,11.1828,0.277778,186.503,2085.62,111.828,0.843752
1,532,100000,0.16875,16.875,0.00351164,1118.28,0.277778,186.503,208562,11182.8,0.843752
1,532,1e+06,1.6875,168.75,3.51164e-05,111828,0.277778,186.503,2.08562e+07,1.11828e+06,0.843752
2,1060,100,0.000168116,0.0168116,1,0.00110989,7.85083e-05,659885,732.397,0.0110989,0.84058
2,1060,1000,0.00168116,0.168116,1,0.110989,0.00785083,6598.85,732.397,1.10989,0.84058
2,1060,10000,0.0168116,1.68116,0.35382,11.0989,0.277778,186.503,2069.97,110.989,0.84058
2,1060,100000,0.168116,16.8116,0.0035382,1109.89,0.277778,186.503,206997,11098.9,0.84058
2,1060,1e+06,1.68116,168.116,3.5382e-05,110989,0.277778,186.503,2.06997e+07,1.10989e+06,0.84058
2,532,100,8.43752e-05,0.00843752,1,0.000279569,1.97755e-05,2.61973e+06,732.397,0.00279569,0.421876
2,532,1000,0.000843752,0.0843752,1,0.0279569,0.00197755,26197.3,732.397,0.279569,0.421876
2,532,10000,0.00843752,0.843752,1,2.79569,0.197755,261.973,732.397,27.9569,0.421876
2,532,100000,0.0843752,8.43752,0.0140466,279.569,0.277778,186.503,52140.6,2795.69,0.421876
2,532,1e+06,0.843752,84.3752,0.000140466,27956.9,0.277778,186.503,5.21406e+06,279569,0.421876
