E_muzzle_J,m_p_g,chemical_total_kg,coilgun_total_kg,railgun_total_kg,chemical_over_coilgun
50,0.260987,0.0181772,0.316318,1.10642,0.0574651
58.4476,0.305081,0.0212483,0.330397,1.20155,0.0643115
68.3224,0.356625,0.0248382,0.346855,1.30532,0.0716099
79.8656,0.416878,0.0290347,0.366094,1.41855,0.0793096
93.3591,0.48731,0.0339402,0.388583,1.54221,0.0873435
109.132,0.569642,0.0396744,0.414871,1.67734,0.0956307
127.57,0.665884,0.0457298,0.44808,1.82511,0.102057
149.124,0.778386,0.0499025,0.496579,1.98685,0.100492
174.318,0.909896,0.0544886,0.551819,2.16401,0.0987435
203.77,1.06362,0.0595312,0.614861,2.35823,0.0968205
238.197,1.24333,0.065078,0.686942,2.57135,0.0947358
278.441,1.45339,0.0711819,0.769502,2.80544,0.092504
325.484,1.69894,0.0779016,0.864221,3.06281,0.0901408
380.475,1.98598,0.0853018,0.973059,3.34608,0.0876636
444.757,2.32151,0.0934545,1.0983,3.65819,0.0850903
519.899,2.71374,0.102439,1.24261,4.00249,0.0824392
607.737,3.17223,0.112345,1.40909,4.38272,0.0797286
710.415,3.70818,0.123269,1.60139,4.80317,0.0769765
830.441,4.33469,0.13532,1.82372,5.26868,0.0742
970.746,5.06704,0.148619,2.08105,5.78474,0.0714154
1134.76,5.92313,0.163299,2.37913,6.35763,0.0686379
1326.47,6.92385,0.179508,2.72472,6.99447,0.0658811
1550.58,8.09364,0.19741,3.12569,7.70341,0.0631574
1812.56,9.46108,0.217189,3.59123,8.49375,0.0604777
2118.79,11.0595,0.247748,4.13208,9.37611,0.0599573
2476.77,12.9281,0.289606,4.7608,10.3627,0.0608314
2895.22,15.1123,0.338536,5.49202,11.4674,0.0616413
3384.38,17.6656,0.395732,6.34289,12.7064,0.0623898
3956.17,20.6502,0.462591,7.33339,14.098,0.0630801
4624.57,24.1391,0.540747,8.48691,15.6633,0.0637154
5405.9,28.2174,0.632107,9.83075,17.4269,0.064299
6319.24,32.9848,0.738903,11.3968,19.4168,0.0648341
7386.89,38.5576,0.863742,13.2224,21.6653,0.065324
8634.92,45.072,1.00967,15.3511,24.21,0.0657719
10093.8,52.687,1.18026,17.8339,27.0941,0.0661808
11799.2,61.5886,1.37967,20.7301,30.3675,0.0665536
13792.7,71.9941,1.61276,24.1095,34.088,0.0668932
16123,84.1576,1.88524,28.0532,38.3227,0.0672023
18847,98.3762,2.20376,32.6564,43.1491,0.0674832
22031.2,114.997,2.57608,38.0299,48.6571,0.0677384
25753.4,134.426,3.01132,44.3036,54.951,0.0679701
30104.5,157.137,3.52009,51.6292,62.1518,0.0681802
35190.7,183.686,4.11481,60.1839,70.4001,0.0683706
41136.2,214.72,4.81002,70.175,79.8592,0.0685432
48086.2,250.998,5.62268,81.8446,90.7187,0.0686994
56210.5,293.404,6.57264,95.4759,103.199,0.0688408
65707.4,342.975,7.6831,111.4,117.557,0.0689687
76808.7,400.922,8.98117,130.003,134.091,0.0690844
89785.7,468.658,10.4986,151.737,153.148,0.069189
104955,547.839,12.2723,177.132,175.133,0.0692835
122688,640.397,14.3457,206.803,200.517,0.0693689
143416,748.593,16.7695,241.475,229.847,0.0694461
167646,875.069,19.6027,281.989,263.765,0.0695158
195970,1022.91,22.9146,329.334,303.013,0.0695787
229080,1195.74,26.7861,384.662,348.461,0.0696354
267783,1397.76,31.3116,449.32,401.121,0.0696867
313026,1633.91,36.6018,524.886,462.173,0.0697329
365912,1909.97,42.7858,613.199,532.995,0.0697747
427734,2232.66,50.0145,716.414,615.193,0.0698123
500000,2609.87,58.4645,837.046,710.642,0.0698463
