architecture,h_km,m_dry_kg,isp_s,dv_deorbit_m_s,propellant_deorbit_kg
chemical,400,108.11,300,87.41,3.16482
chemical,400,108.11,3000,87.41,0.32073
coilgun,400,419.702,300,87.41,12.2864
coilgun,400,419.702,3000,87.41,1.24513
chemical,500,108.11,300,115.043,4.14591
chemical,500,108.11,3000,115.043,0.421924
coilgun,500,419.702,300,115.043,16.0952
coilgun,500,419.702,3000,115.043,1.63799
chemical,600,108.11,300,141.969,5.09308
chemical,600,108.11,3000,141.969,0.520438
coilgun,600,419.702,300,141.969,19.7723
coilgun,600,419.702,3000,141.969,2.02044
chemical,700,108.11,300,168.213,6.00795
chemical,700,108.11,3000,168.213,0.61637
coilgun,700,419.702,300,168.213,23.3239
coilgun,700,419.702,3000,168.213,2.39286
chemical,800,108.11,300,193.799,6.89204
chemical,800,108.11,3000,193.799,0.709813
coilgun,800,419.702,300,193.799,26.7562
coilgun,800,419.702,3000,193.799,2.75562
chemical,900,108.11,300,218.749,7.74681
chemical,900,108.11,3000,218.749,0.800857
coilgun,900,419.702,300,218.749,30.0745
coilgun,900,419.702,3000,218.749,3.10907
chemical,1000,108.11,300,243.085,8.57358
chemical,1000,108.11,3000,243.085,0.889585
coilgun,1000,419.702,300,243.085,33.2842
coilgun,1000,419.702,3000,243.085,3.45353
chemical,1100,108.11,300,266.827,9.37363
chemical,1100,108.11,3000,266.827,0.97608
coilgun,1100,419.702,300,266.827,36.3901
coilgun,1100,419.702,3000,266.827,3.78932
chemical,1200,108.11,300,289.996,10.1482
chemical,1200,108.11,3000,289.996,1.06042
coilgun,1200,419.702,300,289.996,39.397
coilgun,1200,419.702,3000,289.996,4.11674
