architecture,impulse_per_shot_Ns,n_shots,total_impulse_Ns,dv_on_500kg_m_s,isp_s,propellant_kg
chemical,67.06,48,3218.88,6.43776,300,1.09411
chemical,67.06,48,3218.88,6.43776,3000,0.109411
chemical,67.06,300,20118,40.236,300,6.83822
chemical,67.06,300,20118,40.236,3000,0.683822
chemical,67.06,1000,67060,134.12,300,22.7941
chemical,67.06,1000,67060,134.12,3000,2.27941
coilgun,62.34,48,2992.32,5.98464,300,1.01711
coilgun,62.34,48,2992.32,5.98464,3000,0.101711
coilgun,62.34,300,18702,37.404,300,6.35691
coilgun,62.34,300,18702,37.404,3000,0.635691
coilgun,62.34,1000,62340,124.68,300,21.1897
coilgun,62.34,1000,62340,124.68,3000,2.11897
