h_km,dh_km,beta,Es_c_kJ_kg,v_circ_m_s,dv_shift_m_s,dv_direct_m_s,dv_ratio_direct_over_shift,Es_design_619_kJ_kg,Es_design_direct_619_kJ_kg,v_max_safe_m_s,v_design_max_m_s,v_self_disposal_min_m_s,self_disposal_ok
400,150,1,30,7672.6,43.0903,87.41,2.02853,26.6729,54.1068,1392.42,696.212,87.41,True
400,150,1,40,7672.6,43.0903,87.41,2.02853,26.6729,54.1068,1856.57,928.283,87.41,True
400,150,1,50,7672.6,43.0903,87.41,2.02853,26.6729,54.1068,2320.71,1160.35,87.41,True
400,150,1.5,30,7672.6,43.0903,87.41,2.02853,17.7819,36.0712,2088.64,1044.32,87.41,True
400,150,1.5,40,7672.6,43.0903,87.41,2.02853,17.7819,36.0712,2784.85,1392.42,87.41,True
400,150,1.5,50,7672.6,43.0903,87.41,2.02853,17.7819,36.0712,3481.06,1740.53,87.41,True
400,150,2,30,7672.6,43.0903,87.41,2.02853,13.3364,27.0534,2784.85,1392.42,87.41,True
400,150,2,40,7672.6,43.0903,87.41,2.02853,13.3364,27.0534,3713.13,1856.57,87.41,True
400,150,2,50,7672.6,43.0903,87.41,2.02853,13.3364,27.0534,4641.42,2320.71,87.41,True
400,150,2.5,30,7672.6,43.0903,87.41,2.02853,10.6692,21.6427,3481.06,1740.53,87.41,True
400,150,2.5,40,7672.6,43.0903,87.41,2.02853,10.6692,21.6427,4641.42,2320.71,87.41,True
400,150,2.5,50,7672.6,43.0903,87.41,2.02853,10.6692,21.6427,5801.77,2900.88,87.41,True
400,200,1,30,7672.6,57.7243,87.41,1.51427,35.7313,54.1068,1039.42,519.712,87.41,True
400,200,1,40,7672.6,57.7243,87.41,1.51427,35.7313,54.1068,1385.9,692.95,87.41,True
400,200,1,50,7672.6,57.7243,87.41,1.51427,35.7313,54.1068,1732.37,866.187,87.41,True
400,200,1.5,30,7672.6,57.7243,87.41,1.51427,23.8209,36.0712,1559.14,779.568,87.41,True
400,200,1.5,40,7672.6,57.7243,87.41,1.51427,23.8209,36.0712,2078.85,1039.42,87.41,True
400,200,1.5,50,7672.6,57.7243,87.41,1.51427,23.8209,36.0712,2598.56,1299.28,87.41,True
400,200,2,30,7672.6,57.7243,87.41,1.51427,17.8657,27.0534,2078.85,1039.42,87.41,True
400,200,2,40,7672.6,57.7243,87.41,1.51427,17.8657,27.0534,2771.8,1385.9,87.41,True
400,200,2,50,7672.6,57.7243,87.41,1.51427,17.8657,27.0534,3464.75,1732.37,87.41,True
400,200,2.5,30,7672.6,57.7243,87.41,1.51427,14.2925,21.6427,2598.56,1299.28,87.41,True
400,200,2.5,40,7672.6,57.7243,87.41,1.51427,14.2925,21.6427,3464.75,1732.37,87.41,True
400,200,2.5,50,7672.6,57.7243,87.41,1.51427,14.2925,21.6427,4330.94,2165.47,87.41,True
400,250,1,30,7672.6,72.4968,87.41,1.20571,44.8755,54.1068,827.623,413.811,87.41,True
400,250,1,40,7672.6,72.4968,87.41,1.20571,44.8755,54.1068,1103.5,551.749,87.41,True
400,250,1,50,7672.6,72.4968,87.41,1.20571,44.8755,54.1068,1379.37,689.686,87.41,True
400,250,1.5,30,7672.6,72.4968,87.41,1.20571,29.917,36.0712,1241.43,620.717,87.41,True
400,250,1.5,40,7672.6,72.4968,87.41,1.20571,29.917,36.0712,1655.25,827.623,87.41,True
400,250,1.5,50,7672.6,72.4968,87.41,1.20571,29.917,36.0712,2069.06,1034.53,87.41,True
400,250,2,30,7672.6,72.4968,87.41,1.20571,22.4378,27.0534,1655.25,827.623,87.41,True
400,250,2,40,7672.6,72.4968,87.41,1.20571,22.4378,27.0534,2206.99,1103.5,87.41,True
400,250,2,50,7672.6,72.4968,87.41,1.20571,22.4378,27.0534,2758.74,1379.37,87.41,True
400,250,2.5,30,7672.6,72.4968,87.41,1.20571,17.9502,21.6427,2069.06,1034.53,87.41,True
400,250,2.5,40,7672.6,72.4968,87.41,1.20571,17.9502,21.6427,2758.74,1379.37,87.41,True
400,250,2.5,50,7672.6,72.4968,87.41,1.20571,17.9502,21.6427,3448.43,1724.21,87.41,True
500,150,1,30,7616.56,42.1444,115.043,2.72973,26.0874,71.2116,1423.68,711.838,115.043,True
500,150,1,40,7616.56,42.1444,115.043,2.72973,26.0874,71.2116,1898.24,949.118,115.043,True
500,150,1,50,7616.56,42.1444,115.043,2.72973,26.0874,71.2116,2372.79,1186.4,115.043,True
500,150,1.5,30,7616.56,42.1444,115.043,2.72973,17.3916,47.4744,2135.51,1067.76,115.043,True
500,150,1.5,40,7616.56,42.1444,115.043,2.72973,17.3916,47.4744,2847.35,1423.68,115.043,True
500,150,1.5,50,7616.56,42.1444,115.043,2.72973,17.3916,47.4744,3559.19,1779.6,115.043,True
500,150,2,30,7616.56,42.1444,115.043,2.72973,13.0437,35.6058,2847.35,1423.68,115.043,True
500,150,2,40,7616.56,42.1444,115.043,2.72973,13.0437,35.6058,3796.47,1898.24,115.043,True
500,150,2,50,7616.56,42.1444,115.043,2.72973,13.0437,35.6058,4745.59,2372.79,115.043,True
500,150,2.5,30,7616.56,42.1444,115.043,2.72973,10.435,28.4847,3559.19,1779.6,115.043,True
500,150,2.5,40,7616.56,42.1444,115.043,2.72973,10.435,28.4847,4745.59,2372.79,115.043,True
500,150,2.5,50,7616.56,42.1444,115.043,2.72973,10.435,28.4847,5931.98,2965.99,115.043,True
