h_km,beta,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold
400,1,1.41372,0.131835,0.26367,0.186508,1.51427,35.7313,True
400,1.5,1.41372,0.0878899,0.17578,0.124339,1.51427,23.8209,True
400,2,1.41372,0.0659174,0.131835,0.093254,1.51427,17.8657,True
400,2.5,1.41372,0.0527339,0.105468,0.0746032,1.51427,14.2925,True
500,1,1.41372,0.128932,0.257864,0.182401,2.03785,34.9445,True
500,1.5,1.41372,0.0859546,0.171909,0.121601,2.03785,23.2964,True
500,2,1.41372,0.0644659,0.128932,0.0912006,2.03785,17.4723,True
500,2.5,1.41372,0.0515728,0.103146,0.0729605,2.03785,13.9778,True
600,1,1.41372,0.126134,0.252268,0.178443,2.57059,34.1862,True
600,1.5,1.41372,0.0840893,0.168179,0.118962,2.57059,22.7908,True
600,2,1.41372,0.063067,0.126134,0.0892215,2.57059,17.0931,True
600,2.5,1.41372,0.0504536,0.100907,0.0713772,2.57059,13.6745,True
700,1,1.41372,0.123436,0.246872,0.174626,3.11236,33.4549,True
700,1.5,1.41372,0.0822905,0.164581,0.116417,3.11236,22.3033,True
700,2,1.41372,0.0617179,0.123436,0.087313,3.11236,16.7275,True
700,2.5,1.41372,0.0493743,0.0987486,0.0698504,3.11236,13.382,True
800,1,1.41372,0.120832,0.241665,0.170943,3.66301,32.7493,True
800,1.5,1.41372,0.080555,0.16111,0.113962,3.66301,21.8329,True
800,2,1.41372,0.0604162,0.120832,0.0854715,3.66301,16.3747,True
800,2.5,1.41372,0.048333,0.096666,0.0683772,3.66301,13.0997,True
900,1,1.41372,0.118319,0.236639,0.167388,4.22242,32.0682,True
900,1.5,1.41372,0.0788796,0.157759,0.111592,4.22242,21.3788,True
900,2,1.41372,0.0591597,0.118319,0.0836938,4.22242,16.0341,True
900,2.5,1.41372,0.0473278,0.0946555,0.0669551,4.22242,12.8273,True
1000,1,1.41372,0.115892,0.231784,0.163954,4.79043,31.4104,True
1000,1.5,1.41372,0.0772615,0.154523,0.109303,4.79043,20.9403,True
1000,2,1.41372,0.0579461,0.115892,0.081977,4.79043,15.7052,True
1000,2.5,1.41372,0.0463569,0.0927138,0.0655816,4.79043,12.5642,True
1100,1,1.41372,0.113547,0.227094,0.160636,5.36694,30.7747,True
1100,1.5,1.41372,0.075698,0.151396,0.107091,5.36694,20.5165,True
1100,2,1.41372,0.0567735,0.113547,0.080318,5.36694,15.3874,True
1100,2.5,1.41372,0.0454188,0.0908375,0.0642544,5.36694,12.3099,True
1200,1,1.41372,0.11128,0.222559,0.157429,5.9518,30.1602,True
1200,1.5,1.41372,0.0741865,0.148373,0.104952,5.9518,20.1068,True
1200,2,1.41372,0.0556398,0.11128,0.0787143,5.9518,15.0801,True
1200,2.5,1.41372,0.0445119,0.0890237,0.0629714,5.9518,12.0641,True
