h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
400,1,400,0.5,0.176715,0.0255018,0.0510036,0.288621,0.43705,1.51427,23.0897,True,1.66747,1.71682
400,1,400,1,1.41372,0.204014,0.408029,0.288621,0.43705,1.51427,23.0897,True,3.33495,3.43363
400,1,400,2,11.3097,1.63211,3.26423,0.288621,0.43705,1.51427,23.0897,True,6.66989,6.86726
400,1,400,5,176.715,25.5018,51.0036,0.288621,0.43705,1.51427,23.0897,True,16.6747,17.1682
400,1,400,10,1413.72,204.014,408.029,0.288621,0.43705,1.51427,23.0897,True,33.3495,34.3363
400,1,619,0.5,0.176715,0.0164793,0.0329587,0.186508,0.282423,1.51427,35.7313,True,1.44161,1.48427
400,1,619,1,1.41372,0.131835,0.26367,0.186508,0.282423,1.51427,35.7313,True,2.88322,2.96854
400,1,619,2,11.3097,1.05468,2.10936,0.186508,0.282423,1.51427,35.7313,True,5.76645,5.93709
400,1,619,5,176.715,16.4793,32.9587,0.186508,0.282423,1.51427,35.7313,True,14.4161,14.8427
400,1,619,10,1413.72,131.835,263.67,0.186508,0.282423,1.51427,35.7313,True,28.8322,29.6854
400,1,800,0.5,0.176715,0.0127509,0.0255018,0.144311,0.218525,1.51427,46.1794,False,1.32347,1.36264
400,1,800,1,1.41372,0.102007,0.204014,0.144311,0.218525,1.51427,46.1794,False,2.64695,2.72528
400,1,800,2,11.3097,0.816057,1.63211,0.144311,0.218525,1.51427,46.1794,False,5.2939,5.45055
400,1,800,5,176.715,12.7509,25.5018,0.144311,0.218525,1.51427,46.1794,False,13.2347,13.6264
400,1,800,10,1413.72,102.007,204.014,0.144311,0.218525,1.51427,46.1794,False,26.4695,27.2528
400,1,1000,0.5,0.176715,0.0102007,0.0204014,0.115449,0.17482,1.51427,57.7243,False,1.2286,1.26496
400,1,1000,1,1.41372,0.0816057,0.163211,0.115449,0.17482,1.51427,57.7243,False,2.45721,2.52992
400,1,1000,2,11.3097,0.652846,1.30569,0.115449,0.17482,1.51427,57.7243,False,4.91442,5.05984
400,1,1000,5,176.715,10.2007,20.4014,0.115449,0.17482,1.51427,57.7243,False,12.286,12.6496
400,1,1000,10,1413.72,81.6057,163.211,0.115449,0.17482,1.51427,57.7243,False,24.5721,25.2992
400,1.5,400,0.5,0.176715,0.0170012,0.0340024,0.192414,0.291367,1.51427,15.3931,True,1.45667,1.49978
400,1.5,400,1,1.41372,0.13601,0.272019,0.192414,0.291367,1.51427,15.3931,True,2.91334,2.99955
400,1.5,400,2,11.3097,1.08808,2.17615,0.192414,0.291367,1.51427,15.3931,True,5.82669,5.99911
400,1.5,400,5,176.715,17.0012,34.0024,0.192414,0.291367,1.51427,15.3931,True,14.5667,14.9978
400,1.5,400,10,1413.72,136.01,272.019,0.192414,0.291367,1.51427,15.3931,True,29.1334,29.9955
400,1.5,619,0.5,0.176715,0.0109862,0.0219725,0.124339,0.188282,1.51427,23.8209,True,1.25936,1.29663
400,1.5,619,1,1.41372,0.0878899,0.17578,0.124339,0.188282,1.51427,23.8209,True,2.51873,2.59326
