d_debris_cm,dh_km,solar_case,h_ceiling_25yr_km,h_ceiling_5yr_km
0.5,150,solar_min,700,600
0.5,150,nominal,900,800
0.5,150,solar_max,1100,900
0.5,200,solar_min,700,600
0.5,200,nominal,900,800
0.5,200,solar_max,1100,1000
0.5,250,solar_min,800,700
0.5,250,nominal,1000,800
0.5,250,solar_max,1200,1000
1,150,solar_min,700,600
1,150,nominal,800,700
1,150,solar_max,1000,900
1,200,solar_min,700,600
1,200,nominal,900,700
1,200,solar_max,1100,900
1,250,solar_min,700,600
1,250,nominal,900,800
1,250,solar_max,1100,900
2,150,solar_min,600,500
2,150,nominal,800,700
2,150,solar_max,1000,800
2,200,solar_min,700,600
2,200,nominal,800,700
2,200,solar_max,1000,800
2,250,solar_min,700,600
2,250,nominal,900,700
2,250,solar_max,1000,900
5,150,solar_min,600,500
5,150,nominal,700,600
5,150,solar_max,900,700
5,200,solar_min,600,500
5,200,nominal,700,600
5,200,solar_max,900,700
5,250,solar_min,600,600
5,250,nominal,800,700
5,250,solar_max,900,800
10,150,solar_min,500,500
10,150,nominal,700,600
10,150,solar_max,800,700
10,200,solar_min,600,500
10,200,nominal,700,600
10,200,solar_max,800,700
10,250,solar_min,600,500
10,250,nominal,700,600
10,250,solar_max,900,700
