d_debris_cm,h_km,dh_km,solar_case,f107,A_over_m,T_pre_yr,T_post_yr,acceleration_factor,pass_25yr,pass_5yr
0.5,400,150,solar_min,70,0.111111,0.145287,0.0125893,11.5405,True,True
0.5,400,200,solar_min,70,0.111111,0.145287,0.00349655,41.5515,True,True
0.5,400,250,solar_min,70,0.111111,0.145287,0.000558934,259.936,True,True
0.5,400,150,nominal,150,0.111111,0.0312242,0.00492752,6.3367,True,True
0.5,400,200,nominal,150,0.111111,0.0312242,0.00186818,16.7137,True,True
0.5,400,250,nominal,150,0.111111,0.0312242,0.000420769,74.2074,True,True
0.5,400,150,solar_max,250,0.111111,0.0122591,0.0025931,4.72759,True,True
0.5,400,200,solar_max,250,0.111111,0.0122591,0.00115153,10.646,True,True
0.5,400,250,solar_max,250,0.111111,0.0122591,0.000318739,38.4613,True,True
0.5,500,150,solar_min,70,0.111111,1.32249,0.178559,7.40647,True,True
0.5,500,200,solar_min,70,0.111111,1.32249,0.0715334,18.4878,True,True
0.5,500,250,solar_min,70,0.111111,1.32249,0.0239112,55.3085,True,True
0.5,500,150,nominal,150,0.111111,0.173017,0.0388549,4.45291,True,True
0.5,500,200,nominal,150,0.111111,0.173017,0.0198993,8.69465,True,True
0.5,500,250,nominal,150,0.111111,0.173017,0.00888613,19.4705,True,True
0.5,500,150,solar_max,250,0.111111,0.0528017,0.0151661,3.48156,True,True
0.5,500,200,solar_max,250,0.111111,0.0528017,0.00873304,6.0462,True,True
0.5,500,250,solar_max,250,0.111111,0.0528017,0.00449754,11.7401,True,True
0.5,600,150,solar_min,70,0.111111,8.60149,1.6343,5.26309,True,True
0.5,600,200,solar_min,70,0.111111,8.60149,0.768341,11.1949,True,True
0.5,600,250,solar_min,70,0.111111,8.60149,0.323931,26.5535,True,True
0.5,600,150,nominal,150,0.111111,0.796398,0.214797,3.70768,True,True
0.5,600,200,nominal,150,0.111111,0.796398,0.123769,6.43456,True,True
0.5,600,250,nominal,150,0.111111,0.796398,0.0662273,12.0252,True,True
0.5,600,150,solar_max,250,0.111111,0.192149,0.0647863,2.96589,True,True
0.5,600,200,solar_max,250,0.111111,0.192149,0.0412426,4.659,True,True
0.5,600,250,solar_max,250,0.111111,0.192149,0.024729,7.7702,True,True
0.5,700,150,solar_min,70,0.111111,36.076,10.4743,3.44424,True,False
0.5,700,200,solar_min,70,0.111111,36.076,5.74474,6.27982,True,False
0.5,700,250,solar_min,70,0.111111,36.076,2.83037,12.746,True,True
0.5,700,150,nominal,150,0.111111,3.18677,0.981824,3.24577,True,True
0.5,700,200,nominal,150,0.111111,3.18677,0.604432,5.27234,True,True
0.5,700,250,nominal,150,0.111111,3.18677,0.353081,9.0256,True,True
0.5,700,150,solar_max,250,0.111111,0.625381,0.233762,2.67529,True,True
0.5,700,200,solar_max,250,0.111111,0.625381,0.157355,3.97432,True,True
0.5,700,250,solar_max,250,0.111111,0.625381,0.10167,6.15111,True,True
0.5,800,150,solar_min,70,0.111111,100.34,42.7378,2.34779,False,False
0.5,800,200,solar_min,70,0.111111,100.34,28.1263,3.56746,False,False
