h_km,v_rel_m_s,dv_direct_m_s,d_grain_mm,perigee_alt_km,immediate_reentry,minutes_to_reentry,T_decay_Re_yr,T_decay_W_yr,T_decay_if_left_circular_yr,fcc_5yr_pass
400,200,87.41,0.05,-262.693,True,42.8572,0,0,0.0024297,True
400,200,87.41,0.1,-262.693,True,42.8572,0,0,0.00485941,True
400,200,87.41,0.5,-262.693,True,42.8572,0,0,0.024297,True
400,200,87.41,1,-262.693,True,42.8572,0,0,0.0485941,True
400,200,87.41,2,-262.693,True,42.8572,0,0,0.0971882,True
400,400,87.41,0.05,-848.405,True,39.9671,0,0,0.0024297,True
400,400,87.41,0.1,-848.405,True,39.9671,0,0,0.00485941,True
400,400,87.41,0.5,-848.405,True,39.9671,0,0,0.024297,True
400,400,87.41,1,-848.405,True,39.9671,0,0,0.0485941,True
400,400,87.41,2,-848.405,True,39.9671,0,0,0.0971882,True
400,619,87.41,0.05,-1415.75,True,37.2326,0,0,0.0024297,True
400,619,87.41,0.1,-1415.75,True,37.2326,0,0,0.00485941,True
400,619,87.41,0.5,-1415.75,True,37.2326,0,0,0.024297,True
400,619,87.41,1,-1415.75,True,37.2326,0,0,0.0485941,True
400,619,87.41,2,-1415.75,True,37.2326,0,0,0.0971882,True
400,800,87.41,0.05,-1834.98,True,35.2539,0,0,0.0024297,True
400,800,87.41,0.1,-1834.98,True,35.2539,0,0,0.00485941,True
400,800,87.41,0.5,-1834.98,True,35.2539,0,0,0.024297,True
400,800,87.41,1,-1834.98,True,35.2539,0,0,0.0485941,True
400,800,87.41,2,-1834.98,True,35.2539,0,0,0.0971882,True
400,1000,87.41,0.05,-2253.36,True,33.3154,0,0,0.0024297,True
400,1000,87.41,0.1,-2253.36,True,33.3154,0,0,0.00485941,True
400,1000,87.41,0.5,-2253.36,True,33.3154,0,0,0.024297,True
400,1000,87.41,1,-2253.36,True,33.3154,0,0,0.0485941,True
400,1000,87.41,2,-2253.36,True,33.3154,0,0,0.0971882,True
500,200,115.043,0.05,-177.122,True,43.7868,0,0,0.0134633,True
500,200,115.043,0.1,-177.122,True,43.7868,0,0,0.0269266,True
500,200,115.043,0.5,-177.122,True,43.7868,0,0,0.134633,True
500,200,115.043,1,-177.122,True,43.7868,0,0,0.269266,True
500,200,115.043,2,-177.122,True,43.7868,0,0,0.538532,True
500,400,115.043,0.05,-775.071,True,40.8154,0,0,0.0134633,True
500,400,115.043,0.1,-775.071,True,40.8154,0,0,0.0269266,True
500,400,115.043,0.5,-775.071,True,40.8154,0,0,0.134633,True
500,400,115.043,1,-775.071,True,40.8154,0,0,0.269266,True
500,400,115.043,2,-775.071,True,40.8154,0,0,0.538532,True
500,619,115.043,0.05,-1353.8,True,38.0066,0,0,0.0134633,True
500,619,115.043,0.1,-1353.8,True,38.0066,0,0,0.0269266,True
500,619,115.043,0.5,-1353.8,True,38.0066,0,0,0.134633,True
500,619,115.043,1,-1353.8,True,38.0066,0,0,0.269266,True
500,619,115.043,2,-1353.8,True,38.0066,0,0,0.538532,True
500,800,115.043,0.05,-1781.13,True,35.9759,0,0,0.0134633,True
500,800,115.043,0.1,-1781.13,True,35.9759,0,0,0.0269266,True
500,800,115.043,0.5,-1781.13,True,35.9759,0,0,0.134633,True
500,800,115.043,1,-1781.13,True,35.9759,0,0,0.269266,True
500,800,115.043,2,-1781.13,True,35.9759,0,0,0.538532,True
500,1000,115.043,0.05,-2207.33,True,33.9878,0,0,0.0134633,True
500,1000,115.043,0.1,-2207.33,True,33.9878,0,0,0.0269266,True
500,1000,115.043,0.5,-2207.33,True,33.9878,0,0,0.134633,True
500,1000,115.043,1,-2207.33,True,33.9878,0,0,0.269266,True
500,1000,115.043,2,-2207.33,True,33.9878,0,0,0.538532,True
600,200,141.969,0.05,-91.6469,True,44.7225,0,0,0.0619716,True
600,200,141.969,0.1,-91.6469,True,44.7225,0,0,0.123943,True
600,200,141.969,0.5,-91.6469,True,44.7225,0,0,0.619716,True
600,200,141.969,1,-91.6469,True,44.7225,0,0,1.23943,True
600,200,141.969,2,-91.6469,True,44.7225,0,0,2.47886,True
600,400,141.969,0.05,-701.901,True,41.6687,0,0,0.0619716,True
600,400,141.969,0.1,-701.901,True,41.6687,0,0,0.123943,True
600,400,141.969,0.5,-701.901,True,41.6687,0,0,0.619716,True
600,400,141.969,1,-701.901,True,41.6687,0,0,1.23943,True
600,400,141.969,2,-701.901,True,41.6687,0,0,2.47886,True
600,619,141.969,0.05,-1292.06,True,38.7849,0,0,0.0619716,True
600,619,141.969,0.1,-1292.06,True,38.7849,0,0,0.123943,True
600,619,141.969,0.5,-1292.06,True,38.7849,0,0,0.619716,True
600,619,141.969,1,-1292.06,True,38.7849,0,0,1.23943,True
600,619,141.969,2,-1292.06,True,38.7849,0,0,2.47886,True
600,800,141.969,0.05,-1727.53,True,36.7015,0,0,0.0619716,True
600,800,141.969,0.1,-1727.53,True,36.7015,0,0,0.123943,True
600,800,141.969,0.5,-1727.53,True,36.7015,0,0,0.619716,True
600,800,141.969,1,-1727.53,True,36.7015,0,0,1.23943,True
600,800,141.969,2,-1727.53,True,36.7015,0,0,2.47886,True
600,1000,141.969,0.05,-2161.58,True,34.6635,0,0,0.0619716,True
600,1000,141.969,0.1,-2161.58,True,34.6635,0,0,0.123943,True
600,1000,141.969,0.5,-2161.58,True,34.6635,0,0,0.619716,True
600,1000,141.969,1,-2161.58,True,34.6635,0,0,1.23943,True
600,1000,141.969,2,-2161.58,True,34.6635,0,0,2.47886,True
700,200,168.213,0.05,-6.26814,True,45.6643,0,0,0.247978,True
700,200,168.213,0.1,-6.26814,True,45.6643,0,0,0.495956,True
700,200,168.213,0.5,-6.26814,True,45.6643,0,0,2.47978,True
700,200,168.213,1,-6.26814,True,45.6643,0,0,4.95956,True
700,200,168.213,2,-6.26814,True,45.6643,0,0,9.91913,True
700,400,168.213,0.05,-628.894,True,42.5272,0,0,0.247978,True
700,400,168.213,0.1,-628.894,True,42.5272,0,0,0.495956,True
700,400,168.213,0.5,-628.894,True,42.5272,0,0,2.47978,True
700,400,168.213,1,-628.894,True,42.5272,0,0,4.95956,True
700,400,168.213,2,-628.894,True,42.5272,0,0,9.91913,True
700,619,168.213,0.05,-1230.54,True,39.5673,0,0,0.247978,True
700,619,168.213,0.1,-1230.54,True,39.5673,0,0,0.495956,True
700,619,168.213,0.5,-1230.54,True,39.5673,0,0,2.47978,True
700,619,168.213,1,-1230.54,True,39.5673,0,0,4.95956,True
700,619,168.213,2,-1230.54,True,39.5673,0,0,9.91913,True
700,800,168.213,0.05,-1674.17,True,37.4308,0,0,0.247978,True
700,800,168.213,0.1,-1674.17,True,37.4308,0,0,0.495956,True
700,800,168.213,0.5,-1674.17,True,37.4308,0,0,2.47978,True
700,800,168.213,1,-1674.17,True,37.4308,0,0,4.95956,True
700,800,168.213,2,-1674.17,True,37.4308,0,0,9.91913,True
700,1000,168.213,0.05,-2116.08,True,35.3423,0,0,0.247978,True
700,1000,168.213,0.1,-2116.08,True,35.3423,0,0,0.495956,True
700,1000,168.213,0.5,-2116.08,True,35.3423,0,0,2.47978,True
700,1000,168.213,1,-2116.08,True,35.3423,0,0,4.95956,True
700,1000,168.213,2,-2116.08,True,35.3423,0,0,9.91913,True
800,200,193.799,0.05,79.0155,True,46.6121,0,0,0.855965,True
800,200,193.799,0.1,79.0155,True,46.6121,0,0,1.71193,True
800,200,193.799,0.5,79.0155,True,46.6121,0,0,8.55965,True
800,200,193.799,1,79.0155,True,46.6121,0,0,17.1193,True
800,200,193.799,2,79.0155,True,46.6121,0,0,34.2386,True
800,400,193.799,0.05,-556.049,True,43.3906,0,0,0.855965,True
800,400,193.799,0.1,-556.049,True,43.3906,0,0,1.71193,True
800,400,193.799,0.5,-556.049,True,43.3906,0,0,8.55965,True
800,400,193.799,1,-556.049,True,43.3906,0,0,17.1193,True
800,400,193.799,2,-556.049,True,43.3906,0,0,34.2386,True
800,619,193.799,0.05,-1169.22,True,40.3539,0,0,0.855965,True
800,619,193.799,0.1,-1169.22,True,40.3539,0,0,1.71193,True
800,619,193.799,0.5,-1169.22,True,40.3539,0,0,8.55965,True
800,619,193.799,1,-1169.22,True,40.3539,0,0,17.1193,True
800,619,193.799,2,-1169.22,True,40.3539,0,0,34.2386,True
800,800,193.799,0.05,-1621.05,True,38.1638,0,0,0.855965,True
800,800,193.799,0.1,-1621.05,True,38.1638,0,0,1.71193,True
800,800,193.799,0.5,-1621.05,True,38.1638,0,0,8.55965,True
800,800,193.799,1,-1621.05,True,38.1638,0,0,17.1193,True
800,800,193.799,2,-1621.05,True,38.1638,0,0,34.2386,True
800,1000,193.799,0.05,-2070.85,True,36.0243,0,0,0.855965,True
800,1000,193.799,0.1,-2070.85,True,36.0243,0,0,1.71193,True
800,1000,193.799,0.5,-2070.85,True,36.0243,0,0,8.55965,True
800,1000,193.799,1,-2070.85,True,36.0243,0,0,17.1193,True
800,1000,193.799,2,-2070.85,True,36.0243,0,0,34.2386,True
900,200,218.749,0.05,164.205,False,,0.000277093,0.000253881,2.47163,True
900,200,218.749,0.1,164.205,False,,0.000554187,0.000507763,4.94326,True
900,200,218.749,0.5,164.205,False,,0.00277093,0.00253881,24.7163,True
900,200,218.749,1,164.205,False,,0.00554187,0.00507763,49.4326,True
900,200,218.749,2,164.205,False,,0.0110837,0.0101553,98.8637,True
900,400,218.749,0.05,-483.364,True,44.2589,0,0,2.47163,True
900,400,218.749,0.1,-483.364,True,44.2589,0,0,4.94326,True
900,400,218.749,0.5,-483.364,True,44.2589,0,0,24.7163,True
900,400,218.749,1,-483.364,True,44.2589,0,0,49.4326,True
900,400,218.749,2,-483.364,True,44.2589,0,0,98.8637,True
900,619,218.749,0.05,-1108.12,True,41.1446,0,0,2.47163,True
900,619,218.749,0.1,-1108.12,True,41.1446,0,0,4.94326,True
900,619,218.749,0.5,-1108.12,True,41.1446,0,0,24.7163,True
900,619,218.749,1,-1108.12,True,41.1446,0,0,49.4326,True
900,619,218.749,2,-1108.12,True,41.1446,0,0,98.8637,True
900,800,218.749,0.05,-1568.16,True,38.9003,0,0,2.47163,True
900,800,218.749,0.1,-1568.16,True,38.9003,0,0,4.94326,True
900,800,218.749,0.5,-1568.16,True,38.9003,0,0,24.7163,True
900,800,218.749,1,-1568.16,True,38.9003,0,0,49.4326,True
900,800,218.749,2,-1568.16,True,38.9003,0,0,98.8637,True
900,1000,218.749,0.05,-2025.87,True,36.7094,0,0,2.47163,True
900,1000,218.749,0.1,-2025.87,True,36.7094,0,0,4.94326,True
900,1000,218.749,0.5,-2025.87,True,36.7094,0,0,24.7163,True
900,1000,218.749,1,-2025.87,True,36.7094,0,0,49.4326,True
900,1000,218.749,2,-2025.87,True,36.7094,0,0,98.8637,True
1000,200,243.085,0.05,249.301,False,,0.00301981,0.00276684,5.88425,True
1000,200,243.085,0.1,249.301,False,,0.00603962,0.00553368,11.7685,True
1000,200,243.085,0.5,249.301,False,,0.0301981,0.0276684,58.8425,True
1000,200,243.085,1,249.301,False,,0.0603962,0.0553368,117.684,True
1000,200,243.085,2,249.301,False,,0.120792,0.110674,inf,True
1000,400,243.085,0.05,-410.838,True,45.1322,0,0,5.88425,True
1000,400,243.085,0.1,-410.838,True,45.1322,0,0,11.7685,True
1000,400,243.085,0.5,-410.838,True,45.1322,0,0,58.8425,True
1000,400,243.085,1,-410.838,True,45.1322,0,0,117.684,True
1000,400,243.085,2,-410.838,True,45.1322,0,0,inf,True
1000,619,243.085,0.05,-1047.23,True,41.9394,0,0,5.88425,True
1000,619,243.085,0.1,-1047.23,True,41.9394,0,0,11.7685,True
1000,619,243.085,0.5,-1047.23,True,41.9394,0,0,58.8425,True
1000,619,243.085,1,-1047.23,True,41.9394,0,0,117.684,True
1000,619,243.085,2,-1047.23,True,41.9394,0,0,inf,True
1000,800,243.085,0.05,-1515.51,True,39.6403,0,0,5.88425,True
1000,800,243.085,0.1,-1515.51,True,39.6403,0,0,11.7685,True
1000,800,243.085,0.5,-1515.51,True,39.6403,0,0,58.8425,True
1000,800,243.085,1,-1515.51,True,39.6403,0,0,117.684,True
1000,800,243.085,2,-1515.51,True,39.6403,0,0,inf,True
1000,1000,243.085,0.05,-1981.14,True,37.3976,0,0,5.88425,True
1000,1000,243.085,0.1,-1981.14,True,37.3976,0,0,11.7685,True
1000,1000,243.085,0.5,-1981.14,True,37.3976,0,0,58.8425,True
1000,1000,243.085,1,-1981.14,True,37.3976,0,0,117.684,True
1000,1000,243.085,2,-1981.14,True,37.3976,0,0,inf,True
1100,200,266.827,0.05,334.303,False,,0.0167831,0.0153772,11.8189,True
1100,200,266.827,0.1,334.303,False,,0.0335663,0.0307545,23.6378,True
1100,200,266.827,0.5,334.303,False,,0.167831,0.153772,118.189,True
1100,200,266.827,1,334.303,False,,0.335663,0.307545,inf,True
1100,200,266.827,2,334.303,False,,0.671326,0.615089,inf,True
1100,400,266.827,0.05,-338.469,True,46.0104,0,0,11.8189,True
1100,400,266.827,0.1,-338.469,True,46.0104,0,0,23.6378,True
1100,400,266.827,0.5,-338.469,True,46.0104,0,0,118.189,True
1100,400,266.827,1,-338.469,True,46.0104,0,0,inf,True
1100,400,266.827,2,-338.469,True,46.0104,0,0,inf,True
1100,619,266.827,0.05,-986.535,True,42.7382,0,0,11.8189,True
1100,619,266.827,0.1,-986.535,True,42.7382,0,0,23.6378,True
1100,619,266.827,0.5,-986.535,True,42.7382,0,0,118.189,True
1100,619,266.827,1,-986.535,True,42.7382,0,0,inf,True
1100,619,266.827,2,-986.535,True,42.7382,0,0,inf,True
1100,800,266.827,0.05,-1463.09,True,40.3839,0,0,11.8189,True
1100,800,266.827,0.1,-1463.09,True,40.3839,0,0,23.6378,True
1100,800,266.827,0.5,-1463.09,True,40.3839,0,0,118.189,True
1100,800,266.827,1,-1463.09,True,40.3839,0,0,inf,True
1100,800,266.827,2,-1463.09,True,40.3839,0,0,inf,True
1100,1000,266.827,0.05,-1936.67,True,38.0888,0,0,11.8189,True
1100,1000,266.827,0.1,-1936.67,True,38.0888,0,0,23.6378,True
1100,1000,266.827,0.5,-1936.67,True,38.0888,0,0,118.189,True
1100,1000,266.827,1,-1936.67,True,38.0888,0,0,inf,True
1100,1000,266.827,2,-1936.67,True,38.0888,0,0,inf,True
1200,200,289.996,0.05,419.214,False,,0.0718653,0.0658452,20.9014,True
1200,200,289.996,0.1,419.214,False,,0.143731,0.13169,41.8028,True
1200,200,289.996,0.5,419.214,False,,0.718653,0.658452,inf,True
1200,200,289.996,1,419.214,False,,1.43731,1.3169,inf,True
1200,200,289.996,2,419.214,False,,2.87461,2.63381,inf,True
1200,400,289.996,0.05,-266.256,True,46.8933,0,0,20.9014,True
1200,400,289.996,0.1,-266.256,True,46.8933,0,0,41.8028,True
1200,400,289.996,0.5,-266.256,True,46.8933,0,0,inf,True
1200,400,289.996,1,-266.256,True,46.8933,0,0,inf,True
1200,400,289.996,2,-266.256,True,46.8933,0,0,inf,True
1200,619,289.996,0.05,-926.047,True,43.541,0,0,20.9014,True
1200,619,289.996,0.1,-926.047,True,43.541,0,0,41.8028,True
1200,619,289.996,0.5,-926.047,True,43.541,0,0,inf,True
1200,619,289.996,1,-926.047,True,43.541,0,0,inf,True
1200,619,289.996,2,-926.047,True,43.541,0,0,inf,True
1200,800,289.996,0.05,-1410.9,True,41.1309,0,0,20.9014,True
1200,800,289.996,0.1,-1410.9,True,41.1309,0,0,41.8028,True
1200,800,289.996,0.5,-1410.9,True,41.1309,0,0,inf,True
