d_debris_cm,h_km,solar_case,rule,n_kicks,T_final_yr
0.5,400,solar_min,25yr,0,0.145287
0.5,400,solar_min,5yr,0,0.145287
0.5,500,solar_min,25yr,0,1.32249
0.5,500,solar_min,5yr,0,1.32249
0.5,600,solar_min,25yr,0,8.60149
0.5,600,solar_min,5yr,1,0.00349655
0.5,700,solar_min,25yr,1,0.0715334
0.5,700,solar_min,5yr,1,0.0715334
0.5,800,solar_min,25yr,1,0.768341
0.5,800,solar_min,5yr,1,0.768341
0.5,900,solar_min,25yr,1,5.74474
0.5,900,solar_min,5yr,2,0.0715334
0.5,1000,solar_min,25yr,2,0.768341
0.5,1000,solar_min,5yr,2,0.768341
0.5,1100,solar_min,25yr,2,5.74474
0.5,1100,solar_min,5yr,3,0.0715334
0.5,1200,solar_min,25yr,3,0.768341
0.5,1200,solar_min,5yr,3,0.768341
0.5,400,nominal,25yr,0,0.0312242
0.5,400,nominal,5yr,0,0.0312242
0.5,500,nominal,25yr,0,0.173017
0.5,500,nominal,5yr,0,0.173017
0.5,600,nominal,25yr,0,0.796398
0.5,600,nominal,5yr,0,0.796398
0.5,700,nominal,25yr,0,3.18677
0.5,700,nominal,5yr,0,3.18677
0.5,800,nominal,25yr,0,11
0.5,800,nominal,5yr,1,0.123769
0.5,900,nominal,25yr,1,0.604432
0.5,900,nominal,5yr,1,0.604432
0.5,1000,nominal,25yr,1,2.5244
0.5,1000,nominal,5yr,1,2.5244
0.5,1100,nominal,25yr,1,9.09243
0.5,1100,nominal,5yr,2,0.604432
0.5,1200,nominal,25yr,2,2.5244
0.5,1200,nominal,5yr,2,2.5244
0.5,400,solar_max,25yr,0,0.0122591
0.5,400,solar_max,5yr,0,0.0122591
0.5,500,solar_max,25yr,0,0.0528017
0.5,500,solar_max,5yr,0,0.0528017
0.5,600,solar_max,25yr,0,0.192149
0.5,600,solar_max,5yr,0,0.192149
0.5,700,solar_max,25yr,0,0.625381
0.5,700,solar_max,5yr,0,0.625381
0.5,800,solar_max,25yr,0,1.86608
0.5,800,solar_max,5yr,0,1.86608
0.5,900,solar_max,25yr,0,5.14056
0.5,900,solar_max,5yr,1,0.157355
0.5,1000,solar_max,25yr,0,13.0148
0.5,1000,solar_max,5yr,1,0.527413
0.5,1100,solar_max,25yr,1,1.6083
0.5,1100,solar_max,5yr,1,1.6083
0.5,1200,solar_max,25yr,1,4.51507
0.5,1200,solar_max,5yr,1,4.51507
1,400,solar_min,25yr,0,0.290574
1,400,solar_min,5yr,0,0.290574
1,500,solar_min,25yr,0,2.64498
1,500,solar_min,5yr,0,2.64498
1,600,solar_min,25yr,0,17.203
1,600,solar_min,5yr,1,0.0069931
1,700,solar_min,25yr,1,0.143067
1,700,solar_min,5yr,1,0.143067
1,800,solar_min,25yr,1,1.53668
1,800,solar_min,5yr,1,1.53668
1,900,solar_min,25yr,1,11.4895
1,900,solar_min,5yr,2,0.143067
1,1000,solar_min,25yr,2,1.53668
1,1000,solar_min,5yr,2,1.53668
1,1100,solar_min,25yr,2,11.4895
1,1100,solar_min,5yr,3,0.143067
1,1200,solar_min,25yr,3,1.53668
1,1200,solar_min,5yr,3,1.53668
1,400,nominal,25yr,0,0.0624484
1,400,nominal,5yr,0,0.0624484
1,500,nominal,25yr,0,0.346035
1,500,nominal,5yr,0,0.346035
1,600,nominal,25yr,0,1.5928
1,600,nominal,5yr,0,1.5928
1,700,nominal,25yr,0,6.37355
1,700,nominal,5yr,1,0.0397985
1,800,nominal,25yr,0,22.0001
1,800,nominal,5yr,1,0.247538
1,900,nominal,25yr,1,1.20886
1,900,nominal,5yr,1,1.20886
1,1000,nominal,25yr,1,5.04879
1,1000,nominal,5yr,2,0.247538
1,1100,nominal,25yr,1,18.1849
1,1100,nominal,5yr,2,1.20886
1,1200,nominal,25yr,2,5.04879
1,1200,nominal,5yr,3,0.247538
1,400,solar_max,25yr,0,0.0245183
1,400,solar_max,5yr,0,0.0245183
1,500,solar_max,25yr,0,0.105603
1,500,solar_max,5yr,0,0.105603
1,600,solar_max,25yr,0,0.384298
1,600,solar_max,5yr,0,0.384298
1,700,solar_max,25yr,0,1.25076
1,700,solar_max,5yr,0,1.25076
1,800,solar_max,25yr,0,3.73217
1,800,solar_max,5yr,0,3.73217
1,900,solar_max,25yr,0,10.2811
1,900,solar_max,5yr,1,0.314711
1,1000,solar_max,25yr,1,1.05483
1,1000,solar_max,5yr,1,1.05483
1,1100,solar_max,25yr,1,3.21661
1,1100,solar_max,5yr,1,3.21661
1,1200,solar_max,25yr,1,9.03014
1,1200,solar_max,5yr,2,1.05483
2,400,solar_min,25yr,0,0.581148
2,400,solar_min,5yr,0,0.581148
2,500,solar_min,25yr,0,5.28997
2,500,solar_min,5yr,1,1.82105e-07
2,600,solar_min,25yr,1,0.0139862
2,600,solar_min,5yr,1,0.0139862
2,700,solar_min,25yr,1,0.286133
2,700,solar_min,5yr,1,0.286133
2,800,solar_min,25yr,1,3.07336
2,800,solar_min,5yr,1,3.07336
2,900,solar_min,25yr,1,22.979
2,900,solar_min,5yr,2,0.286133
2,1000,solar_min,25yr,2,3.07336
2,1000,solar_min,5yr,2,3.07336
2,1100,solar_min,25yr,2,22.979
2,1100,solar_min,5yr,3,0.286133
2,1200,solar_min,25yr,3,3.07336
2,1200,solar_min,5yr,3,3.07336
2,400,nominal,25yr,0,0.124897
2,400,nominal,5yr,0,0.124897
2,500,nominal,25yr,0,0.692069
2,500,nominal,5yr,0,0.692069
2,600,nominal,25yr,0,3.18559
2,600,nominal,5yr,0,3.18559
2,700,nominal,25yr,0,12.7471
2,700,nominal,5yr,1,0.0795971
2,800,nominal,25yr,1,0.495076
2,800,nominal,5yr,1,0.495076
2,900,nominal,25yr,1,2.41773
2,900,nominal,5yr,1,2.41773
2,1000,nominal,25yr,1,10.0976
2,1000,nominal,5yr,2,0.495076
2,1100,nominal,25yr,2,2.41773
2,1100,nominal,5yr,2,2.41773
2,1200,nominal,25yr,2,10.0976
2,1200,nominal,5yr,3,0.495076
2,400,solar_max,25yr,0,0.0490365
2,400,solar_max,5yr,0,0.0490365
2,500,solar_max,25yr,0,0.211207
2,500,solar_max,5yr,0,0.211207
2,600,solar_max,25yr,0,0.768597
2,600,solar_max,5yr,0,0.768597
2,700,solar_max,25yr,0,2.50152
2,700,solar_max,5yr,0,2.50152
2,800,solar_max,25yr,0,7.46433
2,800,solar_max,5yr,1,0.16497
2,900,solar_max,25yr,0,20.5622
2,900,solar_max,5yr,1,0.629422
2,1000,solar_max,25yr,1,2.10965
2,1000,solar_max,5yr,1,2.10965
2,1100,solar_max,25yr,1,6.43322
2,1100,solar_max,5yr,2,0.629422
2,1200,solar_max,25yr,1,18.0603
2,1200,solar_max,5yr,2,2.10965
5,400,solar_min,25yr,0,1.45287
5,400,solar_min,5yr,0,1.45287
5,500,solar_min,25yr,0,13.2249
5,500,solar_min,5yr,1,4.55263e-07
5,600,solar_min,25yr,1,0.0349655
5,600,solar_min,5yr,1,0.0349655
5,700,solar_min,25yr,1,0.715334
5,700,solar_min,5yr,1,0.715334
5,800,solar_min,25yr,1,7.68341
5,800,solar_min,5yr,2,0.0349655
5,900,solar_min,25yr,2,0.715334
5,900,solar_min,5yr,2,0.715334
5,1000,solar_min,25yr,2,7.68341
5,1000,solar_min,5yr,3,0.0349655
5,1100,solar_min,25yr,3,0.715334
5,1100,solar_min,5yr,3,0.715334
5,1200,solar_min,25yr,3,7.68341
5,1200,solar_min,5yr,4,0.0349655
5,400,nominal,25yr,0,0.312242
5,400,nominal,5yr,0,0.312242
5,500,nominal,25yr,0,1.73017
5,500,nominal,5yr,0,1.73017
5,600,nominal,25yr,0,7.96398
5,600,nominal,5yr,1,0.0186818
5,700,nominal,25yr,1,0.198993
5,700,nominal,5yr,1,0.198993
5,800,nominal,25yr,1,1.23769
5,800,nominal,5yr,1,1.23769
5,900,nominal,25yr,1,6.04432
5,900,nominal,5yr,2,0.198993
5,1000,nominal,25yr,2,1.23769
5,1000,nominal,5yr,2,1.23769
5,1100,nominal,25yr,2,6.04432
5,1100,nominal,5yr,3,0.198993
5,1200,nominal,25yr,3,1.23769
5,1200,nominal,5yr,3,1.23769
5,400,solar_max,25yr,0,0.122591
5,400,solar_max,5yr,0,0.122591
5,500,solar_max,25yr,0,0.528017
5,500,solar_max,5yr,0,0.528017
5,600,solar_max,25yr,0,1.92149
5,600,solar_max,5yr,0,1.92149
5,700,solar_max,25yr,0,6.25381
5,700,solar_max,5yr,1,0.0873304
5,800,solar_max,25yr,0,18.6608
5,800,solar_max,5yr,1,0.412426
5,900,solar_max,25yr,1,1.57355
5,900,solar_max,5yr,1,1.57355
5,1000,solar_max,25yr,1,5.27413
5,1000,solar_max,5yr,2,0.412426
5,1100,solar_max,25yr,1,16.083
5,1100,solar_max,5yr,2,1.57355
5,1200,solar_max,25yr,2,5.27413
5,1200,solar_max,5yr,3,0.412426
10,400,solar_min,25yr,0,2.90574
10,400,solar_min,5yr,0,2.90574
10,500,solar_min,25yr,1,9.10527e-07
10,500,solar_min,5yr,1,9.10527e-07
10,600,solar_min,25yr,1,0.069931
10,600,solar_min,5yr,1,0.069931
10,700,solar_min,25yr,1,1.43067
10,700,solar_min,5yr,1,1.43067
10,800,solar_min,25yr,1,15.3668
10,800,solar_min,5yr,2,0.069931
10,900,solar_min,25yr,2,1.43067
10,900,solar_min,5yr,2,1.43067
10,1000,solar_min,25yr,2,15.3668
10,1000,solar_min,5yr,3,0.069931
10,1100,solar_min,25yr,3,1.43067
10,1100,solar_min,5yr,3,1.43067
10,1200,solar_min,25yr,3,15.3668
10,1200,solar_min,5yr,4,0.069931
10,400,nominal,25yr,0,0.624484
10,400,nominal,5yr,0,0.624484
10,500,nominal,25yr,0,3.46035
10,500,nominal,5yr,0,3.46035
10,600,nominal,25yr,0,15.928
10,600,nominal,5yr,1,0.0373636
10,700,nominal,25yr,1,0.397985
10,700,nominal,5yr,1,0.397985
10,800,nominal,25yr,1,2.47538
10,800,nominal,5yr,1,2.47538
10,900,nominal,25yr,1,12.0886
10,900,nominal,5yr,2,0.397985
10,1000,nominal,25yr,2,2.47538
10,1000,nominal,5yr,2,2.47538
10,1100,nominal,25yr,2,12.0886
10,1100,nominal,5yr,3,0.397985
10,1200,nominal,25yr,3,2.47538
10,1200,nominal,5yr,3,2.47538
10,400,solar_max,25yr,0,0.245183
10,400,solar_max,5yr,0,0.245183
10,500,solar_max,25yr,0,1.05603
10,500,solar_max,5yr,0,1.05603
10,600,solar_max,25yr,0,3.84298
10,600,solar_max,5yr,0,3.84298
10,700,solar_max,25yr,0,12.5076
10,700,solar_max,5yr,1,0.174661
10,800,solar_max,25yr,1,0.824852
10,800,solar_max,5yr,1,0.824852
10,900,solar_max,25yr,1,3.14711
10,900,solar_max,5yr,1,3.14711
10,1000,solar_max,25yr,1,10.5483
