h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
400,400,1,0.0025,0.001,0.00113316,2.83289e-06,2.5e-06,2.5e-06,1,1.00318e-17
400,400,1,0.0025,0.01,0.00113316,2.83289e-06,2.5e-05,2.5e-05,1,1.00318e-16
400,400,1,0.0025,0.1,0.00113316,2.83289e-06,0.00025,0.00025,1,1.00318e-15
400,400,1,0.0025,0.3,0.00113316,2.83289e-06,0.00075,0.00075,1,3.00954e-15
400,400,1,0.0025,1,0.00113316,2.83289e-06,0.0025,0.0025,1,1.00318e-14
400,400,1,0.0025,3,0.00113316,2.83289e-06,0.0075,0.0075,1,3.00954e-14
400,400,5,0.0125,0.001,0.00113316,1.41644e-05,1.25e-05,1.25e-05,1,1.25395e-15
400,400,5,0.0125,0.01,0.00113316,1.41644e-05,0.000125,0.000125,1,1.25395e-14
400,400,5,0.0125,0.1,0.00113316,1.41644e-05,0.00125,0.00125,1,1.25395e-13
400,400,5,0.0125,0.3,0.00113316,1.41644e-05,0.00375,0.00375,1,3.76184e-13
400,400,5,0.0125,1,0.00113316,1.41644e-05,0.0125,0.0125,1,1.25395e-12
400,400,5,0.0125,3,0.00113316,1.41644e-05,0.0375,0.0375,1,3.76184e-12
400,400,10,0.025,0.001,0.00113316,2.83289e-05,2.5e-05,2.5e-05,1,1.00316e-14
400,400,10,0.025,0.01,0.00113316,2.83289e-05,0.00025,0.00025,1,1.00316e-13
400,400,10,0.025,0.1,0.00113316,2.83289e-05,0.0025,0.0025,1,1.00316e-12
400,400,10,0.025,0.3,0.00113316,2.83289e-05,0.0075,0.0075,1,3.00947e-12
400,400,10,0.025,1,0.00113316,2.83289e-05,0.025,0.025,1,1.00316e-11
400,400,10,0.025,3,0.00113316,2.83289e-05,0.075,0.075,1,3.00947e-11
400,400,50,0.125,0.001,0.00113316,0.000141644,0.000125,0.000125,1,1.25395e-12
400,400,50,0.125,0.01,0.00113316,0.000141644,0.00125,0.00125,1,1.25395e-11
400,400,50,0.125,0.1,0.00113316,0.000141644,0.0125,0.0125,1,1.25395e-10
400,400,50,0.125,0.3,0.00113316,0.000141644,0.0375,0.0375,1,3.76184e-10
400,400,50,0.125,1,0.00113316,0.000141644,0.125,0.125,1,1.25395e-09
400,400,50,0.125,3,0.00113316,0.000141644,0.375,0.375,1,3.76184e-09
400,400,100,0.25,0.001,0.00113316,0.000283289,0.00025,0.00025,1,1.00316e-11
400,400,100,0.25,0.01,0.00113316,0.000283289,0.0025,0.0025,1,1.00316e-10
400,400,100,0.25,0.1,0.00113316,0.000283289,0.025,0.025,1,1.00316e-09
400,400,100,0.25,0.3,0.00113316,0.000283289,0.075,0.075,1,3.00947e-09
