d_miss_m,sigma_cloud_m,M_launch_g,mass_penalty,m_grain_mg,d_grain_Re_mm,n_grains_total,n_grains_on_target,poisson_cv,stable_delivery,Es_per_impact_J_kg
0.01,0.00656725,1.74628,10.839,0.001,0.0449633,1.74628e+06,161110,0.002491373401152943,True,0.135515
0.01,0.00656725,1.74628,10.839,0.01,0.0968706,174628,16111,0.007878414449603667,True,1.35515
0.01,0.00656725,1.74628,10.839,0.1,0.208701,17462.8,1611.1,0.02491373401152943,True,13.5515
0.01,0.00656725,1.74628,10.839,1,0.449633,1746.28,161.11,0.07878414449603667,True,135.515
0.01,0.00656725,1.74628,10.839,10,0.968706,174.628,16.111,0.2491373401152943,False,1355.15
0.01,0.00656725,1.74628,10.839,100,2.08701,17.4628,1.6111,0.7878414449603667,False,13551.5
0.03,0.021064,15.7654,97.8549,0.001,0.0449633,1.57654e+07,161110,0.002491373401152943,True,0.135515
0.03,0.021064,15.7654,97.8549,0.01,0.0968706,1.57654e+06,16111,0.007878414449603665,True,1.35515
0.03,0.021064,15.7654,97.8549,0.1,0.208701,157654,1611.1,0.02491373401152943,True,13.5515
0.03,0.021064,15.7654,97.8549,1,0.449633,15765.4,161.11,0.07878414449603666,True,135.515
0.03,0.021064,15.7654,97.8549,10,0.968706,1576.54,16.111,0.2491373401152943,False,1355.15
0.03,0.021064,15.7654,97.8549,100,2.08701,157.654,1.6111,0.7878414449603665,False,13551.5
0.1,0.0706664,175.177,1087.31,0.001,0.0449633,1.75177e+08,161110,0.002491373401152943,True,0.135515
0.1,0.0706664,175.177,1087.31,0.01,0.0968706,1.75177e+07,16111,0.007878414449603667,True,1.35515
0.1,0.0706664,175.177,1087.31,0.1,0.208701,1.75177e+06,1611.1,0.02491373401152943,True,13.5515
0.1,0.0706664,175.177,1087.31,1,0.449633,175177,161.11,0.07878414449603667,True,135.515
0.1,0.0706664,175.177,1087.31,10,0.968706,17517.7,16.111,0.2491373401152943,False,1355.15
0.1,0.0706664,175.177,1087.31,100,2.08701,1751.77,1.6111,0.7878414449603667,False,13551.5
0.3,0.212117,1576.59,9785.81,0.001,0.0449633,1.57659e+09,161110,0.002491373401152943,True,0.135515
0.3,0.212117,1576.59,9785.81,0.01,0.0968706,1.57659e+08,16111,0.007878414449603667,True,1.35515
0.3,0.212117,1576.59,9785.81,0.1,0.208701,1.57659e+07,1611.1,0.02491373401152943,True,13.5515
0.3,0.212117,1576.59,9785.81,1,0.449633,1.57659e+06,161.11,0.07878414449603667,True,135.515
0.3,0.212117,1576.59,9785.81,10,0.968706,157659,16.111,0.2491373401152943,False,1355.15
0.3,0.212117,1576.59,9785.81,100,2.08701,15765.9,1.6111,0.7878414449603665,False,13551.5
