d_miss_m,sigma_opt_m,sigma_opt_over_d_miss,mass_penalty,closed_form_penalty
0.002,0.000306055,0.153028,1,0.434925
0.00238755,0.000254939,0.106778,1,0.619813
0.00285021,0.000178962,0.0627892,1,0.883297
0.00340251,0.000150911,0.0443527,1,1.25879
0.00406184,0.000115936,0.0285428,1,1.7939
0.00484892,1.45492e-05,0.0030005,1,2.5565
0.00578853,0.00268769,0.464314,3.45713,3.64327
0.00691021,0.0039918,0.577667,5.09847,5.19203
0.00824925,0.00517351,0.627149,7.34356,7.39918
0.00984777,0.00644939,0.654909,10.5092,10.5446
0.011756,0.00790101,0.672081,15.0038,15.0271
0.0140341,0.00958854,0.683232,21.3995,21.4152
0.0167536,0.0115713,0.690675,30.5081,30.5189
0.02,0.0139145,0.695727,43.4851,43.4925
0.0238755,0.0166936,0.699193,61.9762,61.9813
0.0285021,0.0199967,0.701588,88.3261,88.3297
0.0340251,0.0239282,0.703251,125.876,125.879
0.0406184,0.0286119,0.704409,179.389,179.39
0.0484892,0.0341955,0.705218,255.648,255.65
0.0578853,0.0408545,0.705783,364.326,364.327
0.0691021,0.0487985,0.706179,519.203,519.203
0.0824925,0.0582774,0.706456,739.918,739.918
0.0984777,0.0695893,0.706651,1054.46,1054.46
0.11756,0.0830901,0.706787,1502.71,1502.71
0.140341,0.0992044,0.706882,2141.52,2141.52
0.167536,0.118439,0.706949,3051.89,3051.89
0.2,0.141399,0.706996,4349.25,4349.25
0.238755,0.168807,0.707029,6198.13,6198.13
0.285021,0.201524,0.707052,8832.97,8832.97
0.340251,0.240581,0.707069,12587.9,12587.9
0.406184,0.287204,0.70708,17939,17939
0.484892,0.342862,0.707088,25565,25565
0.578853,0.409303,0.707094,36432.7,36432.7
0.691021,0.48862,0.707098,51920.3,51920.3
0.824925,0.583305,0.7071,73991.8,73991.8
0.984777,0.696338,0.707102,105446,105446
1.1756,0.831273,0.707104,150271,150271
1.40341,0.992356,0.707105,214152,214152
1.67536,1.18465,0.707105,305189,305189
2,1.41421,0.707106,434925,434925
