v_rel_m_s,R_m,tof_s,dv_T_m_s,sigma_cloud_m,d_target_cm,delivered_fraction_centred,small_target_approx,mass_penalty_centred
400,1,0.0025,0.001,2.5e-06,1,1,2e+06,1
400,1,0.0025,0.001,2.5e-06,5,1,5e+07,1
400,1,0.0025,0.001,2.5e-06,10,1,2e+08,1
400,1,0.0025,0.01,2.5e-05,1,1,20000,1
400,1,0.0025,0.01,2.5e-05,5,1,500000,1
400,1,0.0025,0.01,2.5e-05,10,1,2e+06,1
400,1,0.0025,0.1,0.00025,1,1,200,1
400,1,0.0025,0.1,0.00025,5,1,5000,1
400,1,0.0025,0.1,0.00025,10,1,20000,1
400,1,0.0025,0.3,0.00075,1,1,22.2222,1
400,1,0.0025,0.3,0.00075,5,1,555.556,1
400,1,0.0025,0.3,0.00075,10,1,2222.22,1
400,1,0.0025,1,0.0025,1,0.864665,2,1.15652
400,1,0.0025,1,0.0025,5,1,50,1
400,1,0.0025,1,0.0025,10,1,200,1
400,1,0.0025,3,0.0075,1,0.199263,0.222222,5.0185
400,1,0.0025,3,0.0075,5,0.996134,5.55556,1.00388
400,1,0.0025,3,0.0075,10,1,22.2222,1
400,5,0.0125,0.001,1.25e-05,1,1,80000,1
400,5,0.0125,0.001,1.25e-05,5,1,2e+06,1
400,5,0.0125,0.001,1.25e-05,10,1,8e+06,1
400,5,0.0125,0.01,0.000125,1,1,800,1
400,5,0.0125,0.01,0.000125,5,1,20000,1
400,5,0.0125,0.01,0.000125,10,1,80000,1
400,5,0.0125,0.1,0.00125,1,0.999665,8,1.00034
400,5,0.0125,0.1,0.00125,5,1,200,1
400,5,0.0125,0.1,0.00125,10,1,800,1
400,5,0.0125,0.3,0.00375,1,0.588888,0.888889,1.69812
400,5,0.0125,0.3,0.00375,5,1,22.2222,1
400,5,0.0125,0.3,0.00375,10,1,88.8889,1
400,5,0.0125,1,0.0125,1,0.0768837,0.08,13.0067
400,5,0.0125,1,0.0125,5,0.864665,2,1.15652
400,5,0.0125,1,0.0125,10,0.999665,8,1.00034
400,5,0.0125,3,0.0375,1,0.0088495,0.00888889,113.001
400,5,0.0125,3,0.0375,5,0.199263,0.222222,5.0185
400,5,0.0125,3,0.0375,10,0.588888,0.888889,1.69812
400,10,0.025,0.001,2.5e-05,1,1,20000,1
400,10,0.025,0.001,2.5e-05,5,1,500000,1
400,10,0.025,0.001,2.5e-05,10,1,2e+06,1
400,10,0.025,0.01,0.00025,1,1,200,1
400,10,0.025,0.01,0.00025,5,1,5000,1
400,10,0.025,0.01,0.00025,10,1,20000,1
400,10,0.025,0.1,0.0025,1,0.864665,2,1.15652
400,10,0.025,0.1,0.0025,5,1,50,1
400,10,0.025,0.1,0.0025,10,1,200,1
400,10,0.025,0.3,0.0075,1,0.199263,0.222222,5.0185
400,10,0.025,0.3,0.0075,5,0.996134,5.55556,1.00388
400,10,0.025,0.3,0.0075,10,1,22.2222,1
400,10,0.025,1,0.025,1,0.0198013,0.02,50.5017
400,10,0.025,1,0.025,5,0.393469,0.5,2.54149
400,10,0.025,1,0.025,10,0.864665,2,1.15652
400,10,0.025,3,0.075,1,0.00221975,0.00222222,450.5
400,10,0.025,3,0.075,5,0.0540405,0.0555556,18.5046
400,10,0.025,3,0.075,10,0.199263,0.222222,5.0185
400,50,0.125,0.001,0.000125,1,1,800,1
400,50,0.125,0.001,0.000125,5,1,20000,1
400,50,0.125,0.001,0.000125,10,1,80000,1
400,50,0.125,0.01,0.00125,1,0.999665,8,1.00034
400,50,0.125,0.01,0.00125,5,1,200,1
400,50,0.125,0.01,0.00125,10,1,800,1
400,50,0.125,0.1,0.0125,1,0.0768837,0.08,13.0067
400,50,0.125,0.1,0.0125,5,0.864665,2,1.15652
400,50,0.125,0.1,0.0125,10,0.999665,8,1.00034
400,50,0.125,0.3,0.0375,1,0.0088495,0.00888889,113.001
400,50,0.125,0.3,0.0375,5,0.199263,0.222222,5.0185
400,50,0.125,0.3,0.0375,10,0.588888,0.888889,1.69812
400,50,0.125,1,0.125,1,0.00079968,0.0008,1250.5
400,50,0.125,1,0.125,5,0.0198013,0.02,50.5017
400,50,0.125,1,0.125,10,0.0768837,0.08,13.0067
400,50,0.125,3,0.375,1,8.88849e-05,8.88889e-05,11250.5
400,50,0.125,3,0.375,5,0.00221975,0.00222222,450.5
400,50,0.125,3,0.375,10,0.0088495,0.00888889,113.001
400,100,0.25,0.001,0.00025,1,1,200,1
400,100,0.25,0.001,0.00025,5,1,5000,1
400,100,0.25,0.001,0.00025,10,1,20000,1
400,100,0.25,0.01,0.0025,1,0.864665,2,1.15652
400,100,0.25,0.01,0.0025,5,1,50,1
400,100,0.25,0.01,0.0025,10,1,200,1
400,100,0.25,0.1,0.025,1,0.0198013,0.02,50.5017
400,100,0.25,0.1,0.025,5,0.393469,0.5,2.54149
400,100,0.25,0.1,0.025,10,0.864665,2,1.15652
400,100,0.25,0.3,0.075,1,0.00221975,0.00222222,450.5
400,100,0.25,0.3,0.075,5,0.0540405,0.0555556,18.5046
400,100,0.25,0.3,0.075,10,0.199263,0.222222,5.0185
400,100,0.25,1,0.25,1,0.00019998,0.0002,5000.5
400,100,0.25,1,0.25,5,0.00498752,0.005,200.5
400,100,0.25,1,0.25,10,0.0198013,0.02,50.5017
400,100,0.25,3,0.75,1,2.2222e-05,2.22222e-05,45000.5
400,100,0.25,3,0.75,5,0.000555401,0.000555556,1800.5
400,100,0.25,3,0.75,10,0.00221975,0.00222222,450.5
619,1,0.00161551,0.001,1.61551e-06,1,1,4.78951e+06,1
619,1,0.00161551,0.001,1.61551e-06,5,1,1.19738e+08,1
619,1,0.00161551,0.001,1.61551e-06,10,1,4.78951e+08,1
619,1,0.00161551,0.01,1.61551e-05,1,1,47895.1,1
619,1,0.00161551,0.01,1.61551e-05,5,1,1.19738e+06,1
619,1,0.00161551,0.01,1.61551e-05,10,1,4.78951e+06,1
619,1,0.00161551,0.1,0.000161551,1,1,478.951,1
619,1,0.00161551,0.1,0.000161551,5,1,11973.8,1
619,1,0.00161551,0.1,0.000161551,10,1,47895.1,1
619,1,0.00161551,0.3,0.000484653,1,1,53.2168,1
619,1,0.00161551,0.3,0.000484653,5,1,1330.42,1
619,1,0.00161551,0.3,0.000484653,10,1,5321.68,1
619,1,0.00161551,1,0.00161551,1,0.991683,4.78951,1.00839
