R_m,tau_ms,u_m_s,pointing_urad,muzzle_frac,lidar_bw,sigma_range_m,tof_s,t_go_s,sigma_pos_m,sigma_pos_snr10_m,sigma_v_m_s,a_rel_m_s2,term_vel_extrap_m,term_rel_accel_m,term_pointing_m,term_muzzle_m,term_range_m,d_miss_M1_v4_m,d_miss_M2_coorbital_m,d_miss_M3_extrapolating_m,penalty_M3,penalty_M1,M_launch_M3_g,M_launch_M1_g,p_hit_plan_M1,p_hit_plan_M3
1,0.1,1,50,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-06,0.0541483,0.0619,0.00011195,0.0541484,1468.15,1918.59,236.534,309.103,0.98682,0.989899
1,0.1,1,50,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-06,0.000541483,0.0619,0.00011195,0.000543817,0.148083,1918.59,0.0238577,309.103,0.98682,0.999999
1,0.1,1,50,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-06,5.41483e-05,0.0619,0.00011195,7.3925e-05,0.00273642,1918.59,0.000440864,309.103,0.98682,1
1,0.1,1,50,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,0.0541483,0.0619,0.000113098,0.0541484,1468.15,1918.59,236.534,309.103,0.98682,0.989899
1,0.1,1,50,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,0.000541483,0.0619,0.000113098,0.000544055,0.148213,1918.59,0.0238785,309.103,0.98682,0.999999
1,0.1,1,50,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,5.41483e-05,0.0619,0.000113098,7.56524e-05,0.00286579,1918.59,0.000461708,309.103,0.98682,1
1,0.1,1,200,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-06,0.0541483,0.0619,0.00022368,0.0541487,1468.17,1918.59,236.537,309.103,0.98682,0.989899
1,0.1,1,200,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-06,0.000541483,0.0619,0.00022368,0.000577267,0.16686,1918.59,0.0268829,309.103,0.98682,0.999999
1,0.1,1,200,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-06,5.41483e-05,0.0619,0.00022368,0.00020728,0.0215136,1918.59,0.00346606,309.103,0.98682,1
1,0.1,1,200,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-05,0.0541483,0.0619,0.000224257,0.0541487,1468.17,1918.59,236.537,309.103,0.98682,0.989899
