h_km,beta,v_rel_m_s,Es_c_kJ_kg,m_p_g,Es_kJ_kg,catastrophic,M_eff_kg,N_gt_1cm_SBM,N_gt_1mm_SBM,ejecta_g_gault,crater_volume_mm3,ejecta_g_energy_bound,ejecta_frac_of_target,KE_J
400,1,400,30,0.408029,23.0897,False,0.000163211,0.379807,19.4788,1.63211,65.2846,0.176268,0.124684,32.6423
400,1,400,50,0.408029,23.0897,False,0.000163211,0.379807,19.4788,1.63211,65.2846,0.176268,0.124684,32.6423
400,1,400,40,0.408029,23.0897,False,0.000163211,0.379807,19.4788,1.63211,65.2846,0.176268,0.124684,32.6423
400,1,619,30,0.26367,35.7313,True,0.00167739,2.18009,111.808,1.63211,101.028,0.272775,0.192949,50.514
400,1,619,50,0.26367,35.7313,False,0.000163211,0.379807,19.4788,1.63211,101.028,0.272775,0.192949,50.514
400,1,619,40,0.26367,35.7313,False,0.000163211,0.379807,19.4788,1.63211,101.028,0.272775,0.192949,50.514
400,1,800,30,0.204014,46.1794,True,0.00161773,2.12168,108.813,1.63211,130.569,0.352537,0.249369,65.2846
400,1,800,50,0.204014,46.1794,False,0.000163211,0.379807,19.4788,1.63211,130.569,0.352537,0.249369,65.2846
400,1,800,40,0.204014,46.1794,True,0.00161773,2.12168,108.813,1.63211,130.569,0.352537,0.249369,65.2846
400,1,1000,30,0.163211,57.7243,True,0.00157693,2.08142,106.748,1.63211,163.211,0.440671,0.311711,81.6057
400,1,1000,50,0.163211,57.7243,True,0.00157693,2.08142,106.748,1.63211,163.211,0.440671,0.311711,81.6057
400,1,1000,40,0.163211,57.7243,True,0.00157693,2.08142,106.748,1.63211,163.211,0.440671,0.311711,81.6057
400,1,1500,30,0.108808,86.5864,True,0.00152252,2.02732,103.974,1.63211,244.817,0.661006,0.467566,122.409
400,1,1500,50,0.108808,86.5864,True,0.00152252,2.02732,103.974,1.63211,244.817,0.661006,0.467566,122.409
400,1,1500,40,0.108808,86.5864,True,0.00152252,2.02732,103.974,1.63211,244.817,0.661006,0.467566,122.409
400,1,2000,30,0.0816057,115.449,True,0.00149532,2.0001,102.577,1.63211,326.423,0.881342,0.623422,163.211
400,1,2000,50,0.0816057,115.449,True,0.00149532,2.0001,102.577,1.63211,326.423,0.881342,0.623422,163.211
400,1,2000,40,0.0816057,115.449,True,0.00149532,2.0001,102.577,1.63211,326.423,0.881342,0.623422,163.211
400,1.5,400,30,0.272019,15.3931,False,0.000108808,0.280217,14.3713,1.08808,43.5231,0.117512,0.0831229,21.7615
400,1.5,400,50,0.272019,15.3931,False,0.000108808,0.280217,14.3713,1.08808,43.5231,0.117512,0.0831229,21.7615
400,1.5,400,40,0.272019,15.3931,False,0.000108808,0.280217,14.3713,1.08808,43.5231,0.117512,0.0831229,21.7615
400,1.5,619,30,0.17578,23.8209,False,0.000108808,0.280217,14.3713,1.08808,67.3519,0.18185,0.128633,33.676
400,1.5,619,50,0.17578,23.8209,False,0.000108808,0.280217,14.3713,1.08808,67.3519,0.18185,0.128633,33.676
400,1.5,619,40,0.17578,23.8209,False,0.000108808,0.280217,14.3713,1.08808,67.3519,0.18185,0.128633,33.676
400,1.5,800,30,0.13601,30.7863,True,0.00154973,2.05443,105.364,1.08808,87.0461,0.235025,0.166246,43.5231
400,1.5,800,50,0.13601,30.7863,False,0.000108808,0.280217,14.3713,1.08808,87.0461,0.235025,0.166246,43.5231
400,1.5,800,40,0.13601,30.7863,False,0.000108808,0.280217,14.3713,1.08808,87.0461,0.235025,0.166246,43.5231
400,1.5,1000,30,0.108808,38.4828,True,0.00152252,2.02732,103.974,1.08808,108.808,0.293781,0.207807,54.4038
400,1.5,1000,50,0.108808,38.4828,False,0.000108808,0.280217,14.3713,1.08808,108.808,0.293781,0.207807,54.4038
400,1.5,1000,40,0.108808,38.4828,False,0.000108808,0.280217,14.3713,1.08808,108.808,0.293781,0.207807,54.4038
400,1.5,1500,30,0.0725384,57.7243,True,0.00148626,1.99099,102.11,1.08808,163.211,0.440671,0.311711,81.6057
400,1.5,1500,50,0.0725384,57.7243,True,0.00148626,1.99099,102.11,1.08808,163.211,0.440671,0.311711,81.6057
400,1.5,1500,40,0.0725384,57.7243,True,0.00148626,1.99099,102.11,1.08808,163.211,0.440671,0.311711,81.6057
400,1.5,2000,30,0.0544038,76.9657,True,0.00146812,1.97275,101.175,1.08808,217.615,0.587561,0.415615,108.808
400,1.5,2000,50,0.0544038,76.9657,True,0.00146812,1.97275,101.175,1.08808,217.615,0.587561,0.415615,108.808
400,1.5,2000,40,0.0544038,76.9657,True,0.00146812,1.97275,101.175,1.08808,217.615,0.587561,0.415615,108.808
400,2.5,400,30,0.163211,9.23588,False,6.52846e-05,0.191033,9.79734,0.652846,26.1138,0.0705074,0.0498738,13.0569
400,2.5,400,50,0.163211,9.23588,False,6.52846e-05,0.191033,9.79734,0.652846,26.1138,0.0705074,0.0498738,13.0569
400,2.5,400,40,0.163211,9.23588,False,6.52846e-05,0.191033,9.79734,0.652846,26.1138,0.0705074,0.0498738,13.0569
400,2.5,619,30,0.105468,14.2925,False,6.52846e-05,0.191033,9.79734,0.652846,40.4112,0.10911,0.0771796,20.2056
400,2.5,619,50,0.105468,14.2925,False,6.52846e-05,0.191033,9.79734,0.652846,40.4112,0.10911,0.0771796,20.2056
400,2.5,619,40,0.105468,14.2925,False,6.52846e-05,0.191033,9.79734,0.652846,40.4112,0.10911,0.0771796,20.2056
400,2.5,800,30,0.0816057,18.4718,False,6.52846e-05,0.191033,9.79734,0.652846,52.2277,0.141015,0.0997475,26.1138
400,2.5,800,50,0.0816057,18.4718,False,6.52846e-05,0.191033,9.79734,0.652846,52.2277,0.141015,0.0997475,26.1138
400,2.5,800,40,0.0816057,18.4718,False,6.52846e-05,0.191033,9.79734,0.652846,52.2277,0.141015,0.0997475,26.1138
400,2.5,1000,30,0.0652846,23.0897,False,6.52846e-05,0.191033,9.79734,0.652846,65.2846,0.176268,0.124684,32.6423
400,2.5,1000,50,0.0652846,23.0897,False,6.52846e-05,0.191033,9.79734,0.652846,65.2846,0.176268,0.124684,32.6423
