v_rel_m_s,beta,catastrophic,removed,new_gt1cm_SBM_branch,new_gt1cm_physical,missed_mass_persistent_objects,net_SBM,net_physical
400,1,False,1,0.355777,0,0,0.644223,1
400,1.5,False,1,0.262488,0,0,0.737512,1
400,2.5,False,1,0.178946,0,0,0.821054,1
619,1,False,1,0.355777,0,0,0.644223,1
619,1.5,False,1,0.262488,0,0,0.737512,1
619,2.5,False,1,0.178946,0,0,0.821054,1
800,1,True,1,2.10491,2.10491,0,-1.10491,-1.10491
800,1.5,False,1,0.262488,0,0,0.737512,1
800,2.5,False,1,0.178946,0,0,0.821054,1
1000,1,True,1,2.06792,2.06792,0,-1.06792,-1.06792
1000,1.5,False,1,0.262488,0,0,0.737512,1
1000,2.5,False,1,0.178946,0,0,0.821054,1
1500,1,True,1,2.01825,2.01825,0,-1.01825,-1.01825
1500,1.5,True,1,1.98491,1.98491,0,-0.984909,-0.984909
1500,2.5,False,1,0.178946,0,0,0.821054,1
2000,1,True,1,1.99326,1.99326,0,-0.993261,-0.993261
2000,1.5,True,1,1.96817,1.96817,0,-0.968169,-0.968169
2000,2.5,True,1,1.94802,1.94802,0,-0.948018,-0.948018
