m_grain_mg,v_rel_m_s,Es_per_impact_kJ_kg,per_impact_catastrophic,frac_of_threshold,N_gt_1cm_per_impact_SBM
0.01,619,0.00135515,False,3.38789e-05,0.000183556
0.01,1000,0.00353678,False,8.84194e-05,0.000263027
0.1,619,0.0135515,False,0.000338789,0.00103221
0.1,1000,0.0353678,False,0.000884194,0.00147911
1,619,0.135515,False,0.00338789,0.00580454
1,1000,0.353678,False,0.00884194,0.00831764
10,619,1.35515,False,0.0338789,0.0326413
10,1000,3.53678,False,0.0884194,0.0467735
100,619,13.5515,False,0.338789,0.183556
100,1000,35.3678,False,0.884194,0.263027
