m_p_g,v_m_s,eta,l_barrel_m,n_stages,E_kin_J,E_elec_J,m_cap_kg,m_cu_kg,l_wire_m,wire_awg,energy_cost_usd
0.01,400,0.3,0.815773,3,0.8,2.66667,0.00177778,0.760073,25.6283,12,7.40741e-08
0.01,400,0.4,0.815773,3,0.8,2,0.00133333,0.760073,25.6283,12,5.55556e-08
0.01,400,0.5,0.815773,3,0.8,1.6,0.00106667,0.760073,25.6283,12,4.44444e-08
0.01,619,0.3,1.95358,7,1.91581,6.38602,0.00425734,1.82019,61.3734,12,1.77389e-07
0.01,619,0.4,1.95358,7,1.91581,4.78951,0.00319301,1.82019,61.3734,12,1.33042e-07
0.01,619,0.5,1.95358,7,1.91581,3.83161,0.00255441,1.82019,61.3734,12,1.06434e-07
0.01,1000,0.3,5.09858,17,5,16.6667,0.0111111,4.75045,160.177,12,4.62963e-07
0.01,1000,0.4,5.09858,17,5,12.5,0.00833333,4.75045,160.177,12,3.47222e-07
0.01,1000,0.5,5.09858,17,5,10,0.00666667,4.75045,160.177,12,2.77778e-07
0.01,2000,0.3,20.3943,68,20,66.6667,0.0444444,19.0018,640.707,12,1.85185e-06
0.01,2000,0.4,20.3943,68,20,50,0.0333333,19.0018,640.707,12,1.38889e-06
0.01,2000,0.5,20.3943,68,20,40,0.0266667,19.0018,640.707,12,1.11111e-06
0.01,3000,0.3,45.8872,153,45,150,0.1,42.7541,1441.59,12,4.16667e-06
0.01,3000,0.4,45.8872,153,45,112.5,0.075,42.7541,1441.59,12,3.125e-06
0.01,3000,0.5,45.8872,153,45,90,0.06,42.7541,1441.59,12,2.5e-06
0.01,5000,0.3,127.465,425,125,416.667,0.277778,118.761,4004.42,12,1.15741e-05
0.01,5000,0.4,127.465,425,125,312.5,0.208333,118.761,4004.42,12,8.68056e-06
0.01,5000,0.5,127.465,425,125,250,0.166667,118.761,4004.42,12,6.94444e-06
0.1,400,0.3,0.815773,3,8,26.6667,0.0177778,0.760073,25.6283,12,7.40741e-07
0.1,400,0.4,0.815773,3,8,20,0.0133333,0.760073,25.6283,12,5.55556e-07
0.1,400,0.5,0.815773,3,8,16,0.0106667,0.760073,25.6283,12,4.44444e-07
0.1,619,0.3,1.95358,7,19.158,63.8602,0.0425734,1.82019,61.3734,12,1.77389e-06
0.1,619,0.4,1.95358,7,19.158,47.8951,0.0319301,1.82019,61.3734,12,1.33042e-06
0.1,619,0.5,1.95358,7,19.158,38.3161,0.0255441,1.82019,61.3734,12,1.06434e-06
0.1,1000,0.3,5.09858,17,50,166.667,0.111111,4.75045,160.177,12,4.62963e-06
0.1,1000,0.4,5.09858,17,50,125,0.0833333,4.75045,160.177,12,3.47222e-06
0.1,1000,0.5,5.09858,17,50,100,0.0666667,4.75045,160.177,12,2.77778e-06
0.1,2000,0.3,20.3943,68,200,666.667,0.444444,19.0018,640.707,12,1.85185e-05
