material,d_mm,rho_pop_per_km2,reaches_ground,impact_KE_J,hazardous,casualty_expectation
Re,0.05,0,False,0,False,0
Re,0.1,0,False,0,False,0
Re,0.45,0,False,0,False,0
Re,1,0,False,0,False,0
Re,2,0,True,0.00200766,False,0
Re,5,0,True,0.398833,False,0
Re,10,0,True,9.51529,False,0
Re,20,0,True,183.041,True,0
Re,50,0,True,8087.88,True,0
W,0.05,0,False,0,False,0
W,0.1,0,False,0,False,0
W,0.45,0,True,1.52556e-07,False,0
W,1,0,True,0.000308495,False,0
W,2,0,True,0.0106516,False,0
W,5,0,True,0.589968,False,0
W,10,0,True,10.3937,False,0
W,20,0,True,173.537,True,0
W,50,0,True,6986.92,True,0
Re,0.05,10,False,0,False,0
Re,0.1,10,False,0,False,0
Re,0.45,10,False,0,False,0
Re,1,10,False,0,False,0
Re,2,10,True,0.00200766,False,0
Re,5,10,True,0.398833,False,0
Re,10,10,True,9.51529,False,0
Re,20,10,True,183.041,True,3.6e-06
Re,50,10,True,8087.88,True,3.6e-06
W,0.05,10,False,0,False,0
W,0.1,10,False,0,False,0
W,0.45,10,True,1.52556e-07,False,0
W,1,10,True,0.000308495,False,0
W,2,10,True,0.0106516,False,0
W,5,10,True,0.589968,False,0
W,10,10,True,10.3937,False,0
W,20,10,True,173.537,True,3.6e-06
W,50,10,True,6986.92,True,3.6e-06
Re,0.05,100,False,0,False,0
Re,0.1,100,False,0,False,0
Re,0.45,100,False,0,False,0
Re,1,100,False,0,False,0
Re,2,100,True,0.00200766,False,0
Re,5,100,True,0.398833,False,0
Re,10,100,True,9.51529,False,0
Re,20,100,True,183.041,True,3.6e-05
Re,50,100,True,8087.88,True,3.6e-05
W,0.05,100,False,0,False,0
W,0.1,100,False,0,False,0
W,0.45,100,True,1.52556e-07,False,0
W,1,100,True,0.000308495,False,0
W,2,100,True,0.0106516,False,0
W,5,100,True,0.589968,False,0
W,10,100,True,10.3937,False,0
W,20,100,True,173.537,True,3.6e-05
W,50,100,True,6986.92,True,3.6e-05
Re,0.05,1000,False,0,False,0
Re,0.1,1000,False,0,False,0
Re,0.45,1000,False,0,False,0
Re,1,1000,False,0,False,0
Re,2,1000,True,0.00200766,False,0
Re,5,1000,True,0.398833,False,0
Re,10,1000,True,9.51529,False,0
Re,20,1000,True,183.041,True,0.00036
Re,50,1000,True,8087.88,True,0.00036
W,0.05,1000,False,0,False,0
W,0.1,1000,False,0,False,0
W,0.45,1000,True,1.52556e-07,False,0
W,1,1000,True,0.000308495,False,0
W,2,1000,True,0.0106516,False,0
W,5,1000,True,0.589968,False,0
W,10,1000,True,10.3937,False,0
W,20,1000,True,173.537,True,0.00036
W,50,1000,True,6986.92,True,0.00036
Re,0.05,10000,False,0,False,0
Re,0.1,10000,False,0,False,0
Re,0.45,10000,False,0,False,0
Re,1,10000,False,0,False,0
Re,2,10000,True,0.00200766,False,0
Re,5,10000,True,0.398833,False,0
Re,10,10000,True,9.51529,False,0
Re,20,10000,True,183.041,True,0.0036
Re,50,10000,True,8087.88,True,0.0036
W,0.05,10000,False,0,False,0
W,0.1,10000,False,0,False,0
W,0.45,10000,True,1.52556e-07,False,0
W,1,10000,True,0.000308495,False,0
W,2,10000,True,0.0106516,False,0
W,5,10000,True,0.589968,False,0
W,10,10000,True,10.3937,False,0
W,20,10000,True,173.537,True,0.0036
W,50,10000,True,6986.92,True,0.0036
