material,case,shots_per_year,deposited_kg_yr,vs_cosmic_dust_40000_t_yr
Re,SIM-4 design shot,1000,2.69,6.725e-08
W,SIM-4 design shot,1000,2.69,6.725e-08
Re,10 cm miss tolerance,1000,175,4.375e-06
W,10 cm miss tolerance,1000,175,4.375e-06
Re,SIM-4 design shot,10000,26.9,6.725e-07
W,SIM-4 design shot,10000,26.9,6.725e-07
Re,10 cm miss tolerance,10000,1750,4.375e-05
W,10 cm miss tolerance,10000,1750,4.375e-05
Re,SIM-4 design shot,100000,269,6.725e-06
W,SIM-4 design shot,100000,269,6.725e-06
Re,10 cm miss tolerance,100000,17500,0.0004375
W,10 cm miss tolerance,100000,17500,0.0004375
