d_mm,H_eff_MJ_kg,emissivity,f_ablated,demised,T_max_K
0.1,3.5,0.2,0.999916,True,3502.8
0.1,3.5,0.35,1,True,3459.69
0.1,3.5,0.6,0.999935,True,3459.05
0.1,4.5,0.2,1,True,3502.8
0.1,4.5,0.35,0.999967,True,3459.69
0.1,4.5,0.6,1,True,3459.05
0.1,5.5,0.2,0.999957,True,3502.8
0.1,5.5,0.35,1,True,3459.69
0.1,5.5,0.6,0.999907,True,3459.05
0.45,3.5,0.2,0.999927,True,3459.1
0.45,3.5,0.35,0.999917,True,3459.76
0.45,3.5,0.6,0.999906,True,3459.42
0.45,4.5,0.2,0.999902,True,3459.1
0.45,4.5,0.35,0.999952,True,3459.76
0.45,4.5,0.6,0.916085,False,3459.42
0.45,5.5,0.2,0.999924,True,3459.1
0.45,5.5,0.35,0.999922,True,3459.76
0.45,5.5,0.6,0.789466,False,3459.42
2,3.5,0.2,0.999901,True,3459.41
2,3.5,0.35,0.927031,False,3459.41
2,3.5,0.6,0.190681,False,3459.06
2,4.5,0.2,0.988978,False,3459.41
2,4.5,0.35,0.830796,False,3459.41
2,4.5,0.6,0.146868,False,3459.06
2,5.5,0.2,0.955479,False,3459.41
2,5.5,0.35,0.741337,False,3459.41
2,5.5,0.6,0.119408,False,3459.06
10,3.5,0.2,0.501762,False,3460.09
10,3.5,0.35,0.285159,False,3459.45
10,3.5,0.6,0.0147827,False,3459.19
10,4.5,0.2,0.410448,False,3460.09
10,4.5,0.35,0.226787,False,3459.45
10,4.5,0.6,0.0114603,False,3459.19
10,5.5,0.2,0.346672,False,3460.09
10,5.5,0.35,0.188177,False,3459.45
10,5.5,0.6,0.00935723,False,3459.19
