d_debris_cm,h_km,beta,miss_budget,sigma_miss_m,material,launch,n_engagements_life,C_platform,m_on_target_g,mass_penalty,m_shot_g,n_kicks,n_shots,cost_material,cost_launch,cost_energy,cost_platform,cost_per_object,cost_per_kg
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,1000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,50000,50050.7,3.54037e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,1000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,500000,500051,3.53714e+08
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,10000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,5000,5050.75,3.57267e+06
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,10000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,50000,50050.7,3.54037e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,100000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,500,550.745,389572
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,100000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,14.8045,6.56542e-05,5000,5050.75,3.57267e+06
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,1000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,50000,50070.5,3.54176e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,1000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,500000,500070,3.53728e+08
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,10000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,5000,5070.48,3.58663e+06
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,10000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,50000,50070.5,3.54176e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,100000,5e+07,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,500,570.484,403535
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,100000,5e+08,0.26367,16.8444,4.44136,1,1.11111,35.9405,34.5439,6.56542e-05,5000,5070.48,3.58663e+06
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,1000,5e+07,0.26367,16.8444,4.44136,1,1.11111,12.268,14.8045,6.56542e-05,50000,50027.1,3.53869e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,1000,5e+08,0.26367,16.8444,4.44136,1,1.11111,12.268,14.8045,6.56542e-05,500000,500027,3.53697e+08
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,10000,5e+07,0.26367,16.8444,4.44136,1,1.11111,12.268,14.8045,6.56542e-05,5000,5027.07,3.55593e+06
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,10000,5e+08,0.26367,16.8444,4.44136,1,1.11111,12.268,14.8045,6.56542e-05,50000,50027.1,3.53869e+07
1,400,1,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,100000,5e+07,0.26367,16.8444,4.44136,1,1.11111,12.268,14.8045,6.56542e-05,500,527.073,372828
