h_km,d_debris_cm,solar_case,v_rel_required_for_self_disposal_m_s,released_mass_reenters_within_one_orbit,FCC_5yr_released_material,ODMSP_25yr_released_material,target_lifetime_yr,target_meets_25yr_single_kick,target_meets_5yr_single_kick,kicks_for_25yr,target_meets_25yr_staged,IADC_net_flux,casualty_expectation,casualty_vs_threshold
400,0.5,solar_min,87.41,True,PASS,PASS,0.00349655,PASS,PASS,0,PASS,PASS,0,PASS
400,0.5,nominal,87.41,True,PASS,PASS,0.00186818,PASS,PASS,0,PASS,PASS,0,PASS
400,0.5,solar_max,87.41,True,PASS,PASS,0.00115153,PASS,PASS,0,PASS,PASS,0,PASS
400,1,solar_min,87.41,True,PASS,PASS,0.0069931,PASS,PASS,0,PASS,PASS,0,PASS
400,1,nominal,87.41,True,PASS,PASS,0.00373636,PASS,PASS,0,PASS,PASS,0,PASS
400,1,solar_max,87.41,True,PASS,PASS,0.00230306,PASS,PASS,0,PASS,PASS,0,PASS
400,2,solar_min,87.41,True,PASS,PASS,0.0139862,PASS,PASS,0,PASS,PASS,0,PASS
400,2,nominal,87.41,True,PASS,PASS,0.00747272,PASS,PASS,0,PASS,PASS,0,PASS
400,2,solar_max,87.41,True,PASS,PASS,0.00460612,PASS,PASS,0,PASS,PASS,0,PASS
400,5,solar_min,87.41,True,PASS,PASS,0.0349655,PASS,PASS,0,PASS,PASS,0,PASS
400,5,nominal,87.41,True,PASS,PASS,0.0186818,PASS,PASS,0,PASS,PASS,0,PASS
400,5,solar_max,87.41,True,PASS,PASS,0.0115153,PASS,PASS,0,PASS,PASS,0,PASS
400,10,solar_min,87.41,True,PASS,PASS,0.069931,PASS,PASS,0,PASS,PASS,0,PASS
400,10,nominal,87.41,True,PASS,PASS,0.0373636,PASS,PASS,0,PASS,PASS,0,PASS
400,10,solar_max,87.41,True,PASS,PASS,0.0230306,PASS,PASS,0,PASS,PASS,0,PASS
500,0.5,solar_min,115.043,True,PASS,PASS,0.0715334,PASS,PASS,0,PASS,PASS,0,PASS
500,0.5,nominal,115.043,True,PASS,PASS,0.0198993,PASS,PASS,0,PASS,PASS,0,PASS
500,0.5,solar_max,115.043,True,PASS,PASS,0.00873304,PASS,PASS,0,PASS,PASS,0,PASS
500,1,solar_min,115.043,True,PASS,PASS,0.143067,PASS,PASS,0,PASS,PASS,0,PASS
