h_km,m_grain_mg,shot_mass_g,n_grains,path_km,p_conjunction_per_grain,p_conjunction_per_engagement,expected_per_10k_engagements,grain_KE_at_7km_s_J
400,0.01,2.69,269000,2684.83,4.02725e-10,0.000108333,1.08333,0.245
400,0.01,175,1.75e+07,2684.83,4.02725e-10,0.00704768,70.4768,0.245
400,0.1,2.69,26900,2684.83,4.02725e-10,1.08333e-05,0.108333,2.45
400,0.1,175,1.75e+06,2684.83,4.02725e-10,0.000704768,7.04768,2.45
400,1,2.69,2690,2684.83,4.02725e-10,1.08333e-06,0.0108333,24.5
400,1,175,175000,2684.83,4.02725e-10,7.04768e-05,0.704768,24.5
400,10,2.69,269,2684.83,4.02725e-10,1.08333e-07,0.00108333,245
400,10,175,17500,2684.83,4.02725e-10,7.04768e-06,0.0704768,245
500,0.01,2.69,269000,3579.77,5.90663e-10,0.000158888,1.58888,0.245
500,0.01,175,1.75e+07,3579.77,5.90663e-10,0.0103366,103.366,0.245
500,0.1,2.69,26900,3579.77,5.90663e-10,1.58888e-05,0.158888,2.45
500,0.1,175,1.75e+06,3579.77,5.90663e-10,0.00103366,10.3366,2.45
500,1,2.69,2690,3579.77,5.90663e-10,1.58888e-06,0.0158888,24.5
500,1,175,175000,3579.77,5.90663e-10,0.000103366,1.03366,24.5
500,10,2.69,269,3579.77,5.90663e-10,1.58888e-07,0.00158888,245
500,10,175,17500,3579.77,5.90663e-10,1.03366e-05,0.103366,245
600,0.01,2.69,269000,4474.72,7.90533e-10,0.000212653,2.12653,0.245
600,0.01,175,1.75e+07,4474.72,7.90533e-10,0.0138343,138.343,0.245
600,0.1,2.69,26900,4474.72,7.90533e-10,2.12653e-05,0.212653,2.45
600,0.1,175,1.75e+06,4474.72,7.90533e-10,0.00138343,13.8343,2.45
600,1,2.69,2690,4474.72,7.90533e-10,2.12653e-06,0.0212653,24.5
600,1,175,175000,4474.72,7.90533e-10,0.000138343,1.38343,24.5
600,10,2.69,269,4474.72,7.90533e-10,2.12653e-07,0.00212653,245
600,10,175,17500,4474.72,7.90533e-10,1.38343e-05,0.138343,245
700,0.01,2.69,269000,5369.66,1.08736e-09,0.000292499,2.92499,0.245
700,0.01,175,1.75e+07,5369.66,1.08736e-09,0.0190287,190.287,0.245
700,0.1,2.69,26900,5369.66,1.08736e-09,2.92499e-05,0.292499,2.45
700,0.1,175,1.75e+06,5369.66,1.08736e-09,0.00190287,19.0287,2.45
700,1,2.69,2690,5369.66,1.08736e-09,2.92499e-06,0.0292499,24.5
700,1,175,175000,5369.66,1.08736e-09,0.000190287,1.90287,24.5
700,10,2.69,269,5369.66,1.08736e-09,2.92499e-07,0.00292499,245
700,10,175,17500,5369.66,1.08736e-09,1.90287e-05,0.190287,245
800,0.01,2.69,269000,6264.6,1.45339e-09,0.000390961,3.90961,0.245
800,0.01,175,1.75e+07,6264.6,1.45339e-09,0.0254343,254.343,0.245
800,0.1,2.69,26900,6264.6,1.45339e-09,3.90961e-05,0.390961,2.45
800,0.1,175,1.75e+06,6264.6,1.45339e-09,0.00254343,25.4343,2.45
800,1,2.69,2690,6264.6,1.45339e-09,3.90961e-06,0.0390961,24.5
800,1,175,175000,6264.6,1.45339e-09,0.000254343,2.54343,24.5
800,10,2.69,269,6264.6,1.45339e-09,3.90961e-07,0.00390961,245
800,10,175,17500,6264.6,1.45339e-09,2.54343e-05,0.254343,245
900,0.01,2.69,269000,7159.55,1.74216e-09,0.00046864,4.6864,0.245
900,0.01,175,1.75e+07,7159.55,1.74216e-09,0.0304877,304.877,0.245
900,0.1,2.69,26900,7159.55,1.74216e-09,4.6864e-05,0.46864,2.45
900,0.1,175,1.75e+06,7159.55,1.74216e-09,0.00304877,30.4877,2.45
900,1,2.69,2690,7159.55,1.74216e-09,4.6864e-06,0.046864,24.5
900,1,175,175000,7159.55,1.74216e-09,0.000304877,3.04877,24.5
900,10,2.69,269,7159.55,1.74216e-09,4.6864e-07,0.0046864,245
900,10,175,17500,7159.55,1.74216e-09,3.04877e-05,0.304877,245
1000,0.01,2.69,269000,8054.49,1.9676e-09,0.000529284,5.29284,0.245
1000,0.01,175,1.75e+07,8054.49,1.9676e-09,0.0344329,344.329,0.245
1000,0.1,2.69,26900,8054.49,1.9676e-09,5.29284e-05,0.529284,2.45
1000,0.1,175,1.75e+06,8054.49,1.9676e-09,0.00344329,34.4329,2.45
1000,1,2.69,2690,8054.49,1.9676e-09,5.29284e-06,0.0529284,24.5
1000,1,175,175000,8054.49,1.9676e-09,0.000344329,3.44329,24.5
1000,10,2.69,269,8054.49,1.9676e-09,5.29284e-07,0.00529284,245
1000,10,175,17500,8054.49,1.9676e-09,3.44329e-05,0.344329,245
1100,0.01,2.69,269000,8949.43,2.1143e-09,0.000568748,5.68748,0.245
1100,0.01,175,1.75e+07,8949.43,2.1143e-09,0.0370003,370.003,0.245
1100,0.1,2.69,26900,8949.43,2.1143e-09,5.68748e-05,0.568748,2.45
1100,0.1,175,1.75e+06,8949.43,2.1143e-09,0.00370003,37.0003,2.45
1100,1,2.69,2690,8949.43,2.1143e-09,5.68748e-06,0.0568748,24.5
1100,1,175,175000,8949.43,2.1143e-09,0.000370003,3.70003,24.5
1100,10,2.69,269,8949.43,2.1143e-09,5.68748e-07,0.00568748,245
1100,10,175,17500,8949.43,2.1143e-09,3.70003e-05,0.370003,245
1200,0.01,2.69,269000,9844.38,2.23139e-09,0.000600245,6.00245,0.245
1200,0.01,175,1.75e+07,9844.38,2.23139e-09,0.0390494,390.494,0.245
1200,0.1,2.69,26900,9844.38,2.23139e-09,6.00245e-05,0.600245,2.45
1200,0.1,175,1.75e+06,9844.38,2.23139e-09,0.00390494,39.0494,2.45
