h_km,isp_s,m_dry_kg,dv_deorbit_m_s,propellant_deorbit_kg,dv_to_hub_400km_m_s,propellant_to_hub_kg,recommendation
400,300,400,87.41,11.7096,1.81899e-12,2.66454e-13,return to hub
400,300,600,87.41,17.5645,1.81899e-12,3.9968e-13,return to hub
400,3000,400,87.41,1.18668,1.81899e-12,4.44089e-14,return to hub
400,3000,600,87.41,1.78002,1.81899e-12,6.66134e-14,return to hub
500,300,400,115.043,15.3396,56.0371,7.54682,return to hub
500,300,600,115.043,23.0094,56.0371,11.3202,return to hub
500,3000,400,115.043,1.5611,56.0371,0.761167,return to hub
500,3000,600,115.043,2.34164,56.0371,1.14175,return to hub
600,300,400,141.969,18.8441,110.86,14.7923,return to hub
600,300,600,141.969,28.2661,110.86,22.1884,return to hub
600,3000,400,141.969,1.92559,110.86,1.50444,return to hub
600,3000,600,141.969,2.88839,110.86,2.25665,return to hub
700,300,400,168.213,22.229,164.507,21.7528,return to hub
700,300,600,168.213,33.3436,164.507,32.6293,return to hub
700,3000,400,168.213,2.28053,164.507,2.23043,return to hub
700,3000,600,168.213,3.4208,164.507,3.34564,return to hub
800,300,400,193.799,25.5002,217.015,28.4439,deorbit
800,300,600,193.799,38.2502,217.015,42.6658,deorbit
800,3000,400,193.799,2.62627,217.015,2.93973,deorbit
800,3000,600,193.799,3.9394,217.015,4.4096,deorbit
900,300,400,218.749,28.6627,268.421,34.8798,deorbit
900,300,600,218.749,42.9941,268.421,52.3197,deorbit
900,3000,400,218.749,2.96312,268.421,3.63292,deorbit
900,3000,600,218.749,4.44468,268.421,5.44937,deorbit
1000,300,400,243.085,31.7217,318.759,41.0738,deorbit
1000,300,600,243.085,47.5826,318.759,61.6108,deorbit
1000,3000,400,243.085,3.29141,318.759,4.31052,deorbit
1000,3000,600,243.085,4.93712,318.759,6.46578,deorbit
1100,300,400,266.827,34.6819,368.061,47.0386,deorbit
1100,300,600,266.827,52.0228,368.061,70.5579,deorbit
1100,3000,400,266.827,3.61144,368.061,4.97306,deorbit
1100,3000,600,266.827,5.41716,368.061,7.45959,deorbit
1200,300,400,289.996,37.5476,416.358,52.7857,deorbit
1200,300,600,289.996,56.3214,416.358,79.1785,deorbit
1200,3000,400,289.996,3.92348,416.358,5.62102,deorbit
1200,3000,600,289.996,5.88523,416.358,8.43153,deorbit
