h_km,inc_deg,park_offset_km,nodal_rate_deg_day,differential_drift_deg_day,days_per_deg_RAAN,dv_for_offset_m_s,dv_1deg_inclination_m_s
400,51.6,25,-5.00957,0.0652789,15.3189,28.4076,133.91
400,51.6,50,-5.00957,0.131656,7.59557,56.9733,133.91
400,51.6,100,-5.00957,0.267794,3.73422,114.585,133.91
400,74,25,-2.22302,0.0289679,34.521,28.4076,133.91
400,74,50,-2.22302,0.0584228,17.1166,56.9733,133.91
400,74,100,-2.22302,0.118835,8.41505,114.585,133.91
400,82,25,-1.12243,0.0146263,68.3701,28.4076,133.91
400,82,50,-1.12243,0.0294985,33.9,56.9733,133.91
400,82,100,-1.12243,0.0600013,16.6663,114.585,133.91
400,98,25,1.12243,0.0146263,68.3701,28.4076,133.91
400,98,50,1.12243,0.0294985,33.9,56.9733,133.91
400,98,100,1.12243,0.0600013,16.6663,114.585,133.91
500,51.6,25,-4.759,0.0611038,16.3656,27.7885,132.932
500,51.6,50,-4.759,0.12322,8.11556,55.7296,132.932
500,51.6,100,-4.759,0.250573,3.99086,112.074,132.932
500,74,25,-2.11183,0.0271151,36.8798,27.7885,132.932
500,74,50,-2.11183,0.0546795,18.2884,55.7296,132.932
500,74,100,-2.11183,0.111193,8.99339,112.074,132.932
500,82,25,-1.06629,0.0136908,73.0418,27.7885,132.932
500,82,50,-1.06629,0.0276084,36.2208,55.7296,132.932
500,82,100,-1.06629,0.0561428,17.8117,112.074,132.932
500,98,25,1.06629,0.0136908,73.0418,27.7885,132.932
500,98,50,1.06629,0.0276084,36.2208,55.7296,132.932
500,98,100,1.06629,0.0561428,17.8117,112.074,132.932
600,51.6,25,-4.52431,0.0572504,17.4671,27.1917,131.975
600,51.6,50,-4.52431,0.115436,8.66283,54.5304,131.975
600,51.6,100,-4.52431,0.234686,4.26101,109.654,131.975
600,74,25,-2.00769,0.0254052,39.3621,27.1917,131.975
600,74,50,-2.00769,0.0512252,19.5217,54.5304,131.975
600,74,100,-2.00769,0.104143,9.60218,109.654,131.975
600,82,25,-1.01371,0.0128274,77.958,27.1917,131.975
600,82,50,-1.01371,0.0258643,38.6634,54.5304,131.975
600,82,100,-1.01371,0.0525833,19.0175,109.654,131.975
600,98,25,1.01371,0.0128274,77.958,27.1917,131.975
600,98,50,1.01371,0.0258643,38.6634,54.5304,131.975
600,98,100,1.01371,0.0525833,19.0175,109.654,131.975
700,51.6,25,-4.3043,0.05369,18.6255,26.6159,131.039
700,51.6,50,-4.3043,0.108244,9.23838,53.3737,131.039
700,51.6,100,-4.3043,0.220013,4.54518,107.32,131.039
700,74,25,-1.91005,0.0238252,41.9724,26.6159,131.039
700,74,50,-1.91005,0.0480338,20.8187,53.3737,131.039
700,74,100,-1.91005,0.097632,10.2425,107.32,131.039
700,82,25,-0.964413,0.0120297,83.1278,26.6159,131.039
700,82,50,-0.964413,0.0242529,41.2321,53.3737,131.039
700,82,100,-0.964413,0.0492957,20.2857,107.32,131.039
700,98,25,0.964413,0.0120297,83.1278,26.6159,131.039
700,98,50,0.964413,0.0242529,41.2321,53.3737,131.039
700,98,100,0.964413,0.0492957,20.2857,107.32,131.039
800,51.6,25,-4.09785,0.0503964,19.8427,26.0601,130.122
800,51.6,50,-4.09785,0.101593,9.84324,52.2572,130.122
800,51.6,100,-4.09785,0.206446,4.84387,105.067,130.122
800,74,25,-1.81844,0.0223637,44.7154,26.0601,130.122
