m_shot_g,n_shots,total_impulse_Ns,dv_on_500kg_m_s,propellant_kg,isp_s
2.69,1000,1665.11,3.33022,0.56598,300
2.69,1000,1665.11,3.33022,0.056598,3000
2.69,10000,16651.1,33.3022,5.6598,300
2.69,10000,16651.1,33.3022,0.56598,3000
2.69,100000,166511,333.022,56.598,300
2.69,100000,166511,333.022,5.6598,3000
175,1000,108325,216.65,36.8203,300
175,1000,108325,216.65,3.68203,3000
175,10000,1.08325e+06,2166.5,368.203,300
175,10000,1.08325e+06,2166.5,36.8203,3000
175,100000,1.08325e+07,21665,3682.03,300
175,100000,1.08325e+07,21665,368.203,3000
