d_debris_cm,solar_case,h_km,n,P_viable_design,P_viable_plan,P_viable_objcost,P_viable_useful,P_c5_cost_per_object,P_c6_remediation_value,median_t_natural_yr,P_c1_subcatastrophic,P_c2_plan_phit,P_c2_design_mass,P_c3_decay,P_c4_net_debris,P_c5_cost,P_self_disposal,median_cost_per_kg,median_cost_per_object,median_m_shot_g,median_d_miss_mm,median_t_decay_yr
0.5,solar_min,400,7407,0,0,0.530579,0,0.658161,0,0.145287,0.80991,0.262454,0.99541,1,0.80991,0,1,1.42264e+08,24906.5,48.3546,39.9279,0.00341651
0.5,solar_min,500,7407,0,0,0.543675,0,0.653571,0,1.32249,0.836236,0.252464,0.995005,1,0.836236,0,1,1.39962e+08,24745.8,46.9032,40.2013,0.0714993
0.5,solar_min,600,7407,0,0,0.553935,0,0.659916,0,8.60149,0.846227,0.251249,0.995815,1,0.846227,0,1,1.36116e+08,23964.2,45.8063,39.9854,0.771767
0.5,solar_min,700,7407,0,0,0.554611,0.554611,0.654921,1,36.076,0.852167,0.246659,0.997165,1,0.852167,0,1,1.39649e+08,24552.1,44.1729,39.5399,5.75222
0.5,solar_min,800,7407,0,0,0.201701,0.201701,0.655866,0.392602,100.34,0.868368,0.255434,0.99703,0.392602,0.868368,0,1,1.43488e+08,25143.9,43.4589,39.8596,27.9271
0.5,solar_min,900,7407,0,0,0,0,0.656676,0,10000,0.882544,0.260969,0.99595,0,0.882544,0,1,1.38766e+08,24596.6,42.3629,39.7902,87.5542
0.5,solar_min,1000,7407,0,0,0,0,0.665047,0,10000,0.885109,0.255839,0.996895,0,0.885109,0,1,1.38168e+08,24516.7,41.9173,39.7911,210.955
0.5,solar_min,1100,7407,0,0,0,0,0.655191,0,10000,0.897934,0.261104,0.997435,0,0.897934,0,1,1.4479e+08,25506.2,40.9466,39.317,10000
0.5,solar_min,1200,7407,0,0,0,0,0.651546,0,10000,0.906035,0.256784,0.997165,0,0.906035,0,1,1.47525e+08,26147.1,38.7047,39.115,10000
0.5,nominal,400,7407,0,0,0.53706,0,0.657081,0,0.0312242,0.82152,0.253004,0.99649,1,0.82152,0,1,1.35688e+08,23940.5,46.4442,39.312,0.00188298
0.5,nominal,500,7407,0,0,0.54327,0,0.651546,0,0.173017,0.836506,0.244768,0.99595,1,0.836506,0,1,1.41214e+08,24700.2,45.6555,39.6947,0.0202252
