d_debris_cm,h_km,dh_km,v_rel_m_s,solar_case,P_viable,P_viable_no_value_test,P_viable_perkg,P_c1,P_c2,P_c3,P_c4,P_c5,P_c6,median_t_natural,median_cost_object,median_shot_g,median_t_decay,d_miss_mm
0.5,400,150,400,solar_min,0,0.66075,0,1,1,1,1,0.66075,0,0.145287,23551.4,3.2287,0.0125893,8.61863
0.5,400,150,400,nominal,0,0.6597,0,1,1,1,1,0.6597,0,0.0312242,23882.7,3.24777,0.00492752,8.61863
0.5,400,150,400,solar_max,0,0.6576,0,1,1,1,1,0.6576,0,0.0122591,24129.8,3.23402,0.0025931,8.61863
0.5,400,150,500,solar_min,0,0.659,0,1,1,1,1,0.659,0,0.145287,24223.1,1.70749,0.0125893,6.99863
0.5,400,150,500,nominal,0,0.65775,0,1,1,1,1,0.65775,0,0.0312242,23805.7,1.71159,0.00492752,6.99863
0.5,400,150,500,solar_max,0,0.65995,0,1,1,1,1,0.65995,0,0.0122591,23788.3,1.71285,0.0025931,6.99863
0.5,400,150,619,solar_min,0,0.6629,0,1,1,1,1,0.6629,0,0.145287,23364.3,0.941722,0.0125893,5.77491
0.5,400,150,619,nominal,0,0.66065,0,1,1,1,1,0.66065,0,0.0312242,23295.2,0.938663,0.00492752,5.77491
0.5,400,150,619,solar_max,0,0.6596,0,1,1,1,1,0.6596,0,0.0122591,24188.7,0.934185,0.0025931,5.77491
0.5,400,150,800,solar_min,0,0.65765,0,0.98935,1,1,0.98935,0.66455,0,0.145287,24120.1,0.470541,0.0125893,4.64462
0.5,400,150,800,nominal,0,0.6513,0,0.9905,1,1,0.9905,0.6578,0,0.0312242,24465.4,0.470553,0.00492752,4.64462
0.5,400,150,800,solar_max,0,0.64915,0,0.98885,1,1,0.98885,0.6572,0,0.0122591,23739,0.468308,0.0025931,4.64462
0.5,400,150,1000,solar_min,0,0.6078,0,0.9164,1,1,0.9164,0.66305,0,0.145287,23365.7,0.264538,0.0125893,3.9048
0.5,400,150,1000,nominal,0,0.60085,0,0.91435,1,1,0.91435,0.659,0,0.0312242,24283.3,0.265679,0.00492752,3.9048
0.5,400,150,1000,solar_max,0,0.6013,0,0.91125,1,1,0.91125,0.65895,0,0.0122591,23878.2,0.266049,0.0025931,3.9048
0.5,400,200,400,solar_min,0,0.666,0,1,1,1,1,0.666,0,0.145287,23180.9,4.3378,0.00349655,8.61863
0.5,400,200,400,nominal,0,0.658,0,1,1,1,1,0.658,0,0.0312242,24277.3,4.35065,0.00186818,8.61863
0.5,400,200,400,solar_max,0,0.65715,0,1,1,1,1,0.65715,0,0.0122591,24382.7,4.3429,0.00115153,8.61863
0.5,400,200,500,solar_min,0,0.664,0,1,1,1,1,0.664,0,0.145287,23336.3,2.28607,0.00349655,6.99863
0.5,400,200,500,nominal,0,0.65945,0,1,1,1,1,0.65945,0,0.0312242,23737.1,2.28665,0.00186818,6.99863
0.5,400,200,500,solar_max,0,0.6579,0,1,1,1,1,0.6579,0,0.0122591,24258.9,2.28044,0.00115153,6.99863
0.5,400,200,619,solar_min,0,0.64855,0,0.9819,1,1,0.9819,0.66115,0,0.145287,23789.9,1.25626,0.00349655,5.77491
0.5,400,200,619,nominal,0,0.64885,0,0.98255,1,1,0.98255,0.66055,0,0.0312242,23519.5,1.25473,0.00186818,5.77491
0.5,400,200,619,solar_max,0,0.653,0,0.9833,1,1,0.9833,0.66395,0,0.0122591,23341.1,1.26397,0.00115153,5.77491
0.5,400,200,800,solar_min,0,0.583,0,0.8768,1,1,0.8768,0.663,0,0.145287,23555.8,0.627518,0.00349655,4.64462
0.5,400,200,800,nominal,0,0.57915,0,0.8766,1,1,0.8766,0.65975,0,0.0312242,24181.1,0.630697,0.00186818,4.64462
0.5,400,200,800,solar_max,0,0.5775,0,0.8742,1,1,0.8742,0.66065,0,0.0122591,23509,0.631034,0.00115153,4.64462
0.5,400,200,1000,solar_min,0,0.45015,0,0.68,1,1,0.68,0.66435,0,0.145287,23702.8,0.356921,0.00349655,3.9048
0.5,400,200,1000,nominal,0,0.4498,0,0.68165,1,1,0.68165,0.6604,0,0.0312242,24218.7,0.355321,0.00186818,3.9048
0.5,400,200,1000,solar_max,0,0.44995,0,0.6801,1,1,0.6801,0.6616,0,0.0122591,24111,0.357751,0.00115153,3.9048
