parameter,value,P_viable,median_miss_mm,median_shot_g
engagement range R (m),5,0.660675,5.50706,2.04916
engagement range R (m),10,0.66065,5.77491,2.25334
engagement range R (m),25,0.66055,7.38258,3.68259
engagement range R (m),50,0.66025,11.4039,8.78705
engagement range R (m),100,0.659425,20.7902,29.2049
pointing (urad),5e-05,0.660675,5.44055,1.99997
pointing (urad),0.0001,0.660675,5.50904,2.05064
pointing (urad),0.0002,0.66065,5.77491,2.25334
pointing (urad),0.0005,0.66055,7.37221,3.67226
pointing (urad),0.001,0.66025,11.3732,8.73982
relative speed u (m/s),1,0.66075,2.0728,0.290303
relative speed u (m/s),10,0.66065,5.77491,2.25334
relative speed u (m/s),30,0.659875,16.3744,18.1163
relative speed u (m/s),60,0.657375,32.565,71.6538
relative speed u (m/s),100,0.65065,54.2094,198.557
control latency (ms),0.0001,0.66065,5.77491,2.25334
control latency (ms),0.001,0.66065,5.77491,2.25334
control latency (ms),0.01,0.66065,5.77491,2.25334
control latency (ms),0.05,0.66065,5.77491,2.25334
control latency (ms),0.1,0.66065,5.77491,2.25334
muzzle dispersion,0.001,0.66065,5.77491,2.25334
muzzle dispersion,0.003,0.66065,5.79296,2.26745
muzzle dispersion,0.01,0.660625,5.99444,2.42792
