d_debris_cm,h_km,dh_km,v_rel_m_s,P_viable,P_solar_min,P_nominal,P_solar_max,median_cost_object,median_shot_g,median_t_natural,median_t_decay
1,900,200,619,0.66645,0,0.66645,0,23815.6,2.2639,63.5258,18.1849
0.5,900,150,500,0.6658,0,0.6658,0,23557.2,1.53067,31.763,13.195
1,900,200,500,0.665,0,0.665,0,23729.8,4.12036,63.5258,18.1849
2,800,150,800,0.66465,0,0.66465,0,23031.1,1.72601,44.0001,15.5464
2,800,150,500,0.66405,0,0.66405,0,23270.5,6.25743,44.0001,15.5464
0.5,900,200,400,0.66355,0,0.66355,0,24345.9,3.89714,31.763,9.09243
5,700,150,400,0.6635,0,0.6635,0,23681,30.3745,31.8677,9.81824
5,700,200,619,0.6635,0,0.6635,0,23404.7,17.6568,31.8677,6.04432
2,900,250,400,0.66345,0,0.66345,0,23676.2,19.5765,127.049,23.9776
5,700,150,500,0.6633,0,0.6633,0,24037,16.3222,31.8677,9.81824
0.5,900,200,619,0.6628,0,0.6628,0,23314.9,1.13286,31.763,9.09243
0.5,900,150,400,0.66225,0,0.66225,0,23226.1,2.91205,31.763,13.195
2,800,150,400,0.66215,0,0.66215,0,23679,11.8639,44.0001,15.5464
5,700,150,800,0.662,0,0.662,0,24133.2,10.1907,31.8677,9.81824
5,700,250,500,0.6617,0,0.6617,0,23433.5,27.4189,31.8677,3.53081
5,800,250,500,0.6612,0,0.6612,0,24219.1,26.888,109.996,15.6663
5,700,150,619,0.66085,0,0.66085,0,23417.5,13.1171,31.8677,9.81824
2,800,200,400,0.66065,0,0.66065,0,24182.8,15.9065,44.0001,10.0976
2,800,200,500,0.66065,0,0.66065,0,23748,8.37912,44.0001,10.0976
5,700,250,400,0.66065,0,0.66065,0,23805.3,51.0775,31.8677,3.53081
1,900,200,400,0.66045,0,0.66045,0,23967,7.81349,63.5258,18.1849
0.5,900,250,500,0.66045,0,0.66045,0,23557,2.57631,31.763,5.9944
5,700,200,400,0.66,0,0.66,0,24005.3,40.5089,31.8677,6.04432
0.5,1000,250,500,0.65985,0,0.65985,0,23510.3,2.53598,75.6186,19.4427
10,700,150,400,0.65945,0,0.65945,0,24978.3,162.63,63.734,19.6365
0.5,900,150,800,0.6594,0,0.6594,0,24288.8,0.421443,31.763,13.195
0.5,1000,250,400,0.65925,0,0.65925,0,24017.1,4.77756,75.6186,19.4427
10,700,150,619,0.65915,0,0.65915,0,24449.5,104.786,63.734,19.6365
1,900,250,400,0.6589,0,0.6589,0,23969.2,9.73509,63.5258,11.9888
2,800,150,619,0.65765,0,0.65765,0,24044.7,3.45382,44.0001,15.5464
